dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-02 10:59:28,Alfa_Romeo_147_1.9_JTD_8V_M_Jet__DPF,privat,Offer,3450,test,limousine,2007,manuell,120,147,150000,Apr,Diesel,alfa_romeo,No,2016-04-02 00:00:00,86678,2016-04-04 07:51:11,2016,2016,April,April,2,7,9,8
2016-03-30 18:38:15,Alfa_Romeo_147_1.6_Twin_Spark,privat,Offer,2990,test,limousine,2006,manuell,105,147,150000,Jun,Gasoline,alfa_romeo,No,2016-03-30 00:00:00,74912,2016-04-07 09:44:33,2016,2016,March,March,8,9,10,6
2016-04-05 20:25:33,Alfa_Romeo_159_2.2_JTS_Distinctive,privat,Offer,5000,control,limousine,2006,manuell,185,159,125000,Nov,Other,alfa_romeo,No,2016-04-05 00:00:00,56070,2016-04-05 20:25:33,2016,2016,April,April,0,20,10,1
2016-04-02 04:36:18,Alfa_Romeo_159_1.9_jtdm_150ps_Mit_Tuev_|_behandelbar_|_Whatsapp_!!,privat,Offer,5500,control,limousine,2006,manuell,150,159,150000,Nov,Diesel,alfa_romeo,No,2016-04-02 00:00:00,71254,2016-04-06 06:44:38,2016,2016,April,April,4,6,10,1
2016-03-25 09:54:08,Alfa_Romeo_147_1.6_TS_16V_120,privat,Offer,6800,test,limousine,2008,manuell,120,147,70000,Mar,Gasoline,alfa_romeo,No,2016-03-25 00:00:00,92431,2016-04-06 09:46:25,2016,2016,March,March,12,9,8,9
2016-04-01 06:36:36,Alfa_156_2_0_TS_Schlachtfest__Zylinderkopf__Getriebe__usw.,privat,Offer,0,test,limousine,1999,manuell,155,156,150000,Jan,Gasoline,alfa_romeo,Other,2016-04-01 00:00:00,89604,2016-04-07 06:15:28,2016,2016,April,April,6,6,17,11
2016-03-30 12:50:48,Alfa_Romeo,privat,Offer,250,control,limousine,1999,manuell,150,156,150000,Apr,Gasoline,alfa_romeo,Yes,2016-03-30 00:00:00,31848,2016-04-07 03:44:51,2016,2016,March,March,8,3,17,8
2016-03-30 19:49:05,Alfa_Romeo_156_2.0_16V_Twin_Spark_RASSIG_SCHNELL_SCHÖN!!!,privat,Offer,1899,test,limousine,2000,manuell,155,156,150000,May,Gasoline,alfa_romeo,No,2016-03-30 00:00:00,22335,2016-04-07 11:45:36,2016,2016,March,March,8,11,16,7
2016-03-08 19:54:22,Alfa_Romeo_147_2.0_Twin_Spark_Distinctive,privat,Offer,1300,test,limousine,2003,manuell,150,147,150000,Mar,Gasoline,alfa_romeo,No,2016-03-08 00:00:00,23883,2016-03-09 11:45:25,2016,2016,March,March,1,11,13,9
2016-03-25 19:50:10,Alfa_Romeo_156_2.0_Twin_Spark_/_Sehr_gepflegt!!__No_Passat_A4_,privat,Offer,1450,test,limousine,2000,manuell,155,156,150000,May,Gasoline,alfa_romeo,Other,2016-03-25 00:00:00,45127,2016-03-25 19:50:10,2016,2016,March,March,0,19,16,7
