dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-06 21:38:00,Audi_100_c3_typ_44_bj_1985_quattro_krarosse_mit_achsen,privat,Offer,150,control,Other,1985,Unspecified,0,100,150000,Apr,Gasoline,audi,Other,2016-03-06 00:00:00,87616,2016-04-07 02:16:59,2016,2016,March,March,32,2,31,8
2016-03-24 17:49:19,Unfallwagen/Totalschaden,privat,Offer,0,control,Other,2000,manuell,0,Other,150000,Jan,Other,audi,Yes,2016-03-24 00:00:00,72514,2016-03-29 03:45:06,2016,2016,March,March,5,3,16,11
2016-03-25 14:37:19,Audi_A3_Bj._2003_5_Tuerer_TÜV_neu,privat,Offer,3450,control,Other,2005,manuell,102,a3,150000,Feb,Gasoline,audi,No,2016-03-25 00:00:00,26160,2016-03-27 00:44:19,2016,2016,March,March,2,0,11,10
2016-03-19 13:25:21,Audi_A6_2.5_Tdi_Quattro__Xenon___Navigation__Gruene_Plakette__Tuev,privat,Offer,2999,test,Other,2016,manuell,179,a6,150000,Jul,Other,audi,No,2016-03-19 00:00:00,55120,2016-03-19 14:07:06,2016,2016,March,March,0,14,0,5
2016-04-02 10:54:18,Audi_A6_C4_2_6_Limousine,privat,Offer,450,test,Other,2016,automatik,0,a6,150000,Jan,Gasoline,audi,No,2016-04-02 00:00:00,86668,2016-04-06 09:16:25,2016,2016,April,April,4,9,0,11
2016-03-31 22:36:26,Verkaufe_hier_mein_Audi_A3_.,privat,Offer,0,test,Other,2016,manuell,125,a3,150000,Mar,Gasoline,audi,Other,2016-03-31 00:00:00,9456,2016-04-01 02:42:26,2016,2016,March,March,1,2,0,9
2016-03-10 12:47:23,Audi_a4_1.8,privat,Offer,275,test,Other,2000,manuell,125,a4,150000,Mar,Gasoline,audi,Yes,2016-03-10 00:00:00,41462,2016-03-11 12:47:26,2016,2016,March,March,1,12,16,9
2016-03-10 07:56:30,Audi_a3!!!!!,privat,Offer,1500,control,Other,2016,manuell,101,a3,150000,Apr,Gasoline,audi,Other,2016-03-10 00:00:00,45326,2016-03-26 16:18:50,2016,2016,March,March,16,16,0,8
2016-03-09 04:36:18,***Letzter_Preis!_Audi_A3_1.8T_Quattro!__Seltene_Farbe!***,privat,Offer,2500,control,Other,2005,manuell,185,a3,150000,Mar,Gasoline,audi,No,2016-03-09 00:00:00,78126,2016-03-24 16:47:09,2016,2016,March,March,15,16,11,9
2016-04-01 19:43:26,Tausche_Yamaha_Aerox_gegen_Audi_/_BMW,privat,Offer,0,control,Other,2015,Unspecified,0,Other,125000,Jan,Other,audi,Other,2016-04-01 00:00:00,58511,2016-04-01 19:43:26,2016,2016,April,April,0,19,1,11
2016-03-26 11:52:35,Audi_A3.,privat,Offer,1450,control,Other,2016,manuell,0,a3,150000,Jan,Gasoline,audi,Yes,2016-03-26 00:00:00,27607,2016-03-27 23:47:25,2016,2016,March,March,1,23,0,11
2016-03-18 13:49:30,Audi_a3_1.8_lieter___KlimaAutomatik___Titan_Silber,privat,Offer,699,control,Other,2016,manuell,125,a3,150000,Oct,Gasoline,audi,No,2016-03-18 00:00:00,22145,2016-03-22 10:46:09,2016,2016,March,March,4,10,0,2
