dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-24 10:58:45,A5_Sportback_2.7_Tdi,privat,Offer,18300,test,coupe,2011,manuell,190,Other,125000,May,Diesel,audi,Yes,2016-03-24 00:00:00,66954,2016-04-07 01:46:50,2016,2016,March,March,14,1,5,7
2016-04-02 12:54:14,Audi_TT_Coupe_1.8_T_quattro,privat,Offer,3399,test,coupe,1999,manuell,224,tt,150000,Sep,Gasoline,audi,Yes,2016-04-02 00:00:00,61276,2016-04-05 19:44:33,2016,2016,April,April,3,19,17,3
2016-03-29 23:38:02,Audi_80_coupe_top_gepflegt_2_0,privat,Offer,1500,control,coupe,1994,manuell,116,Other,150000,Aug,Other,audi,No,2016-03-29 00:00:00,32791,2016-04-06 20:16:34,2016,2016,March,March,8,20,22,4
2016-03-07 06:14:28,Audi_1.Hand_Navi_Leder_Xenon,privat,Offer,3000,test,coupe,2000,manuell,179,tt,150000,Feb,Gasoline,audi,No,2016-03-05 00:00:00,55120,2016-03-08 10:18:07,2016,2016,March,March,3,10,16,10
2016-03-24 14:56:28,Audi_a3_8l,privat,Offer,800,test,coupe,1997,manuell,125,a3,150000,Jan,Gasoline,audi,Yes,2016-03-24 00:00:00,64739,2016-03-29 00:44:57,2016,2016,March,March,5,0,19,11
2016-03-23 10:54:49,Audi_TT_Coupe_1.8_T,privat,Offer,5300,control,coupe,1999,manuell,179,tt,125000,Mar,Gasoline,audi,No,2016-03-23 00:00:00,55450,2016-04-07 11:16:02,2016,2016,March,March,15,11,17,9
2016-03-08 07:56:35,Audi_TT_1_8T_Klima_Leder_Bose_kompl._repariert_bitte_lesen_!!!,privat,Offer,4999,test,coupe,1999,manuell,180,tt,150000,Jan,Gasoline,audi,No,2016-03-08 00:00:00,12307,2016-04-06 08:46:01,2016,2016,March,March,29,8,17,11
2016-04-01 19:47:11,Audi_TT_Coupe_1.8_T_quattro__268_Ps,privat,Offer,5600,control,coupe,2000,manuell,224,tt,150000,Nov,Gasoline,audi,No,2016-04-01 00:00:00,59379,2016-04-05 16:44:39,2016,2016,April,April,4,16,16,1
2016-03-15 09:37:25,Audi_A5_3.0_TDI_Sportback_quattro_DPF_S_tronic,privat,Offer,21500,control,coupe,2009,automatik,239,a5,150000,Nov,Diesel,audi,No,2016-03-15 00:00:00,47269,2016-04-05 19:17:05,2016,2016,March,March,21,19,7,1
2016-03-19 17:25:19,Audi_TT_Coupe_1.8_TFSI,privat,Offer,21800,test,coupe,2012,manuell,160,tt,50000,Oct,Gasoline,audi,No,2016-03-19 00:00:00,65428,2016-04-06 01:49:07,2016,2016,March,March,18,1,4,2
2016-03-29 07:58:24,Verkaufe_meinen_Audi_90_Coupe_2.3_20V_quattro,privat,Offer,4300,test,coupe,1990,manuell,170,90,150000,Apr,Gasoline,audi,Other,2016-03-29 00:00:00,13595,2016-04-05 18:17:00,2016,2016,March,March,7,18,26,8
2016-03-30 13:52:11,Audi_A5_2.0_TFSI_/_211_PS_/_S_Line_komplett_/_20_Zoll,privat,Offer,20990,test,coupe,2009,manuell,211,a5,125000,Nov,Gasoline,audi,No,2016-03-30 00:00:00,73734,2016-04-07 04:44:53,2016,2016,March,March,8,4,7,1
2016-03-24 14:54:19,Audi_Coupé,privat,Offer,2000,test,coupe,1990,manuell,113,andere,150000,Sep,Gasoline,audi,Yes,2016-03-24 00:00:00,85077,2016-04-07 07:17:26,2016,2016,March,March,14,7,26,3
