dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-12 12:06:22,Audi_A2_1.4__TÜV+_Zahnriemen_NEU,privat,Offer,4199,control,kleinwagen,2002,manuell,75,a2,150000,Jan,Gasoline,audi,No,2016-03-12 00:00:00,56235,2016-04-06 17:16:45,2016,2016,March,March,25,17,14,11
2016-04-01 18:53:49,A4_S_LINE__XENON_NAVI,privat,Offer,3200,control,kleinwagen,2005,Unspecified,0,a4,150000,Jan,Diesel,audi,Other,2016-04-01 00:00:00,60314,2016-04-01 18:53:49,2016,2016,April,April,0,18,11,11
2016-03-28 19:47:05,Audi_A3,privat,Offer,1990,control,kleinwagen,1996,manuell,125,a3,150000,Mar,Gasoline,audi,No,2016-03-28 00:00:00,49084,2016-04-01 05:16:23,2016,2016,March,March,4,5,20,9
2016-03-08 09:36:21,Audi_A2,privat,Offer,2300,control,kleinwagen,2002,manuell,75,a2,150000,Apr,Gasoline,audi,No,2016-03-08 00:00:00,55595,2016-03-10 09:46:13,2016,2016,March,March,2,9,14,8
2016-03-13 19:42:58,Audi_a3_sehr_gepflegt_1.6_mit_klima,privat,Offer,900,control,kleinwagen,1997,manuell,0,a3,150000,Jan,Other,audi,No,2016-03-13 00:00:00,42279,2016-03-13 19:42:58,2016,2016,March,March,0,19,19,11
2016-04-02 20:49:14,Audi_a3_8l_1.6_101_ps_an_bastler_oder_fuer_export,privat,Offer,650,test,kleinwagen,1997,manuell,101,a3,150000,Apr,Gasoline,audi,No,2016-04-02 00:00:00,42277,2016-04-02 20:49:14,2016,2016,April,April,0,20,19,8
2016-03-16 18:50:05,Audi_A2_1.4_mit_Klimaautomatik__+_Sitzheizung,privat,Offer,2400,control,kleinwagen,2002,manuell,75,a2,150000,Oct,Gasoline,audi,Yes,2016-03-16 00:00:00,34376,2016-03-16 18:50:05,2016,2016,March,March,0,18,14,2
2016-03-08 00:36:44,Audi_A3_8L___Unfall,privat,Offer,300,control,kleinwagen,1998,manuell,101,a3,150000,Nov,Gasoline,audi,Yes,2016-03-08 00:00:00,25566,2016-04-05 23:18:02,2016,2016,March,March,28,23,18,1
2016-03-11 18:38:40,Audi_A2_1.6_FSI__1.Hand_HU_neu_AHK,privat,Offer,4200,test,kleinwagen,2003,manuell,110,a2,150000,Jan,Gasoline,audi,No,2016-03-11 00:00:00,46397,2016-03-17 04:44:26,2016,2016,March,March,6,4,13,11
2016-03-12 18:06:35,Audi_A3_1_6L_mit_101PS_TÜV/AU_NEU_Sportauspuff_Alus__Dezent*Sport,privat,Offer,1890,test,kleinwagen,1997,manuell,101,a3,150000,Jul,Gasoline,audi,No,2016-03-12 00:00:00,61169,2016-03-15 03:44:25,2016,2016,March,March,3,3,19,5
2016-03-08 15:59:03,A3_2.0_Sportback_Navi,privat,Offer,4100,test,kleinwagen,2007,Unspecified,0,a3,150000,Jun,Diesel,audi,Other,2016-03-08 00:00:00,51065,2016-03-08 15:59:03,2016,2016,March,March,0,15,9,6
2016-03-15 12:25:36,A3_S_Line_2_0_Navi_Leder,privat,Offer,3000,test,kleinwagen,2005,Unspecified,0,a3,150000,Jun,Diesel,audi,Other,2016-03-15 00:00:00,60314,2016-03-15 12:25:36,2016,2016,March,March,0,12,11,6
2016-04-02 15:37:54,Audi_S3_8L_250_PS_Bj.04,privat,Offer,4199,control,kleinwagen,2004,manuell,250,andere,150000,Sep,Gasoline,audi,No,2016-04-02 00:00:00,6567,2016-04-04 13:15:22,2016,2016,April,April,2,13,12,3
2016-03-19 09:37:20,Audi_A3_1.6,privat,Offer,1400,test,kleinwagen,1997,manuell,101,a3,150000,Mar,Gasoline,audi,No,2016-03-19 00:00:00,94265,2016-03-22 18:18:31,2016,2016,March,March,3,18,19,9
2016-03-10 14:49:52,A3_8L_1.8_APG,privat,Offer,2900,test,kleinwagen,2001,manuell,125,a3,150000,Jul,Other,audi,No,2016-03-10 00:00:00,24870,2016-03-24 19:15:22,2016,2016,March,March,14,19,15,5
2016-03-14 12:36:22,Audi_a3_1.9Tdi_Partikelfilter,privat,Offer,1400,test,kleinwagen,1996,manuell,90,Other,150000,Jun,Other,audi,Other,2016-03-14 00:00:00,84419,2016-03-23 12:46:03,2016,2016,March,March,9,12,20,6
2016-03-31 17:47:25,Audi_a3_8p_1.6l_102PS,privat,Offer,2800,control,kleinwagen,2003,manuell,102,a3,150000,Jun,Gasoline,audi,Other,2016-03-31 00:00:00,75365,2016-03-31 17:47:25,2016,2016,March,March,0,17,13,6
2016-03-16 16:37:06,Sehr_gepflegter_Audi_A2___Garagenwagen___Parktronic___MP3/USB,privat,Offer,4799,control,kleinwagen,2002,manuell,75,a2,150000,Mar,Gasoline,audi,No,2016-03-16 00:00:00,51109,2016-03-20 15:46:14,2016,2016,March,March,4,15,14,9
2016-04-05 10:38:28,Audi_A3_Teile_Bj._1997__Motorschaden,privat,Offer,1,control,kleinwagen,1997,manuell,101,a3,150000,Jan,Gasoline,audi,Yes,2016-04-05 00:00:00,97688,2016-04-07 13:16:16,2016,2016,April,April,2,13,19,11
2016-03-29 20:41:14,Audi_a2_zuverkaufen_oder_tauschen,privat,Offer,3800,test,kleinwagen,2004,manuell,75,a2,150000,Jan,Diesel,audi,Other,2016-03-29 00:00:00,31226,2016-04-06 06:45:29,2016,2016,March,March,8,6,12,11
2016-03-19 21:53:09,Audi_A2_1.4,privat,Offer,4200,control,kleinwagen,2003,manuell,75,a2,125000,Feb,Gasoline,audi,No,2016-03-19 00:00:00,91717,2016-03-27 17:44:26,2016,2016,March,March,8,17,13,10
2016-03-19 21:37:16,Audi_A2_1.4,privat,Offer,2990,control,kleinwagen,2001,manuell,75,a2,150000,Mar,Gasoline,audi,No,2016-03-19 00:00:00,12247,2016-04-05 13:18:58,2016,2016,March,March,17,13,15,9
2016-03-23 16:58:11,A3_2_0tdi_Gruene_Plakette,privat,Offer,4000,test,kleinwagen,2003,manuell,140,a3,150000,Jul,Diesel,audi,Other,2016-03-23 00:00:00,52159,2016-03-26 10:46:07,2016,2016,March,March,3,10,13,5
2016-04-04 18:43:42,Audi_a3_zu_verkaufen,privat,Offer,750,test,kleinwagen,1998,Unspecified,102,a3,150000,Oct,Gasoline,audi,Other,2016-04-04 00:00:00,14776,2016-04-04 18:43:42,2016,2016,April,April,0,18,18,2
2016-03-15 21:51:56,Audi_A2_1.4,privat,Offer,5500,control,kleinwagen,2004,manuell,75,a2,125000,Jun,Gasoline,audi,No,2016-03-15 00:00:00,72639,2016-03-26 00:44:36,2016,2016,March,March,11,0,12,6
2016-03-28 20:44:11,zu_verkaufen_Audi_A3_8L_Mit_etwas_Tuning,privat,Offer,1000,control,kleinwagen,1997,manuell,101,a3,150000,Jul,Gasoline,audi,Yes,2016-03-28 00:00:00,41836,2016-04-07 02:47:10,2016,2016,March,March,10,2,19,5
2016-03-17 21:49:20,A3__2.0_TDI_S_line,privat,Offer,3400,test,kleinwagen,2005,manuell,140,a3,150000,Jan,Diesel,audi,Other,2016-03-17 00:00:00,20095,2016-03-17 21:49:20,2016,2016,March,March,0,21,11,11
2016-03-16 11:50:22,Audi_A3_farbe_Grau,privat,Offer,1150,test,kleinwagen,1999,manuell,101,a3,150000,Feb,Gasoline,audi,Yes,2016-03-16 00:00:00,44145,2016-03-23 23:17:31,2016,2016,March,March,7,23,17,10
2016-03-12 20:55:41,Audi_a3_mit_100tkm!!_Scheckheft_gepflegt_zahnriemen_neu,privat,Offer,3850,test,kleinwagen,2004,manuell,105,a3,100000,May,Gasoline,audi,Yes,2016-03-12 00:00:00,12355,2016-03-12 21:43:53,2016,2016,March,March,0,21,12,7
