dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-07 08:55:18,BMW_520i_E39,privat,Offer,2300,control,Other,1997,manuell,150,5er,150000,Mar,Other,bmw,No,2016-03-07 00:00:00,79341,2016-03-22 05:15:22,2016,2016,March,March,15,5,19,9
2016-03-20 18:47:31,BMW_E36_328i_Coupe_Schalter,privat,Offer,3390,test,Other,2000,Unspecified,0,3er,150000,Feb,Other,bmw,Other,2016-03-20 00:00:00,45739,2016-03-28 19:48:42,2016,2016,March,March,8,19,16,10
2016-03-11 10:52:49,BMW_323i._e_21_Gesucht__In_jeden_Zustand_,privat,Offer,0,test,Other,1985,Unspecified,0,3er,150000,Jan,Other,bmw,Other,2016-03-11 00:00:00,85051,2016-03-11 11:41:09,2016,2016,March,March,0,11,31,11
2016-03-24 10:58:40,Tausche_BMW_top_Zustand,privat,Offer,0,test,Other,2016,automatik,197,3er,150000,Nov,Diesel,bmw,No,2016-03-24 00:00:00,99867,2016-03-25 19:46:09,2016,2016,March,March,1,19,0,1
2016-04-04 02:37:41,BMW_E30_316_318_320_325_GESUCHT,privat,Offer,0,control,Other,1990,Unspecified,0,3er,5000,Jan,Other,bmw,Other,2016-04-04 00:00:00,59073,2016-04-06 09:16:42,2016,2016,April,April,2,9,26,11
2016-03-22 16:57:42,BMW_318ti_in_Weiss,privat,Offer,300,test,Other,2016,manuell,140,Other,150000,Jan,Gasoline,bmw,Other,2016-03-22 00:00:00,57489,2016-03-26 18:18:21,2016,2016,March,March,4,18,0,11
2016-03-25 09:57:23,Suche_Bmw_E30_oder_KAROSSE_zum_Schlachten,privat,Offer,0,test,Other,1990,Unspecified,0,3er,150000,Jan,Other,bmw,Other,2016-03-25 00:00:00,66822,2016-03-29 22:46:53,2016,2016,March,March,4,22,26,11
2016-03-18 00:58:12,Liebhaberstueck,privat,Offer,1200,test,Other,2000,Unspecified,0,andere,150000,Jan,Other,bmw,Yes,2016-03-17 00:00:00,6905,2016-04-05 21:46:28,2016,2016,March,March,19,21,16,11
2016-03-27 19:56:28,Meinen_BMW_316,privat,Offer,3000,control,Other,2005,Unspecified,0,3er,150000,Jan,Other,bmw,Other,2016-03-27 00:00:00,57462,2016-04-05 18:45:55,2016,2016,March,March,9,18,11,11
2016-03-21 22:57:23,Bmw_523i_vollaustattung_automatik,privat,Offer,2200,control,Other,2016,automatik,0,5er,150000,Jan,Gasoline,bmw,No,2016-03-21 00:00:00,23558,2016-04-05 13:17:10,2016,2016,March,March,15,13,0,11
2016-04-02 13:38:21,BMW_E36_Cabrio_mit_M_Paket,privat,Offer,1550,test,Other,1995,manuell,150,Other,150000,May,Other,bmw,Other,2016-04-02 00:00:00,89081,2016-04-02 13:38:21,2016,2016,April,April,0,13,21,7
