dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-11 09:50:41,Bmw_316i_compact,privat,Offer,700,control,andere,2000,manuell,0,3er,150000,Mar,Gasoline,bmw,Yes,2016-03-11 00:00:00,15370,2016-03-19 14:46:42,2016,2016,March,March,8,14,16,9
2016-03-20 17:45:00,Gepflegter_BMW_318_Compakt,privat,Offer,2500,test,andere,2003,manuell,116,3er,150000,Nov,Gasoline,bmw,No,2016-03-20 00:00:00,96050,2016-03-21 20:45:45,2016,2016,March,March,1,20,13,1
2016-03-09 17:52:56,bmw_e87_totalschaden,privat,Offer,1800,test,andere,2004,manuell,163,1er,150000,Oct,Diesel,bmw,Yes,2016-03-09 00:00:00,89150,2016-03-09 17:52:56,2016,2016,March,March,0,17,12,2
2016-03-09 19:43:58,BMW_316ti_Compackt_E46_AHK_BBS_Alufelgen,privat,Offer,2700,test,andere,2002,manuell,115,3er,150000,Apr,Gasoline,bmw,No,2016-03-09 00:00:00,83567,2016-03-23 13:17:17,2016,2016,March,March,14,13,14,8
2016-03-12 22:37:19,BMW_316ti_compact,privat,Offer,1700,control,andere,2002,manuell,116,3er,150000,Feb,Gasoline,bmw,No,2016-03-12 00:00:00,86660,2016-03-28 04:17:19,2016,2016,March,March,16,4,14,10
2016-03-05 14:43:33,BMW_E46_Compact_320td,privat,Offer,2299,control,andere,2002,manuell,150,3er,150000,Sep,Diesel,bmw,No,2016-03-05 00:00:00,58256,2016-04-07 09:45:24,2016,2016,March,March,33,9,14,3
2016-03-24 12:51:59,BMW_316i_Compact___Unfallschaden___Ausschlachten,privat,Offer,0,test,andere,1996,manuell,102,3er,150000,Jan,Gasoline,bmw,Yes,2016-03-24 00:00:00,84332,2016-04-07 04:45:41,2016,2016,March,March,14,4,20,11
2016-03-14 15:54:32,Bmw_320_coupe,privat,Offer,3000,control,andere,1995,manuell,150,3er,150000,May,Gasoline,bmw,No,2016-03-14 00:00:00,45968,2016-03-15 10:45:47,2016,2016,March,March,1,10,21,7
2016-03-20 13:56:39,Tausche_oder_verkauf,privat,Offer,2500,test,andere,2001,manuell,110,3er,150000,Oct,Gasoline,bmw,No,2016-03-20 00:00:00,22047,2016-04-06 15:45:42,2016,2016,March,March,17,15,15,2
2016-03-16 14:37:56,BMW_E36_316i_Compakt,privat,Offer,1450,test,andere,1994,manuell,102,3er,150000,Jan,Gasoline,bmw,No,2016-03-16 00:00:00,45739,2016-04-06 12:45:40,2016,2016,March,March,21,12,22,11
2016-03-28 18:50:53,BMW_323_ti_Compact_M_Paket_zu_verkaufen!,privat,Offer,1600,control,andere,1998,manuell,170,3er,150000,Jun,Gasoline,bmw,No,2016-03-28 00:00:00,59555,2016-03-30 10:45:14,2016,2016,March,March,2,10,18,6
2016-03-15 08:54:31,BM_316_i_fahrbereit_oder_zur_Ersatzteilgewinnung,privat,Offer,300,test,andere,1994,manuell,90,3er,150000,Nov,Gasoline,bmw,Yes,2016-03-15 00:00:00,79215,2016-04-05 16:15:27,2016,2016,March,March,21,16,22,1
2016-03-08 18:23:37,Bmw_316i_TÜV_02/17_!!!RESERVIERT!!!,privat,Offer,950,control,andere,1994,manuell,102,3er,150000,Apr,Other,bmw,No,2016-03-08 00:00:00,60435,2016-03-14 15:46:08,2016,2016,March,March,6,15,22,8
2016-04-01 18:56:18,316_I_Compact,privat,Offer,950,control,andere,1995,manuell,102,3er,150000,Feb,Gasoline,bmw,No,2016-04-01 00:00:00,70567,2016-04-05 14:47:21,2016,2016,April,April,4,14,21,10
2016-03-29 19:42:32,BMW_318i_Compact,privat,Offer,0,control,andere,1995,manuell,0,3er,150000,Aug,Gasoline,bmw,Other,2016-03-29 00:00:00,23909,2016-04-06 05:17:35,2016,2016,March,March,8,5,21,4
2016-03-06 17:36:54,BMW_E46_320d_190PS,privat,Offer,4550,control,andere,2002,manuell,190,Other,150000,Jan,Diesel,bmw,Other,2016-03-06 00:00:00,4916,2016-04-06 22:15:30,2016,2016,March,March,31,22,14,11
2016-03-29 12:54:54,Verkaufe_Garagen_BMW_zum_komplettkauf_oder_Schlachtung,privat,Offer,650,test,andere,1997,manuell,102,3er,150000,Jan,Gasoline,bmw,Other,2016-03-29 00:00:00,18184,2016-04-05 22:17:04,2016,2016,March,March,7,22,19,11
2016-04-01 15:49:45,BMW_e36_Compact,privat,Offer,0,test,andere,1996,manuell,102,3er,150000,Oct,Gasoline,bmw,Other,2016-04-01 00:00:00,51375,2016-04-07 13:50:11,2016,2016,April,April,6,13,20,2
2016-03-07 14:57:24,BMW_E36_compact_gepflegter_Zustand_1_9l,privat,Offer,1800,control,andere,1999,manuell,105,3er,150000,Nov,Other,bmw,No,2016-03-07 00:00:00,34128,2016-03-09 01:45:52,2016,2016,March,March,2,1,17,1
2016-03-16 13:37:42,BMW_E30_Coupe,privat,Offer,0,control,andere,1988,manuell,113,3er,150000,Mar,Gasoline,bmw,No,2016-03-16 00:00:00,57629,2016-03-27 22:18:25,2016,2016,March,March,11,22,28,9
2016-03-15 12:36:57,BMW_E36_TÜV_NEU,privat,Offer,1050,control,andere,1994,manuell,102,3er,150000,Jul,Gasoline,bmw,No,2016-03-15 00:00:00,84367,2016-04-06 02:15:58,2016,2016,March,March,22,2,22,5
2016-03-25 12:48:19,BMW_316i_in_silber_metallic,privat,Offer,4600,test,andere,2002,manuell,125,3er,80000,Aug,Gasoline,bmw,No,2016-03-25 00:00:00,28277,2016-04-06 13:46:21,2016,2016,March,March,12,13,14,4
2016-03-20 16:37:01,BMW_E36_318TI_COMPACT,privat,Offer,1100,test,andere,1998,manuell,140,3er,150000,Jul,Gasoline,bmw,No,2016-03-20 00:00:00,52538,2016-04-02 22:50:35,2016,2016,March,March,13,22,18,5
2016-04-04 18:56:07,BMW_318i_mit_TÜV_04/2017,privat,Offer,1000,test,andere,1995,manuell,115,3er,150000,Apr,Gasoline,bmw,Other,2016-04-04 00:00:00,66954,2016-04-06 21:16:26,2016,2016,April,April,2,21,21,8
2016-03-26 22:37:20,Gepflegter_BMW_316_Compakt,privat,Offer,2300,test,andere,2003,manuell,116,3er,150000,Nov,Gasoline,bmw,No,2016-03-26 00:00:00,96050,2016-03-30 07:46:24,2016,2016,March,March,4,7,13,1
2016-03-11 23:40:30,BMW__COMPACT,privat,Offer,1500,test,andere,1996,manuell,105,3er,150000,Jul,Gasoline,bmw,No,2016-03-11 00:00:00,26133,2016-03-12 14:16:51,2016,2016,March,March,1,14,20,5
2016-03-19 01:54:13,BMW_316_Compact,privat,Offer,0,control,andere,1997,manuell,101,3er,150000,Jan,Gasoline,bmw,No,2016-03-19 00:00:00,98527,2016-04-06 05:16:55,2016,2016,March,March,18,5,19,11
2016-03-10 21:40:56,Bmw_316i_e36_Compact,privat,Offer,750,control,andere,1997,manuell,102,3er,150000,Jan,Gasoline,bmw,Yes,2016-03-10 00:00:00,46509,2016-03-12 13:44:52,2016,2016,March,March,2,13,19,11
2016-03-27 15:36:57,BMW_318ti,privat,Offer,2999,control,andere,2001,automatik,140,3er,150000,Nov,Gasoline,bmw,No,2016-03-27 00:00:00,44866,2016-04-07 12:17:51,2016,2016,March,March,11,12,15,1
2016-03-10 16:57:19,BMW_e46_Compact_316ti___M_Paket__Angle_Eyes_Tagfahrlicht,privat,Offer,2799,control,andere,2004,manuell,116,3er,150000,Mar,Gasoline,bmw,Yes,2016-03-10 00:00:00,14197,2016-03-18 02:16:41,2016,2016,March,March,8,2,12,9
2016-03-20 10:49:45,E46_325ti_Compact_Orginal__M///_Paket_2__TÜV_neu,privat,Offer,5950,control,andere,2001,manuell,193,3er,150000,Jan,Gasoline,bmw,No,2016-03-20 00:00:00,53227,2016-04-06 07:44:28,2016,2016,March,March,17,7,15,11
2016-03-05 15:56:06,BMW_316i__Benzin__3_tuerig,privat,Offer,550,control,andere,1996,manuell,102,3er,150000,Nov,Gasoline,bmw,No,2016-03-05 00:00:00,48336,2016-03-07 21:17:30,2016,2016,March,March,2,21,20,1
2016-03-07 00:48:26,BMW_E36_318ti_Avusblau_gepflegt_TÜV9/2016_Sitzheizung,privat,Offer,1,test,andere,1997,manuell,140,3er,150000,Jul,Gasoline,bmw,No,2016-03-06 00:00:00,66333,2016-03-09 20:44:22,2016,2016,March,March,3,20,19,5
2016-03-28 10:58:30,Bmw_318ti_compact_Ostern_Angebot_heute_und_morgen_300_,privat,Offer,400,control,andere,1997,manuell,140,3er,150000,Nov,Gasoline,bmw,Yes,2016-03-28 00:00:00,25853,2016-03-31 18:47:06,2016,2016,March,March,3,18,19,1
2016-03-31 19:52:28,Bmw_318ti_compact_fest_Preis_250,privat,Offer,250,control,andere,1997,manuell,140,3er,150000,Nov,Gasoline,bmw,Yes,2016-03-31 00:00:00,25853,2016-03-31 19:52:28,2016,2016,March,March,0,19,19,1
2016-03-14 13:45:18,BMW_e36_323ti_Compact,privat,Offer,850,test,andere,1998,manuell,170,3er,150000,Apr,Gasoline,bmw,Yes,2016-03-14 00:00:00,64646,2016-03-17 01:45:01,2016,2016,March,March,3,1,18,8
2016-03-15 21:57:10,E36_323ti_compact,privat,Offer,2600,control,andere,1997,automatik,170,3er,150000,Jan,Gasoline,bmw,Other,2016-03-15 00:00:00,79725,2016-04-07 09:45:30,2016,2016,March,March,23,9,19,11
2016-03-21 19:54:06,BMW_COMPACT_316_I___12.2017_,privat,Offer,1950,test,andere,1994,manuell,0,Other,150000,Jul,Other,bmw,No,2016-03-21 00:00:00,40625,2016-04-01 02:15:33,2016,2016,March,March,11,2,22,5
2016-03-18 20:46:26,Bmw_316_e46_ti_compact,privat,Offer,1650,test,andere,2003,manuell,115,3er,150000,Oct,Other,bmw,No,2016-03-18 00:00:00,55442,2016-04-06 15:45:50,2016,2016,March,March,19,15,13,2
2016-03-21 16:00:05,Bmw_316i_compact_1.6,privat,Offer,1000,control,andere,1996,manuell,102,3er,125000,Apr,Gasoline,bmw,No,2016-03-21 00:00:00,64285,2016-04-06 15:44:56,2016,2016,March,March,16,15,20,8
2016-03-07 23:44:32,BMW_316i_Kompakt__Sonderausstattung__mit_TÜV__Top_gepflegt__Leder,privat,Offer,1550,test,andere,1998,manuell,102,3er,150000,Oct,Gasoline,bmw,No,2016-03-07 00:00:00,21493,2016-04-07 03:16:02,2016,2016,March,March,31,3,18,2
2016-03-18 07:51:42,BMW_316i_Compakt,privat,Offer,800,test,andere,1995,manuell,0,3er,150000,Sep,Gasoline,bmw,No,2016-03-18 00:00:00,72401,2016-04-05 22:15:26,2016,2016,March,March,18,22,21,3
2016-03-19 15:40:01,BMW_Isetta_BMW_Isetta,privat,Offer,6690,control,andere,1959,manuell,12,andere,50000,Oct,Gasoline,bmw,No,2016-03-19 00:00:00,72379,2016-03-19 15:40:01,2016,2016,March,March,0,15,57,2
2016-03-09 21:52:53,E36_Compact_BMW,privat,Offer,250,test,andere,2000,manuell,105,3er,150000,Aug,Gasoline,bmw,Yes,2016-03-09 00:00:00,79618,2016-03-12 10:46:57,2016,2016,March,March,3,10,16,4
2016-03-19 23:52:18,Bmw_M3_Paket_Tuning_Tuev,privat,Offer,1600,control,andere,1996,manuell,0,Other,150000,Aug,Other,bmw,Other,2016-03-19 00:00:00,55569,2016-04-05 12:21:14,2016,2016,March,March,17,12,20,4
2016-03-29 09:36:42,BMW_316i_ohne_Batterie,privat,Offer,2000,test,andere,1996,manuell,90,3er,150000,Jun,Gasoline,bmw,No,2016-03-29 00:00:00,15378,2016-04-05 17:25:53,2016,2016,March,March,7,17,20,6
2016-03-11 17:46:04,Bmw_323_ti_Compact_M_Paket!,privat,Offer,2000,control,andere,1998,manuell,170,3er,150000,Jun,Gasoline,bmw,Other,2016-03-11 00:00:00,59555,2016-03-27 19:48:21,2016,2016,March,March,16,19,18,6
2016-03-26 21:59:24,BMW_E46_Compact,privat,Offer,3900,control,andere,2002,manuell,192,3er,150000,Feb,Gasoline,bmw,No,2016-03-26 00:00:00,97999,2016-04-06 14:44:20,2016,2016,March,March,11,14,14,10
2016-03-15 14:50:57,BMW_316i_E36_compact_HU_08/16,privat,Offer,490,control,andere,1995,manuell,102,3er,150000,May,Gasoline,bmw,No,2016-03-15 00:00:00,63739,2016-04-06 05:16:23,2016,2016,March,March,22,5,21,7
2016-03-17 15:39:14,BMW_316i_compact,privat,Offer,1150,test,andere,1997,manuell,101,3er,150000,Jul,Gasoline,bmw,Other,2016-03-17 00:00:00,47495,2016-04-06 22:44:42,2016,2016,March,March,20,22,19,5
2016-03-09 16:51:53,BMW_316i_Compact_HU_04/2016__ausschlachten_oder_Bastlerfahrzeug,privat,Offer,600,test,andere,1996,manuell,109,3er,150000,Jan,Gasoline,bmw,Other,2016-03-09 00:00:00,54340,2016-04-07 06:17:11,2016,2016,March,March,29,6,20,11
2016-04-03 22:37:59,BMW_E36_Compact_avusblau__316i_1_9L_105PS_mit_M_Packet,privat,Offer,2200,control,andere,2000,manuell,105,3er,150000,Jul,Other,bmw,No,2016-04-03 00:00:00,58332,2016-04-05 23:44:40,2016,2016,April,April,2,23,16,5
2016-03-15 21:42:35,BMW_E36_323ti_Compact_M_Paket_Klimaanlage_Alcantara_DSC,privat,Offer,3400,control,andere,1999,manuell,170,3er,150000,Nov,Gasoline,bmw,No,2016-03-15 00:00:00,96170,2016-03-28 22:17:40,2016,2016,March,March,13,22,17,1
2016-03-13 13:39:11,BMW_316i_Bastler,privat,Offer,0,test,andere,1995,manuell,102,3er,150000,Apr,Gasoline,bmw,Yes,2016-03-13 00:00:00,95173,2016-03-28 12:47:35,2016,2016,March,March,15,12,21,8
2016-03-12 23:56:56,Bmw_318ti_compact,privat,Offer,300,control,andere,1997,manuell,140,3er,150000,Nov,Gasoline,bmw,Yes,2016-03-12 00:00:00,25853,2016-03-30 01:47:08,2016,2016,March,March,18,1,19,1
2016-03-16 12:55:41,BMW_316_Compact_Open_Air,privat,Offer,350,test,andere,1996,manuell,102,3er,150000,Mar,Gasoline,bmw,Yes,2016-03-16 00:00:00,13467,2016-03-16 13:42:27,2016,2016,March,March,0,13,20,9
2016-04-01 13:54:06,BMW_316i_Compakt___Euro_2___integr._Kindersitze__Klima,privat,Offer,999,test,andere,1998,manuell,101,3er,150000,Apr,Gasoline,bmw,No,2016-04-01 00:00:00,93352,2016-04-01 14:45:02,2016,2016,April,April,0,14,18,8
2016-03-23 09:46:35,Bmw_318_ti_Compact,privat,Offer,1099,test,andere,1995,manuell,150,3er,5000,Jan,Gasoline,bmw,No,2016-03-23 00:00:00,68809,2016-04-07 08:45:19,2016,2016,March,March,15,8,21,11
2016-03-10 10:51:21,BMW_316i_compact_automatik,privat,Offer,2100,test,andere,1999,automatik,105,3er,100000,Oct,Gasoline,bmw,No,2016-03-10 00:00:00,18182,2016-03-19 15:46:03,2016,2016,March,March,9,15,17,2
2016-03-27 18:48:56,BMW_316i_compact_e36_M_Paket_Sitzheizung_Klima,privat,Offer,550,control,andere,1996,manuell,102,3er,150000,Oct,Gasoline,bmw,No,2016-03-27 00:00:00,78224,2016-04-05 15:45:48,2016,2016,March,March,9,15,20,2
2016-03-05 15:38:51,BMW_316iCompact,privat,Offer,3250,control,andere,2001,manuell,120,3er,150000,Jun,Gasoline,bmw,No,2016-03-05 00:00:00,38442,2016-03-14 16:18:06,2016,2016,March,March,9,16,15,6
2016-03-27 14:44:09,Bmw_318ti_1_Hand_Standheizung__Klima__Ahk__Leder__TÜV_1/18,privat,Offer,3950,control,andere,2002,manuell,143,3er,150000,May,Gasoline,bmw,No,2016-03-27 00:00:00,96487,2016-04-07 10:46:11,2016,2016,March,March,11,10,14,7
