dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-30 08:50:37,BMW_120i_Cabrio_mit_M_Paket,privat,Offer,14800,control,cabrio,2008,manuell,170,1er,125000,Apr,Gasoline,bmw,Other,2016-03-30 00:00:00,48691,2016-04-07 00:17:23,2016,2016,March,March,8,0,8,8
2016-03-07 22:36:54,BMW_325_i_Cabrio_wenig_Kilometer,privat,Offer,14999,test,cabrio,2007,manuell,218,3er,50000,Aug,Gasoline,bmw,No,2016-03-07 00:00:00,1129,2016-03-15 10:17:59,2016,2016,March,March,8,10,9,4
2016-04-03 18:58:25,BMW_Z4_roadster_2.2i_M_Paket__Klima__Xenon,privat,Offer,9450,control,cabrio,2004,manuell,170,z_reihe,150000,Nov,Gasoline,bmw,No,2016-04-03 00:00:00,65549,2016-04-07 11:15:22,2016,2016,April,April,4,11,12,1
2016-03-28 18:38:30,BMW_Z4_roadster_2.2i,privat,Offer,14900,control,cabrio,2004,manuell,170,z_reihe,70000,Jun,Gasoline,bmw,No,2016-03-28 00:00:00,16321,2016-04-07 00:17:37,2016,2016,March,March,10,0,12,6
2016-03-05 14:41:09,BMW_Z4_roadster_2.2i_Automatik_Prof_Navi,privat,Offer,8100,control,cabrio,2004,automatik,170,z_reihe,150000,Sep,Gasoline,bmw,No,2016-03-05 00:00:00,38723,2016-03-19 20:47:36,2016,2016,March,March,14,20,12,3
2016-03-11 20:56:26,BMW_3er_318_Ci_Edition_Exclusive_M_Technic_CABRIO_8500,privat,Offer,8499,control,cabrio,2006,manuell,150,3er,150000,Mar,Gasoline,bmw,No,2016-03-11 00:00:00,51515,2016-04-06 04:44:25,2016,2016,March,March,26,4,10,9
2016-03-21 13:43:24,BMW_325_Ci_m__packet_lpg_prins,privat,Offer,6800,test,cabrio,2001,manuell,192,3er,150000,Mar,Lpg,bmw,No,2016-03-21 00:00:00,53111,2016-03-21 13:43:24,2016,2016,March,March,0,13,15,9
2016-03-17 11:49:13,BMW_E_46_Caprio_2_5_ci,privat,Offer,3800,control,cabrio,2001,manuell,0,3er,150000,Mar,Gasoline,bmw,No,2016-03-17 00:00:00,84489,2016-03-19 11:45:35,2016,2016,March,March,2,11,15,9
2016-03-27 09:56:27,BMW_E_46_Cabrio__Black_Saphir_Metallic__Facelift,privat,Offer,7400,test,cabrio,2003,automatik,192,Other,150000,Aug,Other,bmw,No,2016-03-27 00:00:00,71067,2016-04-01 08:16:21,2016,2016,March,March,5,8,13,4
2016-03-20 10:54:37,BMW_318_Cabrio_m_Optik,privat,Offer,1750,control,cabrio,1997,manuell,0,andere,150000,Mar,Gasoline,bmw,No,2016-03-20 00:00:00,56567,2016-03-21 07:37:01,2016,2016,March,March,1,7,19,9
