dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-26 07:54:29,Bmw_316i_compact.____200,privat,Offer,200,test,coupe,1995,manuell,102,3er,150000,Apr,Gasoline,bmw,Other,2016-03-26 00:00:00,23560,2016-04-01 20:46:51,2016,2016,March,March,6,20,21,8
2016-03-28 13:46:45,BMW_323_Ci_Automatik__Sitzheizung__Sportauspuff__Alufelgen_17Zoll,privat,Offer,2900,test,coupe,2000,automatik,170,3er,150000,Feb,Gasoline,bmw,No,2016-03-28 00:00:00,53332,2016-03-30 04:17:59,2016,2016,March,March,2,4,16,10
2016-03-15 23:55:52,BMW_325d_Coupe,privat,Offer,8600,control,coupe,2007,manuell,197,3er,150000,Apr,Diesel,bmw,No,2016-03-15 00:00:00,72116,2016-03-16 08:42:05,2016,2016,March,March,1,8,9,8
2016-03-17 06:56:39,BMW_316i,privat,Offer,899,control,coupe,1995,manuell,102,3er,150000,Aug,Gasoline,bmw,No,2016-03-17 00:00:00,85640,2016-03-20 07:17:29,2016,2016,March,March,3,7,21,4
2016-03-05 19:47:47,BMW_Z4_Coupe_3.0si_/Sommerfahrzeug,privat,Offer,16500,test,coupe,2007,manuell,265,z_reihe,150000,Mar,Gasoline,bmw,No,2016-03-05 00:00:00,71083,2016-04-07 12:17:24,2016,2016,March,March,33,12,9,9
2016-03-30 13:53:41,BMW_635_CSi_!_Top_gepflegt_!_H_Kennz._!_TÜV_2017,privat,Offer,16500,test,coupe,1983,manuell,218,6er,150000,Oct,Gasoline,bmw,No,2016-03-30 00:00:00,42719,2016-04-01 08:18:11,2016,2016,March,March,2,8,33,2
2016-03-26 10:37:21,BMW_coupe,privat,Offer,3350,test,coupe,1997,manuell,170,3er,150000,Nov,Gasoline,bmw,No,2016-03-26 00:00:00,83024,2016-03-26 11:41:18,2016,2016,March,March,0,11,19,1
2016-03-30 00:57:26,BMW_328i,privat,Offer,2000,test,coupe,1995,manuell,193,3er,150000,May,Gasoline,bmw,Yes,2016-03-29 00:00:00,44135,2016-04-06 21:47:39,2016,2016,March,March,8,21,21,7
2016-03-21 15:59:54,BMW_316ti_Compact,privat,Offer,1999,control,coupe,2001,manuell,116,3er,150000,Aug,Gasoline,bmw,No,2016-03-21 00:00:00,44359,2016-03-24 05:15:42,2016,2016,March,March,3,5,15,4
2016-03-28 19:40:52,BMW_335,privat,Offer,21000,control,coupe,2007,manuell,409,3er,150000,Apr,Gasoline,bmw,No,2016-03-28 00:00:00,84030,2016-04-07 01:45:48,2016,2016,March,March,10,1,9,8
2016-04-03 16:54:55,BMW_323_CI_Topasblau_HK__Leder__Alarm_/_viele_Neuteile!,privat,Offer,2300,control,coupe,1999,manuell,170,3er,150000,Sep,Gasoline,bmw,No,2016-04-03 00:00:00,51109,2016-04-03 16:54:55,2016,2016,April,April,0,16,17,3
2016-03-18 19:46:40,BMW_316i,privat,Offer,550,control,coupe,1995,manuell,105,3er,150000,Nov,Gasoline,bmw,No,2016-03-18 00:00:00,57250,2016-04-05 22:47:01,2016,2016,March,March,18,22,21,1
