dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-04 17:36:23,BMW_316i___e36_Limousine___Bastlerfahrzeug__Export,privat,Offer,650,test,limousine,1995,manuell,102,3er,150000,Oct,Gasoline,bmw,Yes,2016-04-04 00:00:00,33775,2016-04-06 19:17:07,2016,2016,April,April,2,19,21,2
2016-03-27 11:38:00,BMW_530i_TÜV_7/17_Scheckheftgepflegt_sehr_guter_Zustand,privat,Offer,3699,test,limousine,2002,automatik,231,5er,150000,Jul,Gasoline,bmw,No,2016-03-27 00:00:00,68309,2016-04-07 06:44:26,2016,2016,March,March,11,6,14,5
2016-03-24 00:52:09,BMW_E60_530XD,privat,Offer,12500,test,limousine,2006,automatik,231,5er,150000,Nov,Diesel,bmw,Other,2016-03-23 00:00:00,46119,2016-04-04 16:18:19,2016,2016,March,March,12,16,10,1
2016-03-15 18:59:02,BMW_120d_DPF,privat,Offer,7999,control,limousine,2007,manuell,177,1er,150000,Aug,Diesel,bmw,No,2016-03-15 00:00:00,53604,2016-03-16 16:47:48,2016,2016,March,March,1,16,9,4
2016-03-29 18:53:48,Bmw_318_d_Sport_Edition_Facelift,privat,Offer,7999,control,limousine,2008,automatik,143,3er,150000,Nov,Diesel,bmw,Other,2016-03-29 00:00:00,71083,2016-04-06 04:45:54,2016,2016,March,March,8,4,8,1
2016-03-21 10:47:53,BMW_316_automatikgetriebe_Klimaanlage,privat,Offer,650,test,limousine,1997,automatik,102,3er,150000,Aug,Gasoline,bmw,Other,2016-03-21 00:00:00,13357,2016-03-22 14:49:21,2016,2016,March,March,1,14,19,4
2016-03-22 17:44:26,530d_XDRIVE_235_PS,privat,Offer,7300,control,limousine,2009,automatik,235,5er,100000,Mar,Diesel,bmw,No,2016-03-22 00:00:00,83022,2016-03-22 17:44:26,2016,2016,March,March,0,17,7,9
2016-03-09 17:47:24,BMW_320d_DPF,privat,Offer,5950,test,limousine,2006,manuell,163,3er,150000,Jan,Diesel,bmw,Yes,2016-03-09 00:00:00,63526,2016-03-10 14:15:41,2016,2016,March,March,1,14,10,11
2016-03-11 20:55:37,BMW_740i,privat,Offer,1800,control,limousine,1995,automatik,286,7er,150000,Nov,Gasoline,bmw,Yes,2016-03-11 00:00:00,77866,2016-03-20 10:17:59,2016,2016,March,March,9,10,21,1
2016-04-01 10:54:38,BMW_E34_518I,privat,Offer,950,control,limousine,1995,manuell,115,5er,150000,Jan,Gasoline,bmw,Other,2016-04-01 00:00:00,27751,2016-04-07 07:46:00,2016,2016,April,April,6,7,21,11
2016-03-30 16:39:39,BMW_730er_V8_Automatik_aus_3er_Hand_top_fahrbereit__TÜV:07.16!!!,privat,Offer,1600,test,limousine,1996,automatik,0,7er,150000,May,Gasoline,bmw,No,2016-03-30 00:00:00,12057,2016-04-01 10:45:49,2016,2016,March,March,2,10,20,7
2016-03-31 19:52:39,BMW_318d_DPF,privat,Offer,10500,control,limousine,2010,manuell,143,3er,150000,May,Diesel,bmw,No,2016-03-31 00:00:00,29683,2016-04-06 14:18:03,2016,2016,March,March,6,14,6,7
