dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-13 13:11:17,bmw_x1_mit_viel_ekstras,privat,Offer,14800,test,suv,2011,manuell,0,x_reihe,100000,Jan,Diesel,bmw,Other,2016-03-12 00:00:00,56288,2016-03-15 18:15:11,2016,2016,March,March,3,18,5,11
2016-03-21 22:51:12,BMW_X5_xDrive30d_Sportpaket_Panorama_Kamera_Komfsitz,privat,Offer,26900,control,suv,2011,automatik,245,x_reihe,125000,Jan,Diesel,bmw,No,2016-03-21 00:00:00,63179,2016-03-27 09:46:13,2016,2016,March,March,6,9,5,11
2016-03-31 00:38:40,BMW_X3_xDrive20d_Aut._Edition_Lifestyle,privat,Offer,19999,control,suv,2010,automatik,177,x_reihe,125000,Jan,Diesel,bmw,No,2016-03-30 00:00:00,69221,2016-04-05 23:17:32,2016,2016,March,March,6,23,6,11
2016-03-24 11:48:00,BMW_X3_2.0d,privat,Offer,11900,test,suv,2004,manuell,150,x_reihe,125000,Nov,Diesel,bmw,No,2016-03-24 00:00:00,51674,2016-04-07 02:44:51,2016,2016,March,March,14,2,12,1
2016-03-08 07:54:40,BMW_X1_E84,privat,Offer,16990,test,suv,2011,manuell,220,x_reihe,150000,Jul,Diesel,bmw,No,2016-03-08 00:00:00,45770,2016-03-22 16:45:47,2016,2016,March,March,14,16,5,5
2016-03-31 13:25:19,BMW_X5_E53_Diesel,privat,Offer,3500,control,suv,2002,automatik,184,x_reihe,150000,Mar,Diesel,bmw,Other,2016-03-31 00:00:00,65929,2016-04-01 20:34:28,2016,2016,March,March,1,20,14,9
2016-03-26 20:52:39,BMW_X3_2.0i,privat,Offer,9300,control,suv,2007,manuell,150,x_reihe,125000,Jun,Gasoline,bmw,No,2016-03-26 00:00:00,95131,2016-03-31 18:15:30,2016,2016,March,March,5,18,9,6
2016-04-03 11:58:06,Schoener_und_gepflegter_X_3_Facelift_technisch_und_optisch_sehr_gu,privat,Offer,8300,control,suv,2006,manuell,150,x_reihe,150000,Nov,Diesel,bmw,No,2016-04-03 00:00:00,59065,2016-04-03 11:58:06,2016,2016,April,April,0,11,10,1
2016-04-05 12:46:03,BMW_X5_3.0_d_Vollausst._Panoramadach,privat,Offer,8900,test,suv,2004,automatik,218,x_reihe,150000,Sep,Diesel,bmw,No,2016-04-05 00:00:00,49661,2016-04-05 12:46:03,2016,2016,April,April,0,12,12,3
2016-03-12 13:52:40,BMW_X3_2_0d_/__Leder_/_HU_neu_/_viele_Neuteile_/_AHK,privat,Offer,11990,control,suv,2007,manuell,150,3er,150000,Aug,Diesel,bmw,No,2016-03-12 00:00:00,87452,2016-04-06 21:18:42,2016,2016,March,March,25,21,9,4
2016-03-30 10:49:52,BMW_X3_2.0d_mit_M_Paket,privat,Offer,9850,test,suv,2006,manuell,150,x_reihe,150000,Jan,Diesel,bmw,No,2016-03-30 00:00:00,89420,2016-04-07 01:44:41,2016,2016,March,March,8,1,10,11
2016-04-01 10:25:35,BMW_X5_3.0_d,privat,Offer,7800,control,suv,2003,automatik,184,x_reihe,150000,Sep,Diesel,bmw,No,2016-04-01 00:00:00,60313,2016-04-06 20:17:45,2016,2016,April,April,5,20,13,3
