dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-20 12:48:04,Chevrolet_Trans_Sport_3_4_L_188_PS,privat,Offer,500,test,bus,2001,automatik,188,andere,150000,Jan,Gasoline,chevrolet,Other,2016-03-20 00:00:00,88690,2016-03-24 03:47:32,2016,2016,March,March,4,3,15,11
2016-03-15 18:48:45,Chevrolet_Trans_Sport_AWD_SF_Premium,privat,Offer,3590,control,bus,2003,automatik,188,andere,125000,Mar,Gasoline,chevrolet,No,2016-03-15 00:00:00,83071,2016-03-16 16:46:27,2016,2016,March,March,1,16,13,9
2016-03-29 13:47:58,Chevrolet_TransSport,privat,Offer,999,control,bus,2001,automatik,186,andere,100000,Apr,Gasoline,chevrolet,No,2016-03-29 00:00:00,4315,2016-03-31 06:18:08,2016,2016,March,March,2,6,15,8
2016-03-23 14:42:46,Der_VAN_ist_zu_OSTERN_reisefertig,privat,Offer,6000,test,bus,1995,automatik,200,andere,150000,Jan,Gasoline,chevrolet,No,2015-03-20 00:00:00,24558,2016-04-07 03:45:01,2015,2016,March,March,384,3,21,11
2016-03-07 16:58:37,Chevrolet_Trans_Sport_SE_Premium,privat,Offer,1111,control,bus,2001,automatik,188,andere,150000,Feb,Gasoline,chevrolet,No,2016-03-07 00:00:00,31311,2016-03-12 11:46:46,2016,2016,March,March,5,11,15,10
2016-03-10 19:47:19,Chevrolet_Chevrolet_Orlando_LT__aus_1.Hand,privat,Offer,9500,control,bus,2012,manuell,141,andere,70000,Jun,Gasoline,chevrolet,No,2016-03-10 00:00:00,50678,2016-03-11 08:16:37,2016,2016,March,March,1,8,4,6
2016-03-08 13:58:38,Chevrolet_Astro_Van_Minivan_Allrad_AWD,privat,Offer,2850,control,bus,1995,automatik,160,andere,150000,Apr,Gasoline,chevrolet,No,2016-03-08 00:00:00,29339,2016-03-22 09:16:10,2016,2016,March,March,14,9,21,8
2016-03-26 21:51:23,Chevrolet_Rezzo_2.0_Automatik_CDX,privat,Offer,2700,control,bus,2007,automatik,120,andere,70000,Jul,Gasoline,chevrolet,No,2016-03-26 00:00:00,55278,2016-03-26 22:41:30,2016,2016,March,March,0,22,9,5
2016-03-11 10:37:26,Chevrolet_Astro_LT__4_3ltr._Originalzustand,privat,Offer,5400,test,bus,1997,automatik,190,andere,90000,Jan,Gasoline,chevrolet,Other,2016-03-11 00:00:00,83544,2016-04-07 02:46:09,2016,2016,March,March,27,2,19,11
2016-03-14 16:53:09,Chevrolet_Savana_5_7_V8_Luxus_Van_3_Monitore_Leder,privat,Offer,4900,test,bus,2000,automatik,256,andere,150000,Jul,Gasoline,chevrolet,No,2016-03-14 00:00:00,13189,2016-03-21 07:48:42,2016,2016,March,March,7,7,16,5
2016-03-28 00:54:49,Chevrolet_Chevy_Van_G20__orig._Wohnm._ab_Werk__restauriert,privat,Offer,13500,control,bus,1989,automatik,200,andere,150000,Apr,Gasoline,chevrolet,No,2016-03-28 00:00:00,96450,2016-04-06 10:18:01,2016,2016,March,March,9,10,27,8
