dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-25 00:59:31,Chevrolet_Corvette_1974_in_Top_zustand,privat,Offer,18950,control,cabrio,1974,automatik,200,andere,80000,Apr,Gasoline,chevrolet,Other,2016-03-24 00:00:00,47638,2016-04-06 06:17:05,2016,2016,March,March,13,6,42,8
2016-03-28 00:36:21,Camaro_3_8_v6_Cabrio_mit_teilw._rotem_Leder_und_neuen_Verdeck,privat,Offer,8333,control,cabrio,1999,automatik,193,andere,40000,Jan,Gasoline,chevrolet,No,2016-03-28 00:00:00,94529,2016-04-06 10:18:00,2016,2016,March,March,9,10,17,11
2016-04-02 18:54:56,Chevrolet_Caprice_Cabriolet,privat,Offer,19500,control,cabrio,1974,automatik,150,andere,100000,Mar,Gasoline,chevrolet,No,2016-04-02 00:00:00,31717,2016-04-06 18:47:49,2016,2016,April,April,4,18,42,9
2016-03-29 10:56:12,Chevrolet_Chevrolet_Camaro_Cabrio/Targa__NAVI__LEDER__Auto,privat,Offer,2990,control,cabrio,1998,automatik,193,andere,150000,Apr,Gasoline,chevrolet,No,2016-03-29 00:00:00,22117,2016-03-29 11:44:29,2016,2016,March,March,0,11,18,8
2016-03-28 01:59:10,Chevrolet_Camaro_3.8_Automatik,privat,Offer,8333,test,cabrio,1999,automatik,193,andere,40000,Jan,Gasoline,chevrolet,No,2016-03-28 00:00:00,94032,2016-04-06 10:17:58,2016,2016,March,March,9,10,17,11
2016-03-12 15:57:35,Chevrolet_Impala_SS_V8_Cabrio_H_zul_TÜV_Neu_Guter_Zustand,privat,Offer,19900,control,cabrio,1963,automatik,250,andere,100000,Jul,Gasoline,chevrolet,Other,2016-03-12 00:00:00,45309,2016-04-07 10:17:05,2016,2016,March,March,26,10,53,5
2016-03-08 09:54:00,Corvette_C5__Schaltgetriebe__Cabrio__Einzigartig,privat,Offer,17000,control,cabrio,2002,manuell,420,andere,150000,May,Gasoline,chevrolet,Other,2016-03-08 00:00:00,12627,2016-04-03 01:47:43,2016,2016,March,March,26,1,14,7
2016-03-07 19:53:11,Chevrolet_Camaro_3.8_Automatik___Prinz_LPG__82.000km__Top_Zustand,privat,Offer,5850,control,cabrio,2001,automatik,193,andere,90000,Feb,Lpg,chevrolet,No,2016-03-07 00:00:00,52538,2016-03-17 22:15:59,2016,2016,March,March,10,22,15,10
2016-04-04 13:57:51,Corvette_C5__Cabrio__Schalter,privat,Offer,16999,control,cabrio,2002,manuell,400,andere,150000,Apr,Gasoline,chevrolet,No,2016-04-04 00:00:00,12627,2016-04-06 15:16:58,2016,2016,April,April,2,15,14,8
2016-03-27 23:55:30,Chevrolet_Camaro_Cabrio/Targa_NAVI_LEDER,privat,Offer,2990,test,cabrio,1999,automatik,194,andere,150000,Apr,Gasoline,chevrolet,Other,2016-03-27 00:00:00,22117,2016-03-29 22:18:20,2016,2016,March,March,2,22,17,8
2016-03-09 15:49:15,corvette_c5,privat,Offer,1,control,cabrio,2003,Unspecified,0,Other,5000,Jan,Other,chevrolet,Other,2016-03-09 00:00:00,74246,2016-03-15 00:46:35,2016,2016,March,March,6,0,13,11
2016-03-12 14:36:26,1965_CORVETTE_STINGRAY_2D_Cabrio,privat,Offer,18900,test,cabrio,1965,manuell,425,andere,70000,Jan,Gasoline,chevrolet,No,2016-03-12 00:00:00,38100,2016-03-12 14:36:26,2016,2016,March,March,0,14,51,11
2016-03-19 21:54:07,Chevrolet_Camaro_Cabrio_Iroc_Z_28,privat,Offer,7990,control,cabrio,1990,manuell,193,andere,150000,Jul,Gasoline,chevrolet,No,2016-03-19 00:00:00,34516,2016-04-05 11:48:42,2016,2016,March,March,17,11,26,5
2016-03-27 12:52:33,Chevrolet_Camaro,privat,Offer,5500,test,cabrio,1995,automatik,148,andere,125000,Jul,Gasoline,chevrolet,No,2016-03-27 00:00:00,8525,2016-03-29 01:44:39,2016,2016,March,March,2,1,21,5
2016-03-21 22:36:18,Chevrolet_Cavalier_Z24,privat,Offer,5500,control,cabrio,1989,automatik,126,andere,150000,Jan,Gasoline,chevrolet,No,2016-03-21 00:00:00,87766,2016-04-05 13:17:17,2016,2016,March,March,15,13,27,11
2016-03-12 14:53:38,Chevrolet_Camaro_Z28_4_9l_V8_Cabriolet__Oldtimer_,privat,Offer,4499,test,cabrio,1988,automatik,173,andere,70000,Jun,Gasoline,chevrolet,Other,2016-03-12 00:00:00,33104,2016-03-16 18:18:01,2016,2016,March,March,4,18,28,6
2016-03-12 00:56:44,CORVETTE_2D_STINGRAY_1965,privat,Offer,16800,test,cabrio,1965,manuell,440,andere,70000,Jan,Gasoline,chevrolet,No,2016-03-12 00:00:00,38106,2016-03-12 04:53:43,2016,2016,March,March,0,4,51,11
