dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-02 20:51:55,Camaro_RS_Targa__5_0_Schalter_Tuev_6/2017,privat,Offer,4400,test,coupe,1991,manuell,185,andere,150000,Mar,Gasoline,chevrolet,No,2016-04-02 00:00:00,85622,2016-04-02 20:51:55,2016,2016,April,April,0,20,25,9
2016-03-07 19:55:05,69er_Chevrolet_Caprice_Custom_Coupe_Impala_H_Zulassung,privat,Offer,16900,control,coupe,1969,automatik,300,andere,100000,Jul,Gasoline,chevrolet,No,2016-03-07 00:00:00,21335,2016-03-12 18:47:17,2016,2016,March,March,5,18,47,5
2016-03-25 15:54:43,Chevrolet_Camaro_3.8,privat,Offer,3790,test,coupe,2000,manuell,193,andere,150000,Mar,Gasoline,chevrolet,No,2016-03-25 00:00:00,36341,2016-04-06 20:16:46,2016,2016,March,March,12,20,16,9
2016-03-24 20:54:36,Chevrolet_1966_Chevrolet_Impala_sport_Sedan,privat,Offer,17000,test,coupe,1966,automatik,193,andere,70000,Jul,Gasoline,chevrolet,No,2016-03-24 00:00:00,12459,2016-04-05 14:46:24,2016,2016,March,March,12,14,50,5
2016-04-04 22:56:14,Chevrolet_Caprice_Coupe__seltener_2door__Restaurationsobjekt,privat,Offer,4400,test,coupe,1972,automatik,170,andere,150000,Jan,Gasoline,chevrolet,Yes,2016-04-04 00:00:00,87730,2016-04-07 01:46:10,2016,2016,April,April,3,1,44,11
2016-03-07 11:53:01,Chevrolet_Camaro,privat,Offer,11990,test,coupe,1981,automatik,156,andere,150000,Apr,Gasoline,chevrolet,No,2016-03-07 00:00:00,90574,2016-04-05 13:45:52,2016,2016,March,March,29,13,35,8
2016-03-31 18:37:53,Olds_Cutlass_Supreme_Brougham_Chevy_Ford_Dodge_Hot_Rod_Oldi,privat,Offer,9888,control,coupe,1979,automatik,160,Other,50000,May,Gasoline,chevrolet,Other,2016-03-31 00:00:00,53773,2016-04-06 12:16:12,2016,2016,March,March,6,12,37,7
2016-03-19 20:56:46,Chevrolet_Camaro,privat,Offer,4750,control,coupe,1992,manuell,0,andere,150000,Jul,Gasoline,chevrolet,No,2016-03-19 00:00:00,37633,2016-03-20 23:47:15,2016,2016,March,March,1,23,24,5
2016-03-10 20:48:04,Chevrolet_Camaro_1984_Oldtimer__H_,privat,Offer,6990,test,coupe,1984,automatik,135,andere,90000,Mar,Gasoline,chevrolet,No,2016-03-10 00:00:00,66849,2016-04-02 10:44:39,2016,2016,March,March,23,10,32,9
2016-03-22 17:51:42,Corvettte_in_rot___Bestzustand,privat,Offer,9999,control,coupe,1991,automatik,247,Other,150000,Feb,Gasoline,chevrolet,No,2016-03-22 00:00:00,82362,2016-03-28 08:45:40,2016,2016,March,March,6,8,25,10
2016-03-29 20:57:49,Chevrolet_Camaro_RS_5.0_V8___Amerika_US_Power_Muscle_Car,privat,Offer,5999,test,coupe,1992,manuell,180,andere,150000,Jul,Gasoline,chevrolet,No,2016-03-29 00:00:00,37603,2016-04-06 07:46:30,2016,2016,March,March,8,7,24,5
2016-04-05 11:51:52,Chevrolet_Camaro,privat,Offer,5000,test,coupe,1979,automatik,173,andere,20000,Nov,Gasoline,chevrolet,No,2016-04-05 00:00:00,82194,2016-04-05 12:41:30,2016,2016,April,April,0,12,37,1
2016-03-05 14:08:42,Chevrolet_Camaro_4_9l_V8_Coupé_Oldtimer,privat,Offer,15000,test,coupe,1979,automatik,145,andere,90000,Jun,Gasoline,chevrolet,No,2016-03-04 00:00:00,65760,2016-04-06 02:44:41,2016,2016,March,March,33,2,37,6
2016-03-07 09:37:42,Chevrolet_Camaro_V8_tausch_gegen_HD_oder_Boot,privat,Offer,14500,control,coupe,1979,automatik,0,Other,125000,Jul,Gasoline,chevrolet,No,2016-03-07 00:00:00,98701,2016-03-20 12:44:40,2016,2016,March,March,13,12,37,5
2016-03-08 13:53:46,Chevrolet_Chevelle,privat,Offer,17500,control,coupe,1975,Unspecified,0,andere,100000,Jan,Other,chevrolet,No,2016-03-08 00:00:00,31311,2016-04-06 00:45:50,2016,2016,March,March,29,0,41,11
