dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-02 12:39:02,Chevrolet_Matiz_0.8_SE,privat,Offer,1350,test,kleinwagen,2005,manuell,52,matiz,150000,Jun,Gasoline,chevrolet,Yes,2016-04-02 00:00:00,91207,2016-04-06 10:17:28,2016,2016,April,April,4,10,11,6
2016-03-10 17:25:18,Chevrolet_Spark_1.0,privat,Offer,3999,control,kleinwagen,2011,manuell,68,spark,40000,Jun,Gasoline,chevrolet,No,2016-03-10 00:00:00,65232,2016-03-23 00:18:15,2016,2016,March,March,13,0,5,6
2016-03-27 18:43:04,Chevrolet_Matiz_1.0___LPG_BENZIN,privat,Offer,2990,control,kleinwagen,2007,manuell,67,matiz,125000,Apr,Lpg,chevrolet,No,2016-03-27 00:00:00,72108,2016-04-05 15:15:28,2016,2016,March,March,9,15,9,8
2016-03-11 11:48:03,Chevrolet_Spark_1.0_LS,privat,Offer,4999,control,kleinwagen,2011,manuell,68,spark,50000,Oct,Gasoline,chevrolet,No,2016-03-11 00:00:00,63533,2016-04-01 07:15:20,2016,2016,March,March,21,7,5,2
2016-03-26 20:47:47,Chevrolet__Matiz,privat,Offer,3350,control,kleinwagen,2010,manuell,52,matiz,80000,Feb,Gasoline,chevrolet,No,2016-03-26 00:00:00,18273,2016-04-06 11:17:46,2016,2016,March,March,11,11,6,10
2016-03-15 11:47:35,Chevrolet_Karlos_1_4_Klima_Diebstahlschaden_ohne_Brief!,privat,Offer,750,test,kleinwagen,2007,manuell,94,andere,100000,Mar,Gasoline,chevrolet,No,2016-03-15 00:00:00,99310,2016-03-20 06:16:44,2016,2016,March,March,5,6,9,9
2016-03-09 11:54:15,Chevrolet_Matiz,privat,Offer,1800,test,kleinwagen,2006,manuell,0,matiz,90000,Mar,Other,chevrolet,No,2016-03-09 00:00:00,47228,2016-03-12 07:44:38,2016,2016,March,March,3,7,10,9
2016-03-26 08:55:21,Chevrolet_Matiz_1.0,privat,Offer,2900,test,kleinwagen,2010,manuell,67,matiz,80000,Apr,Gasoline,chevrolet,No,2016-03-26 00:00:00,25421,2016-04-03 19:47:50,2016,2016,March,March,8,19,6,8
2016-03-30 08:55:31,Chevrolet_Matiz__2009_mit_45000km,privat,Offer,3650,control,kleinwagen,2009,manuell,52,matiz,50000,Jul,Gasoline,chevrolet,No,2016-03-30 00:00:00,26789,2016-03-30 08:55:31,2016,2016,March,March,0,8,7,5
2016-03-31 23:50:47,Daewoo_Chevrollet_Matiz_2002_zu_verkaufen,privat,Offer,599,control,kleinwagen,2002,manuell,603,matiz,5000,Nov,Gasoline,chevrolet,Yes,2016-03-31 00:00:00,44379,2016-04-01 03:41:52,2016,2016,March,March,1,3,14,1
