dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-14 12:00:10,Chevrolet_Nubira_2.0_Kombi_D_CDX,privat,Offer,3299,test,kombi,2007,manuell,121,andere,150000,Apr,Diesel,chevrolet,No,2016-03-14 00:00:00,44149,2016-03-23 12:46:54,2016,2016,March,March,9,12,9,8
2016-03-16 19:39:59,Chevrolet_Chevy_Caprice_Station_Kombi_+_massig_Teile,privat,Offer,6000,test,kombi,1987,automatik,0,andere,5000,Jan,Lpg,chevrolet,Other,2016-03-16 00:00:00,13059,2016-04-06 08:45:29,2016,2016,March,March,21,8,29,11
2016-03-21 17:58:25,Chevrolet_Nubira_1.8_Kombi_Gas_CDX,privat,Offer,2250,control,kombi,2008,manuell,121,andere,150000,Mar,Lpg,chevrolet,No,2016-03-21 00:00:00,63512,2016-03-28 15:19:32,2016,2016,March,March,7,15,8,9
2016-03-13 18:36:58,Chevrolet_HHR_mit_LPG_Anlage,privat,Offer,6200,test,kombi,2009,automatik,170,andere,150000,Feb,Lpg,chevrolet,No,2016-03-13 00:00:00,26529,2016-03-21 17:46:49,2016,2016,March,March,8,17,7,10
2016-03-16 11:39:39,Chevrolet_Cruze_Station_Wagon_1.8_LTZ,privat,Offer,11600,test,kombi,2013,manuell,141,andere,100000,Mar,Gasoline,chevrolet,No,2016-03-16 00:00:00,23623,2016-04-06 04:15:56,2016,2016,March,March,21,4,3,9
2016-03-31 15:52:26,Chevrolet_Nubira_2_0_Diesel__Automatik,privat,Offer,1700,control,kombi,2007,automatik,0,andere,150000,Jun,Diesel,chevrolet,No,2016-03-31 00:00:00,27446,2016-04-02 11:46:30,2016,2016,March,March,2,11,9,6
2016-04-03 19:48:40,Kombi__Bj_2006_1Hd_Vollausgestattet_Klima_bei_HH,privat,Offer,2400,test,kombi,2006,manuell,0,andere,150000,Jun,Gasoline,chevrolet,No,2016-04-03 00:00:00,22952,2016-04-05 20:45:01,2016,2016,April,April,2,20,10,6
2016-04-02 17:55:18,Chevrolet_Nubira_1.6er_Kombi_LPG_Gasanlage,privat,Offer,3999,control,kombi,2011,manuell,109,andere,90000,Jan,Lpg,chevrolet,Yes,2016-04-02 00:00:00,59192,2016-04-06 17:18:01,2016,2016,April,April,4,17,5,11
2016-03-10 19:41:25,Chevrolet_Nubira_1.8_Kombi_Benzin__Gas_CDX_Sport,privat,Offer,3499,control,kombi,2007,manuell,121,andere,100000,Oct,Lpg,chevrolet,No,2016-03-10 00:00:00,47137,2016-04-06 02:17:32,2016,2016,March,March,27,2,9,2
2016-03-23 19:50:03,Chevrolet_Nubira_1.8_Kombi_CDX,privat,Offer,1000,control,kombi,2005,automatik,122,andere,100000,Apr,Gasoline,chevrolet,Yes,2016-03-23 00:00:00,71642,2016-03-31 08:16:59,2016,2016,March,March,8,8,11,8
2016-03-21 07:55:17,Chevrolet_Nubira_1.8_Tuev_8.2016__LPG+Benzin,privat,Offer,2299,control,kombi,2006,manuell,121,andere,150000,Oct,Gasoline,chevrolet,No,2016-03-21 00:00:00,49811,2016-04-04 00:46:27,2016,2016,March,March,14,0,10,2
2016-03-28 20:06:17,Chevrolet_Nubira_Kombi_lpg_TÜV_2017,privat,Offer,0,test,kombi,2006,manuell,121,andere,150000,Feb,Lpg,chevrolet,No,2016-03-28 00:00:00,55122,2016-04-07 06:15:33,2016,2016,March,March,10,6,10,10
2016-04-04 00:50:46,Chevrolet_Nubira_1.6_Kombi_SE,privat,Offer,2200,test,kombi,2006,manuell,109,andere,150000,Jun,Gasoline,chevrolet,No,2016-04-03 00:00:00,14548,2016-04-06 08:16:18,2016,2016,April,April,3,8,10,6
2016-03-15 10:56:46,Chevrolet_Nubira__Tuev_Neu__8x_Bereift_Generalueberholt,privat,Offer,0,control,kombi,2006,manuell,122,andere,150000,Jan,Other,chevrolet,No,2016-03-15 00:00:00,44287,2016-03-18 03:18:11,2016,2016,March,March,3,3,10,11
2016-03-23 22:58:46,Viel_Auto_fuer_wenig_Geld_von_Privat_aus_erster_Hand,privat,Offer,4900,test,kombi,2009,manuell,109,andere,40000,Mar,Gasoline,chevrolet,No,2016-03-23 00:00:00,39108,2016-04-06 17:46:14,2016,2016,March,March,14,17,7,9
2016-04-01 08:53:11,Chevrolet_matiz_2010,privat,Offer,2900,test,kombi,2010,manuell,0,matiz,80000,Apr,Gasoline,chevrolet,No,2016-04-01 00:00:00,25421,2016-04-01 09:47:24,2016,2016,April,April,0,9,6,8
2016-03-21 13:49:57,Chevrolet_Cruze_Station_Wagon_1.7TD_LT+,privat,Offer,9299,test,kombi,2014,manuell,131,andere,60000,Mar,Diesel,chevrolet,No,2016-03-21 00:00:00,74078,2016-04-06 09:46:29,2016,2016,March,March,16,9,2,9
2016-03-31 23:57:46,Chevrolet_Rezzo_2.0_CDX_Automatik_121_PS__Tuev_10.2017_Gepflegt!,privat,Offer,1950,control,kombi,2003,automatik,121,andere,150000,Nov,Gasoline,chevrolet,No,2016-03-31 00:00:00,56865,2016-04-07 04:16:40,2016,2016,March,March,7,4,13,1
2016-03-23 22:54:13,Chevrolet_Nubira_1.6_Kombi_SX,privat,Offer,4900,test,kombi,2009,manuell,109,andere,40000,Mar,Gasoline,chevrolet,No,2016-03-23 00:00:00,39108,2016-04-06 17:45:25,2016,2016,March,March,14,17,7,9
2016-03-21 14:43:52,Chevrolet_Nubira_1.8_,privat,Offer,1799,control,kombi,2006,automatik,125,andere,125000,Oct,Gasoline,chevrolet,Other,2016-03-21 00:00:00,42115,2016-04-06 11:15:48,2016,2016,March,March,16,11,10,2
2016-03-30 10:54:18,Chevrolet_Nubira,privat,Offer,700,test,kombi,2005,manuell,122,andere,150000,Mar,Lpg,chevrolet,No,2016-03-30 00:00:00,87629,2016-04-01 04:44:33,2016,2016,March,March,2,4,11,9
2016-04-03 13:48:28,Chevrolet_Caprice_Wagon_5.7_v8_Chevy_US_Car_deutsches_Auto,privat,Offer,1800,control,kombi,1977,automatik,170,andere,150000,May,Gasoline,chevrolet,Other,2016-04-03 00:00:00,50667,2016-04-03 13:48:28,2016,2016,April,April,0,13,39,7
2016-04-04 09:54:58,Chevrolet_HHR_2.4_LT,privat,Offer,7990,control,kombi,2009,manuell,170,andere,50000,Mar,Gasoline,chevrolet,No,2016-04-04 00:00:00,44309,2016-04-04 10:44:41,2016,2016,April,April,0,10,7,9
2016-03-10 20:37:58,Chevrolet_Nubira_1.6_Kombi_SX_mit_BRC_Fluessiggasanlage,privat,Offer,2750,test,kombi,2008,manuell,109,andere,150000,Mar,Lpg,chevrolet,No,2016-03-10 00:00:00,83629,2016-03-17 09:47:12,2016,2016,March,March,7,9,8,9
2016-03-14 10:58:50,Chevrolet_Nubira__Bilder_folgen_,privat,Offer,1300,control,kombi,2005,manuell,108,andere,150000,Jun,Gasoline,chevrolet,Other,2016-03-14 00:00:00,36381,2016-04-07 12:47:14,2016,2016,March,March,24,12,11,6
2016-03-09 16:58:08,nubira_chevrolet,privat,Offer,950,test,kombi,2006,manuell,123,andere,150000,Oct,Lpg,chevrolet,No,2016-03-09 00:00:00,63897,2016-03-10 13:15:16,2016,2016,March,March,1,13,10,2
2016-03-20 15:43:05,Chevrolet_Nubira_1.6_Kombi_SE,privat,Offer,6500,control,kombi,2011,manuell,109,andere,40000,Jul,Gasoline,chevrolet,No,2016-03-20 00:00:00,37170,2016-03-25 15:48:14,2016,2016,March,March,5,15,5,5
2016-03-09 17:47:09,Chevrolet_Nubira_1.8_Kombi_LPG,privat,Offer,990,test,kombi,2005,manuell,122,andere,150000,Oct,Lpg,chevrolet,Yes,2016-03-09 00:00:00,13353,2016-03-15 04:17:05,2016,2016,March,March,6,4,11,2
2016-03-28 13:50:39,Chevrolet_Cruze_Station_Wagon_2.0TD_LTZ+,privat,Offer,11935,test,kombi,2012,manuell,163,andere,125000,Nov,Diesel,chevrolet,No,2016-03-28 00:00:00,38820,2016-04-06 17:45:47,2016,2016,March,March,9,17,4,1
2016-04-05 11:48:18,Chevrolet_Caprice_Kombi_deutsche_Auslieferung_King_Cars_TÜV8/16,privat,Offer,3900,test,kombi,1988,automatik,108,andere,150000,May,Gasoline,chevrolet,No,2016-04-05 00:00:00,14621,2016-04-05 11:48:18,2016,2016,April,April,0,11,28,7
2016-03-05 19:57:56,Chevrolet_Suburban_Cheyenne,privat,Offer,3800,test,kombi,1993,automatik,245,andere,150000,Nov,Gasoline,chevrolet,Other,2016-03-05 00:00:00,50829,2016-04-07 03:45:13,2016,2016,March,March,33,3,23,1
2016-03-21 23:37:22,Chevrolet_Caprice_Classic_Kombi_V8_guter_Zustand_Alltagstauglich,privat,Offer,3999,test,kombi,1989,automatik,170,andere,100000,Jul,Gasoline,chevrolet,Other,2016-03-21 00:00:00,45549,2016-04-05 15:17:38,2016,2016,March,March,15,15,27,5
2016-03-24 15:38:50,Chevrolet_Nubira,privat,Offer,2490,test,kombi,2007,manuell,121,andere,150000,Oct,Gasoline,chevrolet,No,2016-03-24 00:00:00,28201,2016-03-30 16:45:35,2016,2016,March,March,6,16,9,2
2016-03-16 19:39:49,Chevrolet_Nubira_1.6_Kombi,privat,Offer,4100,test,kombi,2010,manuell,109,andere,70000,Oct,Gasoline,chevrolet,No,2016-03-16 00:00:00,71032,2016-03-23 06:46:22,2016,2016,March,March,7,6,6,2
2016-03-14 19:25:47,Chevrolet_CRUZ_Wagon_1_7D_LT_+__garantie_5/2016,privat,Offer,10800,test,kombi,2013,manuell,131,andere,50000,May,Diesel,chevrolet,No,2016-03-14 00:00:00,35683,2016-04-04 07:49:41,2016,2016,March,March,21,7,3,7
2016-03-07 19:56:48,Chevrolet_Cruze_Station_Wagon_1.6_LS+,privat,Offer,10260,control,kombi,2013,manuell,124,andere,30000,Jul,Gasoline,chevrolet,No,2016-03-07 00:00:00,16761,2016-04-05 13:45:55,2016,2016,March,March,29,13,3,5
2016-03-09 10:41:10,Chevrolet_Nubira_1.8_CDX_//_TÜV_Neu_//_Top_Fahrbereit,privat,Offer,2200,control,kombi,2006,manuell,122,andere,150000,Jan,Gasoline,chevrolet,No,2016-03-09 00:00:00,44145,2016-03-21 01:44:36,2016,2016,March,March,12,1,10,11
2016-04-02 15:38:32,Chevrolet_Nubira,privat,Offer,4500,control,kombi,2006,manuell,121,Other,80000,Jun,Other,chevrolet,No,2016-04-02 00:00:00,41849,2016-04-04 13:15:26,2016,2016,April,April,2,13,10,6
2016-03-08 13:25:19,Chevrolet_Nubira_1.6_Kombi_SX,privat,Offer,2500,control,kombi,2006,manuell,109,andere,150000,Mar,Gasoline,chevrolet,No,2016-03-08 00:00:00,55130,2016-03-10 04:29:31,2016,2016,March,March,2,4,10,9
2016-03-08 20:47:38,Nubira_Kombi_Diesel_Automatik_gruene_Plakete,privat,Offer,2300,control,kombi,2008,automatik,121,andere,150000,Feb,Diesel,chevrolet,No,2016-03-08 00:00:00,68169,2016-03-09 12:44:35,2016,2016,March,March,1,12,8,10
2016-03-09 17:47:51,"Chevrolet_Nubira_1.6_LPG_""TÜV_04/17""Scheckheft""",privat,Offer,2599,test,kombi,2007,manuell,109,andere,150000,Nov,Lpg,chevrolet,No,2016-03-09 00:00:00,92536,2016-03-15 04:44:27,2016,2016,March,March,6,4,9,1
2016-03-05 18:46:57,Chevrolet_Cruze_Station_Wagon_1.4T,privat,Offer,12990,test,kombi,2013,manuell,140,andere,20000,Jan,Gasoline,chevrolet,No,2016-03-05 00:00:00,41363,2016-03-23 12:18:58,2016,2016,March,March,18,12,3,11
2016-03-26 11:48:39,CHEVROLET_Nubira_2.0_TDCI,privat,Offer,1800,control,kombi,2007,manuell,121,andere,150000,Jul,Diesel,chevrolet,No,2016-03-26 00:00:00,4880,2016-04-05 23:17:04,2016,2016,March,March,10,23,9,5
2016-03-09 12:51:39,Chevrolet_HHR_LT_mit_LPG,privat,Angebot,4500,control,kombi,2007,automatik,175,andere,125000,7,lpg,chevrolet,nein,2016-03-09 00:00:00,0,27383,2016-04-02 01:18:15
2016-04-02 23:57:04,CHEVROLET_REZZO_BJ__9/2007__1.6_16_V_107_PS___TÜV/AU_09/2016,privat,Offer,2999,test,kombi,2007,manuell,107,andere,150000,Sep,Gasoline,chevrolet,No,2016-04-02 00:00:00,12353,2016-04-07 08:15:56,2016,2016,April,April,5,8,9,3
2016-04-02 16:59:52,Chevrolet_Cruze_Station_Wagon_2.0TD_Automatik_LTZ,privat,Offer,11500,control,kombi,2013,automatik,163,andere,100000,Aug,Diesel,chevrolet,No,2016-04-02 00:00:00,82008,2016-04-06 16:16:11,2016,2016,April,April,4,16,3,4
2016-03-14 23:57:03,Chevrolet_Nubira_1.8_Kombi_Automatik_CDX,privat,Offer,2400,control,kombi,2006,automatik,121,andere,125000,Jan,Gasoline,chevrolet,No,2016-03-14 00:00:00,45149,2016-03-21 03:15:46,2016,2016,March,March,7,3,10,11
2016-03-27 16:37:44,Chevrolet_Nubira,privat,Offer,2350,test,kombi,2006,manuell,109,andere,125000,Nov,Gasoline,chevrolet,No,2016-03-27 00:00:00,24211,2016-03-27 16:37:44,2016,2016,March,March,0,16,10,1
2016-03-30 19:38:17,Chevrolet_Nubira_1.8_Kombi_CDX_Sport,privat,Offer,3000,test,kombi,2006,manuell,121,andere,125000,May,Gasoline,chevrolet,No,2016-03-30 00:00:00,96472,2016-04-07 10:46:58,2016,2016,March,March,8,10,10,7
2016-03-14 22:56:36,Hochbett,privat,Offer,0,control,kombi,1930,manuell,99,spark,20000,Jun,Hybrid,chevrolet,No,2016-03-14 00:00:00,6842,2016-03-17 20:15:29,2016,2016,March,March,3,20,86,6
