dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-03 21:41:36,Chevrolet_Trailblazer__4_2LiterAutom_Benzin/Lpg_20_Zoll_Felgen,privat,Offer,4200,test,suv,2003,automatik,276,andere,150000,Oct,Lpg,chevrolet,Yes,2016-04-03 00:00:00,71642,2016-04-05 22:18:38,2016,2016,April,April,2,22,13,2
2016-03-07 23:56:30,Chevrolet_Captiva_2.0_4WD_7_Sitzer_LT,privat,Offer,9199,test,suv,2006,manuell,150,captiva,125000,Oct,Diesel,chevrolet,No,2016-03-07 00:00:00,59821,2016-03-17 21:45:58,2016,2016,March,March,10,21,10,2
2016-03-30 10:37:53,Chevrolet_Trailblazer_4.2_SUV_2004_LPG_Gasanlage,privat,Offer,5555,test,suv,2004,automatik,272,andere,150000,Jun,Lpg,chevrolet,Other,2016-03-30 00:00:00,28844,2016-04-07 02:15:52,2016,2016,March,March,8,2,12,6
2016-04-02 14:45:30,Verjaufe_chevrolet_captiva_7_plaetze,privat,Offer,8600,test,suv,2008,automatik,150,captiva,5000,Sep,Diesel,chevrolet,No,2016-04-02 00:00:00,33602,2016-04-06 13:15:41,2016,2016,April,April,4,13,8,3
2016-03-28 17:51:07,Chevrolet_S_10,privat,Offer,8499,test,suv,2001,automatik,193,andere,150000,Jul,Lpg,chevrolet,No,2016-03-28 00:00:00,71665,2016-04-06 23:45:58,2016,2016,March,March,9,23,15,5
2016-04-03 13:46:52,Captiva_in_top_Ausstattung,privat,Offer,14950,control,suv,2011,automatik,184,captiva,90000,Sep,Diesel,chevrolet,No,2016-04-03 00:00:00,47918,2016-04-05 12:45:03,2016,2016,April,April,2,12,5,3
2016-03-09 08:55:52,Chevrolet_K30,privat,Offer,11666,test,suv,1981,automatik,165,andere,80000,Jun,Gasoline,chevrolet,No,2016-03-09 00:00:00,97947,2016-03-12 16:49:25,2016,2016,March,March,3,16,35,6
2016-03-09 10:53:03,Chevrolet_Captiva_2.0_4WD_7_Sitzer_Automatik_LT_Exclusive,privat,Offer,9500,control,suv,2007,automatik,150,captiva,150000,Sep,Diesel,chevrolet,No,2016-03-09 00:00:00,39343,2016-04-05 14:46:25,2016,2016,March,March,27,14,9,3
2016-03-22 23:59:21,Chevrolet_captiva_2_4_lt,privat,Offer,8300,test,suv,2008,manuell,136,captiva,30000,May,Gasoline,chevrolet,No,2016-03-22 00:00:00,71065,2016-03-30 14:18:10,2016,2016,March,March,8,14,8,7
2016-03-19 01:48:58,Chevrolet_Captiva_2.4_2WD_7_Sitzer,privat,Offer,9500,control,suv,2010,manuell,136,captiva,100000,Mar,Gasoline,chevrolet,No,2016-03-18 00:00:00,25551,2016-03-21 10:46:02,2016,2016,March,March,3,10,6,9
2016-03-21 12:46:18,Chevrolet_Blazer,privat,Offer,3350,control,suv,1999,automatik,193,andere,150000,Sep,Gasoline,chevrolet,No,2016-03-21 00:00:00,21509,2016-03-29 20:47:46,2016,2016,March,March,8,20,17,3
2016-03-08 12:52:00,Chevrolet_ls_Irmscher,privat,Offer,9499,test,suv,2010,manuell,150,captiva,70000,Nov,Diesel,chevrolet,No,2016-03-08 00:00:00,79761,2016-03-29 06:47:20,2016,2016,March,March,21,6,6,1
2016-03-07 16:59:02,Chevrolet_Captiva_2.2_Diesel_4WD_LT+,privat,Offer,16900,control,suv,2012,manuell,184,captiva,90000,Nov,Diesel,chevrolet,No,2016-03-07 00:00:00,60488,2016-04-06 04:45:05,2016,2016,March,March,30,4,4,1
2016-03-26 18:38:59,Chevrolet_Blazer_K5_US_Army_H_Hennzeichen_115kw_V8_Diesel,privat,Offer,14500,test,suv,1984,automatik,156,andere,125000,Nov,Diesel,chevrolet,No,2016-03-26 00:00:00,38100,2016-04-02 09:47:57,2016,2016,March,March,7,9,32,1
2016-03-28 22:37:58,Chevrolet_S_10,privat,Offer,5990,control,suv,1995,manuell,122,andere,150000,Jun,Gasoline,chevrolet,No,2016-03-28 00:00:00,49424,2016-04-07 07:16:48,2016,2016,March,March,10,7,21,6
2016-03-30 21:58:47,Chevrolet_TrailBlazer_LTZ_mit_Voll_Extras,privat,Offer,5500,test,suv,2002,automatik,0,andere,150000,Oct,Gasoline,chevrolet,Other,2016-03-30 00:00:00,22880,2016-04-05 12:20:54,2016,2016,March,March,6,12,14,2
2016-03-27 21:53:56,Chevrolet_Blazer,privat,Offer,4950,test,suv,1999,automatik,193,andere,125000,Feb,Gasoline,chevrolet,No,2016-03-27 00:00:00,55129,2016-04-06 02:15:35,2016,2016,March,March,10,2,17,10
2016-04-04 21:43:36,Chevrolet_Captiva,privat,Offer,5250,test,suv,2007,manuell,136,captiva,150000,Jan,Lpg,chevrolet,No,2016-04-04 00:00:00,10969,2016-04-07 00:15:47,2016,2016,April,April,3,0,9,11
2016-03-09 04:03:05,Trailblazer_SS_2007_/_401PS,privat,Offer,14000,control,suv,2007,automatik,401,andere,150000,Jan,Gasoline,chevrolet,Other,2016-03-09 00:00:00,54290,2016-04-07 09:16:46,2016,2016,March,March,29,9,9,11
2016-03-25 18:57:31,Chevrolet_captiva_bj.2011_7sitzer,privat,Offer,10500,test,suv,2011,manuell,136,captiva,60000,Jul,Other,chevrolet,No,2016-03-25 00:00:00,52222,2016-03-25 19:45:08,2016,2016,March,March,0,19,5,5
2016-03-15 19:25:22,"Chevrolet_Tahoe_5.3L_VOLL_/_6cm_hoeher_/_Kamera_/_22_""_/_Magnaflow",privat,Offer,7500,test,suv,2000,automatik,0,andere,150000,Jan,Gasoline,chevrolet,Other,2016-03-15 00:00:00,63263,2016-04-07 01:16:48,2016,2016,March,March,23,1,16,11
2016-04-04 22:45:24,Chevrolet_Suburban_K2500_H.D._4WD_Allrad_Navi_Kamera_TÜV_12/2017,privat,Offer,13900,test,suv,1997,automatik,254,andere,30000,Jan,Gasoline,chevrolet,No,2016-04-04 00:00:00,88416,2016-04-07 01:17:31,2016,2016,April,April,3,1,19,11
2016-03-19 11:54:48,Chevrolet_Blazer_S_10_Automatik_4x4_TÜV_/AU.03.2018__Euro2,privat,Offer,3700,test,suv,1993,automatik,160,andere,150000,Sep,Gasoline,chevrolet,No,2016-03-19 00:00:00,22307,2016-04-06 14:46:36,2016,2016,March,March,18,14,23,3
2016-03-19 23:50:13,Chevrolet_Captiva_2.4_2WD_7_Sitzer_LS,privat,Offer,9000,control,suv,2008,manuell,136,captiva,30000,May,Gasoline,chevrolet,No,2016-03-19 00:00:00,71065,2016-03-20 06:41:34,2016,2016,March,March,1,6,8,7
2016-03-10 18:57:49,Chevrolet_Captiva_2.4_2WD_7_Sitzer_Autogas_LPG,privat,Offer,12499,test,suv,2011,manuell,136,captiva,100000,Oct,Gasoline,chevrolet,No,2016-03-10 00:00:00,30163,2016-04-06 02:17:32,2016,2016,March,March,27,2,5,2
2016-03-17 22:49:44,Chevrolet_Captiva_2.0crdi_150ps.,privat,Offer,5550,test,suv,2006,manuell,150,captiva,150000,Jan,Other,chevrolet,Yes,2016-03-17 00:00:00,38518,2016-04-01 17:16:54,2016,2016,March,March,15,17,10,11
2016-03-17 20:36:24,Chevrolet_Blazer_K5_H_Zulassung,privat,Offer,8350,control,suv,1985,Unspecified,0,andere,80000,Feb,Other,chevrolet,No,2016-03-17 00:00:00,44575,2016-04-07 08:46:40,2016,2016,March,March,21,8,31,10
2016-03-22 09:37:56,Chevrolet_Blazer_Komfort,privat,Offer,2900,test,suv,1997,automatik,193,andere,150000,Apr,Gasoline,chevrolet,No,2016-03-22 00:00:00,54597,2016-03-29 11:16:30,2016,2016,March,March,7,11,19,8
2016-03-18 18:45:36,Chevrolet_Andere,privat,Offer,26900,control,suv,1960,Unspecified,0,andere,150000,Jan,Gasoline,chevrolet,No,2016-03-18 00:00:00,9496,2016-03-27 23:17:58,2016,2016,March,March,9,23,56,11
2016-03-24 14:57:36,Chevrolet_Captiva_2.0_4WD_LT_7Sitzer/AUT./XENON/KLIMA/1.Hd,privat,Offer,9450,test,suv,2007,automatik,150,captiva,125000,Jan,Diesel,chevrolet,No,2016-03-24 00:00:00,45661,2016-03-24 14:57:36,2016,2016,March,March,0,14,9,11
