dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-12 09:44:52,Chrysler_Pt_Cruiser_zum_Tauschen____Bitte_erst_Lesen__,privat,Offer,0,control,Other,2005,manuell,150,ptcruiser,100000,Jan,Other,chrysler,Other,2016-03-12 00:00:00,37269,2016-03-12 09:44:52,2016,2016,March,March,0,9,11,11
2016-03-11 10:41:25,Pt_cruiser_2_2_diesel,privat,Offer,1100,test,Other,2016,manuell,0,ptcruiser,150000,Aug,Diesel,chrysler,Yes,2016-03-11 00:00:00,81371,2016-03-12 14:15:26,2016,2016,March,March,1,14,0,4
2016-03-16 20:43:31,Chrysler_Neon_2002_Benzin_2.0_kein_rost,privat,Offer,600,control,Other,2016,manuell,0,Other,150000,Jan,Gasoline,chrysler,Other,2016-03-16 00:00:00,41540,2016-03-19 19:19:52,2016,2016,March,March,3,19,0,11
2016-04-02 22:51:22,Chrysler_PT_Cruiser_2.0i__121200_KM__TAUSCH!!!,privat,Offer,2200,test,Other,2005,manuell,141,ptcruiser,125000,May,Gasoline,chrysler,Other,2016-04-02 00:00:00,54647,2016-04-07 00:45:49,2016,2016,April,April,5,0,11,7
2016-03-07 21:48:45,Chrysler_Liebhaber_Auto,privat,Offer,1000,control,Other,1995,manuell,92,andere,150000,May,Other,chrysler,Other,2016-03-07 00:00:00,8129,2016-04-06 03:45:01,2016,2016,March,March,30,3,21,7
2016-04-01 18:48:51,Chrysler_300c_Grill,privat,Offer,150,control,Other,2008,Unspecified,0,300c,5000,Jan,Other,chrysler,Other,2016-04-01 00:00:00,91413,2016-04-05 14:46:51,2016,2016,April,April,4,14,8,11
2016-03-26 21:57:21,Chrysler_pt2.2_diesel,privat,Offer,2400,control,Other,2002,manuell,122,ptcruiser,150000,Jul,Other,chrysler,No,2016-03-26 00:00:00,88214,2016-04-06 13:16:39,2016,2016,March,March,11,13,14,5
2016-03-24 12:38:50,Jeep__usa__4_lieter,privat,Offer,650,test,Other,1995,automatik,0,Other,150000,Jan,Gasoline,chrysler,Yes,2016-03-24 00:00:00,27333,2016-04-05 00:18:20,2016,2016,March,March,12,0,21,11
2016-03-30 16:48:44,le_baron__3l_v6,privat,Offer,1850,test,Other,1995,automatik,0,andere,100000,Jan,Gasoline,chrysler,Other,2016-03-30 00:00:00,32602,2016-04-07 07:45:00,2016,2016,March,March,8,7,21,11
2016-03-12 18:59:09,Guenstig_tuev05.16__7sitzer_Diesel_Umzug_crysler__voyager__tauschen,privat,Offer,300,test,Other,2016,manuell,116,Other,150000,May,Other,chrysler,Other,2016-03-12 00:00:00,88456,2016-03-15 05:46:04,2016,2016,March,March,3,5,0,7
