dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-23 19:51:22,Chrysler_Crossfire_STARTECH_4.4S_Testwagen_Sammlerobjekt,privat,Offer,20000,control,coupe,2004,manuell,325,crossfire,125000,Mar,Gasoline,chrysler,No,2016-03-23 00:00:00,45257,2016-04-06 01:15:48,2016,2016,March,March,14,1,12,9
2016-03-23 10:49:45,Chrysler_Crossfire,privat,Offer,7290,control,coupe,2003,automatik,218,crossfire,150000,Nov,Gasoline,chrysler,No,2016-03-23 00:00:00,95447,2016-04-07 11:15:58,2016,2016,March,March,15,11,13,1
2016-03-23 21:56:05,Chrysler_Crossfire_Automatik,privat,Offer,12000,test,coupe,2005,automatik,218,crossfire,80000,Nov,Gasoline,chrysler,No,2016-03-23 00:00:00,85051,2016-03-31 11:47:08,2016,2016,March,March,8,11,11,1
2016-03-13 17:06:23,Chrysler_Crossfire_Automatik,privat,Offer,9000,test,coupe,2005,automatik,218,crossfire,60000,Mar,Gasoline,chrysler,No,2016-03-13 00:00:00,61476,2016-03-24 21:44:58,2016,2016,March,March,11,21,11,9
2016-03-05 19:56:34,Chrysler_Crossfire_mit_LPG_Gasanlage/_sehr_gepflegt,privat,Offer,4800,test,coupe,2004,manuell,218,crossfire,150000,Aug,Lpg,chrysler,Yes,2016-03-05 00:00:00,33154,2016-03-12 22:18:51,2016,2016,March,March,7,22,12,4
2016-03-21 21:55:16,Topofferte_Crossfire,privat,Offer,7500,control,coupe,2004,automatik,218,crossfire,100000,Apr,Gasoline,chrysler,Other,2016-03-21 00:00:00,88276,2016-04-07 02:16:13,2016,2016,March,March,17,2,12,8
2016-03-29 14:43:21,Chrysler_Crossfire_Limited_Edition_/_PRINS_LPG,privat,Offer,7600,test,coupe,2005,manuell,218,crossfire,150000,Nov,Gasoline,chrysler,No,2016-03-29 00:00:00,47803,2016-03-29 14:43:21,2016,2016,March,March,0,14,11,1
2016-03-30 15:47:59,Chrysler_Crossfire,privat,Offer,9450,test,coupe,2003,automatik,218,crossfire,40000,Jun,Gasoline,chrysler,No,2016-03-30 00:00:00,33607,2016-04-07 06:44:38,2016,2016,March,March,8,6,13,6
2016-04-07 11:25:31,Chrysler_Crossfire_Automatik_silber,privat,Offer,15555,test,coupe,2006,automatik,218,crossfire,30000,Oct,Gasoline,chrysler,No,2016-04-07 00:00:00,65527,2016-04-07 11:25:31,2016,2016,April,April,0,11,10,2
2016-03-24 09:25:22,Dodge_Charger,privat,Offer,2000,test,coupe,1975,automatik,152,andere,5000,Jul,Gasoline,chrysler,Yes,2016-03-24 00:00:00,65520,2016-03-25 20:29:16,2016,2016,March,March,1,20,41,5
2016-03-27 14:25:17,Chrysler_Crossfire_Automatik,privat,Offer,15999,control,coupe,2006,automatik,218,crossfire,30000,Oct,Gasoline,chrysler,No,2016-03-27 00:00:00,65527,2016-04-05 18:47:06,2016,2016,March,March,9,18,10,2
2016-04-02 14:50:26,Chrysler_Neon,privat,Offer,0,test,coupe,2000,manuell,133,andere,150000,Apr,Gasoline,chrysler,No,2016-04-02 00:00:00,68309,2016-04-06 13:17:41,2016,2016,April,April,4,13,16,8
2016-03-15 11:52:34,Chrysler_Crossfire_Automatik,privat,Offer,8500,test,coupe,2007,automatik,218,crossfire,80000,Aug,Gasoline,chrysler,No,2016-03-15 00:00:00,26133,2016-03-17 05:45:57,2016,2016,March,March,2,5,9,4
2016-03-19 21:40:29,Chrysler_Crossfire,privat,Offer,11999,control,coupe,2005,manuell,218,crossfire,50000,Nov,Gasoline,chrysler,No,2016-03-19 00:00:00,67117,2016-04-07 10:17:39,2016,2016,March,March,19,10,11,1
2016-03-11 16:45:32,Chrysler_ES_Lebaron_Turbo_Coupe_101896km_TÜV_09.2017_Youngtimer!!,privat,Offer,2200,test,coupe,1990,manuell,150,andere,125000,Apr,Gasoline,chrysler,No,2016-03-11 00:00:00,38518,2016-04-05 14:45:50,2016,2016,March,March,25,14,26,8
2016-04-04 16:44:56,Chrysler_Crossfire_mit_LPG_Gasanlage/_sehr_gepflegt!!!,privat,Offer,4800,test,coupe,2004,manuell,218,crossfire,150000,Aug,Lpg,chrysler,Yes,2016-04-04 00:00:00,33154,2016-04-06 18:17:43,2016,2016,April,April,2,18,12,4
2016-03-29 14:52:25,Chrysler_Crossfire,privat,Offer,11500,test,coupe,2005,manuell,218,crossfire,70000,Oct,Gasoline,chrysler,No,2016-03-29 00:00:00,45470,2016-04-06 00:44:32,2016,2016,March,March,8,0,11,2
2016-04-03 21:46:45,Chrysler_Crossfire__3.2_v6_automatik_/_Leder_Klima/super_gepflegt,privat,Offer,6666,test,coupe,2004,automatik,218,crossfire,150000,Mar,Gasoline,chrysler,No,2016-04-03 00:00:00,45884,2016-04-05 22:46:21,2016,2016,April,April,2,22,12,9
2016-04-04 11:45:59,Chrysler_Cordoba_2_Door_Coupe,privat,Offer,4600,control,coupe,1978,automatik,0,andere,90000,Apr,Gasoline,chrysler,No,2016-04-04 00:00:00,46483,2016-04-06 12:45:25,2016,2016,April,April,2,12,38,8
2016-03-18 23:36:18,Chrysler_PT_Cruiser_schwarz_1_6_Liter_2._Hand_120606,privat,Offer,1550,test,coupe,2002,manuell,0,ptcruiser,125000,Apr,Gasoline,chrysler,Other,2016-03-18 00:00:00,31737,2016-04-06 02:45:49,2016,2016,March,March,19,2,14,8
2016-03-29 23:43:49,Chrysler_Crossfire,privat,Offer,11590,control,coupe,2004,manuell,218,crossfire,80000,Oct,Gasoline,chrysler,No,2016-03-29 00:00:00,42897,2016-04-04 09:46:32,2016,2016,March,March,6,9,12,2
2016-03-19 19:25:38,Chrysler_Chrysler_Crossfire____sehr_viele_teile_neu__,privat,Offer,8200,control,coupe,2004,automatik,218,crossfire,150000,Aug,Gasoline,chrysler,No,2016-03-19 00:00:00,61267,2016-03-21 10:46:01,2016,2016,March,March,2,10,12,4
2016-03-30 16:25:26,Crossfire_Sportwagen,privat,Offer,9600,test,coupe,2005,automatik,218,crossfire,90000,Sep,Gasoline,chrysler,No,2016-03-30 00:00:00,61118,2016-04-07 10:15:46,2016,2016,March,March,8,10,11,3
2016-03-20 09:30:24,Chrysler_Crossfire____LPG___sehr_viele_teile_neu__,privat,Offer,8200,control,coupe,2004,automatik,218,crossfire,150000,Aug,Gasoline,chrysler,No,2016-03-19 00:00:00,61267,2016-03-21 12:29:36,2016,2016,March,March,2,12,12,4
2016-03-10 15:55:16,batmobile_crossfire,privat,Offer,8500,test,coupe,2004,automatik,218,crossfire,150000,Aug,Gasoline,chrysler,No,2016-03-10 00:00:00,49733,2016-04-05 14:45:57,2016,2016,March,March,26,14,12,4
2016-03-26 11:51:36,"Chrysler__Crossfire_3.2__Navi__19""Alu__Vollleder",privat,Offer,9725,control,coupe,2006,manuell,218,crossfire,80000,Oct,Gasoline,chrysler,No,2016-03-26 00:00:00,49661,2016-04-05 23:47:17,2016,2016,March,March,10,23,10,2
