dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-16 19:50:05,Chrysler_pt_cruiser_2.2_diesel_tausch_moeglich,privat,Offer,2000,test,kombi,2003,manuell,130,ptcruiser,150000,Nov,Diesel,chrysler,Other,2016-03-16 00:00:00,78661,2016-03-17 18:44:35,2016,2016,March,March,1,18,13,1
2016-03-31 17:42:27,Chrysler_PT_Cruiser_1.6_Touring,privat,Offer,2300,control,kombi,2002,manuell,116,ptcruiser,125000,Sep,Gasoline,chrysler,No,2016-03-31 00:00:00,49377,2016-04-06 10:46:11,2016,2016,March,March,6,10,14,3
2016-03-21 20:51:19,Audi_A4_avant_1_8t_mit_Prins_gas_Anlage,privat,Offer,3899,control,kombi,2002,manuell,150,Other,150000,Mar,Lpg,chrysler,No,2016-03-21 00:00:00,25494,2016-04-02 23:19:13,2016,2016,March,March,12,23,14,9
2016-03-20 17:58:05,Chrysler_PT_Cruiser_2.0_Limited,privat,Offer,1900,test,kombi,2003,automatik,141,ptcruiser,150000,Jun,Gasoline,chrysler,No,2016-03-20 00:00:00,94356,2016-03-20 17:58:05,2016,2016,March,March,0,17,13,6
2016-03-19 17:25:36,Chrysler_PT_Cruiser_2.2_CRD,privat,Offer,2450,test,kombi,2006,manuell,150,ptcruiser,150000,May,Diesel,chrysler,Yes,2016-03-19 00:00:00,56379,2016-03-25 04:47:53,2016,2016,March,March,6,4,10,7
2016-03-23 12:47:52,Chrysler_PT_Cruiser_2_2_CRD_Diesel_Euro3_Leder_Bastler_Export,privat,Offer,800,control,kombi,2002,manuell,121,ptcruiser,150000,Mar,Diesel,chrysler,Yes,2016-03-23 00:00:00,63165,2016-03-26 05:17:59,2016,2016,March,March,3,5,14,9
2016-04-04 12:37:37,PT_Cruiser_TÜV_2017/Tausch?,privat,Offer,0,control,kombi,2001,manuell,141,ptcruiser,150000,Nov,Gasoline,chrysler,Other,2016-04-04 00:00:00,27472,2016-04-06 13:44:16,2016,2016,April,April,2,13,15,1
2016-03-14 23:56:13,Chrysler_PT_Cruiser_2.0_Limited,privat,Offer,999,control,kombi,2003,automatik,136,ptcruiser,150000,Jun,Gasoline,chrysler,No,2016-03-14 00:00:00,13503,2016-04-07 13:16:09,2016,2016,March,March,24,13,13,6
2016-03-08 19:37:00,Chrysler_300C_Touring_3.0_CRD_DPF_Automatik,privat,Offer,7500,test,kombi,2007,automatik,218,300c,150000,May,Diesel,chrysler,No,2016-03-08 00:00:00,75438,2016-03-20 00:18:36,2016,2016,March,March,12,0,9,7
2016-03-29 18:58:44,Chrysler_PT_Cruiser_2.4_Turbo_GT,privat,Offer,2100,control,kombi,2005,manuell,223,ptcruiser,150000,Jun,Gasoline,chrysler,No,2016-03-29 00:00:00,59399,2016-03-29 18:58:44,2016,2016,March,March,0,18,11,6
