dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-16 18:41:52,Chrysler_300C_3.0_CRD_DPF_Automatik,privat,Offer,8150,control,limousine,2007,automatik,218,300c,150000,Apr,Diesel,chrysler,No,2016-03-16 00:00:00,67454,2016-03-21 21:49:04,2016,2016,March,March,5,21,9,8
2016-03-24 17:49:51,Chrysler_PT_Cruiser,privat,Offer,750,control,limousine,2000,manuell,141,ptcruiser,150000,Mar,Gasoline,chrysler,Yes,2016-03-24 00:00:00,48565,2016-03-27 14:45:55,2016,2016,March,March,3,14,16,9
2016-03-19 05:37:01,Chrysler_Sebring_2.0_Touring_/_EZ_2008__61.000km__*unfallfrei*,privat,Offer,4700,test,limousine,2008,manuell,156,andere,70000,Jul,Gasoline,chrysler,No,2016-03-18 00:00:00,12487,2016-03-23 14:45:36,2016,2016,March,March,5,14,8,5
2016-04-03 08:59:30,Das_Fahrzeug__ist_in_einem__ordentlichen_Zustand,privat,Offer,5870,test,limousine,2008,manuell,150,Other,20000,Apr,Diesel,chrysler,No,2016-04-03 00:00:00,50374,2016-04-07 10:45:24,2016,2016,April,April,4,10,8,8
2016-03-24 18:50:34,Chrysler_PtCruiser_Limited/_voll_Ausstattung,privat,Offer,2500,test,limousine,2000,manuell,140,ptcruiser,150000,Mar,Gasoline,chrysler,Other,2016-03-24 00:00:00,28777,2016-03-29 04:46:46,2016,2016,March,March,5,4,16,9
2016-03-07 16:55:12,Gepflegter_Zustand,privat,Offer,1850,control,limousine,2001,Unspecified,141,ptcruiser,150000,Nov,Gasoline,chrysler,Other,2016-03-07 00:00:00,61184,2016-03-19 06:17:20,2016,2016,March,March,12,6,15,1
2016-03-29 16:50:16,Chrysler_Sebring_2.7_LX,privat,Offer,1699,control,limousine,2001,automatik,203,andere,150000,Mar,Gasoline,chrysler,No,2016-03-29 00:00:00,71665,2016-04-04 01:44:30,2016,2016,March,March,6,1,15,9
2016-03-26 09:36:59,Chrysler_300C_3.5_Automatik,privat,Offer,7300,control,limousine,2004,automatik,249,300c,150000,Oct,Gasoline,chrysler,No,2016-03-26 00:00:00,13469,2016-03-29 11:15:32,2016,2016,March,March,3,11,12,2
2016-04-01 03:36:36,Chrysler_300C_3.0_CRD_DPF_22_Zoll_2.Hand,privat,Offer,11200,control,limousine,2006,automatik,218,300c,150000,Oct,Diesel,chrysler,No,2016-04-01 00:00:00,45327,2016-04-07 06:15:25,2016,2016,April,April,6,6,10,2
2016-03-23 18:59:54,CHRYSLER_PT_CRUISER_2.2_CRD_LIMITED,privat,Offer,1200,test,limousine,2003,manuell,121,ptcruiser,150000,Jan,Diesel,chrysler,Other,2016-03-23 00:00:00,56244,2016-03-24 14:25:59,2016,2016,March,March,1,14,13,11
