dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-04 11:41:10,Citroën_C3_Pluriel_1.4_Gold_Edition,privat,Offer,3950,control,cabrio,2005,manuell,73,c3,70000,Jan,Gasoline,citroen,No,2016-04-04 00:00:00,18546,2016-04-06 12:17:44,2016,2016,April,April,2,12,11,11
2016-04-01 16:49:34,Citroen_C3_Pluriel_Charleston_Klima_Leder_Cabrio,privat,Offer,7500,control,cabrio,2010,manuell,73,c3,40000,Sep,Gasoline,citroen,No,2016-04-01 00:00:00,66740,2016-04-05 12:16:58,2016,2016,April,April,4,12,6,3
2016-03-16 13:36:43,2003_Citroen_C3_Pluriel_1.4_54266_KM_Gruen,privat,Offer,3200,control,cabrio,2003,manuell,73,c3,60000,Sep,Gasoline,citroen,Other,2016-03-16 00:00:00,55608,2016-04-02 14:18:55,2016,2016,March,March,17,14,13,3
2016-03-05 20:50:07,Suche_Citroen_Pluriel_diesel_Exlusiv,privat,Offer,0,control,cabrio,2004,manuell,0,c3,150000,Jan,Diesel,citroen,Other,2016-03-05 00:00:00,49824,2016-04-07 07:46:29,2016,2016,March,March,33,7,12,11
2016-03-26 17:54:51,Citroen_c3_kabrio_unfall,privat,Offer,1400,control,cabrio,2006,manuell,73,c3,150000,Jun,Gasoline,citroen,Other,2016-03-26 00:00:00,45279,2016-03-28 06:46:59,2016,2016,March,March,2,6,10,6
2016-04-02 12:59:09,Citroen_C3_Cabrio,privat,Offer,3550,test,cabrio,2006,manuell,72,c3,150000,May,Gasoline,citroen,No,2016-04-02 00:00:00,76571,2016-04-06 11:15:32,2016,2016,April,April,4,11,10,7
2016-03-14 12:38:52,Citroën_C3_Pluriel_1.6_16V_Senso_Drive_Exclusive,privat,Offer,6700,test,cabrio,2009,automatik,80,c3,90000,Jan,Gasoline,citroen,No,2016-03-14 00:00:00,39104,2016-04-05 11:50:19,2016,2016,March,March,22,11,7,11
2016-03-27 10:51:44,Citroën_C3_Pluriel_1.4_TÜV/AU_neu!!,privat,Offer,2870,control,cabrio,2004,manuell,73,c3,125000,Feb,Gasoline,citroen,No,2016-03-27 00:00:00,83734,2016-04-07 06:44:34,2016,2016,March,March,11,6,12,10
2016-03-28 22:56:42,Citroën_C3_Pluriel_1.4,privat,Offer,2500,control,cabrio,2004,manuell,73,c3,100000,Apr,Gasoline,citroen,No,2016-03-28 00:00:00,42699,2016-04-07 14:58:15,2016,2016,March,March,10,14,12,8
2016-04-02 19:55:12,Citroën_C3_pluriel_59000_km,privat,Offer,3250,control,cabrio,2004,manuell,75,c3,60000,Jan,Other,citroen,Other,2016-04-02 00:00:00,52355,2016-04-06 20:17:31,2016,2016,April,April,4,20,12,11
2016-03-30 18:44:09,Citroën_C3_Pluriel_1.4,privat,Offer,3290,test,cabrio,2004,manuell,73,c3,125000,Jan,Gasoline,citroen,No,2016-03-30 00:00:00,70327,2016-04-07 09:45:05,2016,2016,March,March,8,9,12,11
2016-04-02 17:47:42,Citroën_C3_Pluriel_1.4,privat,Offer,3250,control,cabrio,2004,manuell,73,c3,150000,Jun,Gasoline,citroen,No,2016-04-02 00:00:00,49326,2016-04-06 17:17:09,2016,2016,April,April,4,17,12,6
2016-03-24 00:52:03,Citroën_C3_Pluriel_1.4_TÜV_3_17_144500km_Cabrio_Gruene_pl,privat,Offer,1549,test,cabrio,2003,manuell,73,c3,150000,Nov,Gasoline,citroen,No,2016-03-23 00:00:00,79100,2016-04-06 19:15:46,2016,2016,March,March,14,19,13,1
2016-04-04 15:56:18,Schoener_cabrio_zu_verkaufen,privat,Offer,4400,test,cabrio,2005,manuell,0,c3,125000,Nov,Gasoline,citroen,Other,2016-04-04 00:00:00,96114,2016-04-06 17:44:58,2016,2016,April,April,2,17,11,1
2016-03-05 17:53:35,Citroën_c3_Pluriel_Cabrio_TÜV_neu_viele_neuteile,privat,Offer,1699,test,cabrio,2003,automatik,0,c3,150000,Jan,Gasoline,citroen,Other,2016-03-05 00:00:00,26389,2016-03-29 07:16:38,2016,2016,March,March,24,7,13,11
2016-03-17 10:57:51,Citroën_C3_Pluriel_1.4,privat,Offer,3199,test,cabrio,2004,manuell,73,c3,100000,Aug,Gasoline,citroen,No,2016-03-17 00:00:00,76571,2016-04-04 08:17:28,2016,2016,March,March,18,8,12,4
2016-03-22 22:53:17,Citroën_C3_Pluriel_1.4_Style,privat,Offer,3000,control,cabrio,2005,manuell,73,c3,50000,Sep,Gasoline,citroen,No,2016-03-22 00:00:00,72459,2016-03-24 13:16:08,2016,2016,March,March,2,13,11,3
2016-03-28 15:06:27,Citroën_C3_Pluriel_1.6_16V_Senso_Drive,privat,Offer,4500,control,cabrio,2005,automatik,109,c3,80000,Jan,Gasoline,citroen,No,2016-03-28 00:00:00,65510,2016-04-06 23:46:14,2016,2016,March,March,9,23,11,11
2016-03-20 12:37:38,Citroen_C3_Pluriel___Liebhaberauto,privat,Offer,3600,test,cabrio,2004,manuell,73,c3,125000,Nov,Gasoline,citroen,No,2016-03-20 00:00:00,13467,2016-04-06 11:17:36,2016,2016,March,March,17,11,12,1
2016-03-09 19:47:25,Citroën_C3_Pluriel_1.4_Style,privat,Offer,6000,test,cabrio,2007,manuell,73,c3,60000,Jul,Gasoline,citroen,No,2016-03-09 00:00:00,44797,2016-03-11 04:15:24,2016,2016,March,March,2,4,9,5
2016-03-22 12:55:07,Citroen_2CV_Special_Rot,privat,Offer,10000,control,cabrio,1977,manuell,0,andere,5000,Oct,Gasoline,citroen,No,2016-03-22 00:00:00,78247,2016-04-04 00:17:47,2016,2016,March,March,13,0,39,2
2016-03-23 13:54:08,Citroën_C3_Pluriel_1.4_Exclusive_Leder_/_Klimaaut._/,privat,Offer,3450,test,cabrio,2006,manuell,73,c3,125000,Apr,Gasoline,citroen,No,2016-03-23 00:00:00,74889,2016-04-05 15:18:36,2016,2016,March,March,13,15,10,8
2016-04-01 16:36:21,Citroën_2_CV,privat,Offer,3650,control,cabrio,1983,manuell,0,andere,125000,Jun,Gasoline,citroen,No,2016-04-01 00:00:00,47057,2016-04-05 11:18:41,2016,2016,April,April,4,11,33,6
2016-04-03 18:52:09,Citroën_C3_Pluriel_1.4,privat,Offer,2540,control,cabrio,2003,manuell,73,c3,150000,Jul,Gasoline,citroen,No,2016-04-03 00:00:00,22111,2016-04-05 19:19:05,2016,2016,April,April,2,19,13,5
