dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-23 07:54:25,Citroen_Berlingo_TÜV_neu_Anhaengerkupplung_Bremsen_neu,privat,Offer,1400,control,kombi,1999,manuell,90,berlingo,150000,Aug,Gasoline,citroen,No,2016-03-23 00:00:00,92345,2016-03-27 12:18:10,2016,2016,March,March,4,12,17,4
2016-03-17 22:25:28,Citroën_C4_Grand_Picasso_2.0_HDi_FAP_EGS6_Tendance,privat,Offer,9500,test,kombi,2008,automatik,136,c4,125000,May,Diesel,citroen,No,2016-03-17 00:00:00,35463,2016-04-07 02:15:35,2016,2016,March,March,21,2,8,7
2016-04-02 16:43:44,Citroën_C5_Tourer_2.0_16V_Aut._Confort_LPG_Gas_Anlage,privat,Offer,4950,control,kombi,2008,automatik,140,c5,150000,Oct,Gasoline,citroen,No,2016-04-02 00:00:00,94469,2016-04-06 15:18:04,2016,2016,April,April,4,15,8,2
2016-03-15 23:52:15,Verkaufe_citroen_c5_kombi,privat,Offer,2000,control,kombi,2002,manuell,0,Other,150000,Apr,Gasoline,citroen,No,2016-03-15 00:00:00,34359,2016-04-05 23:16:44,2016,2016,March,March,21,23,14,8
2016-03-29 19:44:34,Citroen_Berlingo_Zahnriemen_?_gern_auch_Teile,privat,Offer,399,control,kombi,1999,manuell,90,berlingo,150000,Apr,Gasoline,citroen,Yes,2016-03-29 00:00:00,16548,2016-03-29 19:44:34,2016,2016,March,March,0,19,17,8
2016-03-11 15:52:18,Citroën_C5_Kombi_2.0_16V_Exclusive,privat,Offer,3800,test,kombi,2006,manuell,140,c5,125000,Jan,Gasoline,citroen,No,2016-03-11 00:00:00,4107,2016-03-17 00:45:54,2016,2016,March,March,6,0,10,11
2016-03-28 11:51:59,Viele_teile_neu_tuv_auch_neu_02/2018,privat,Offer,990,control,kombi,2002,manuell,136,andere,150000,Oct,Gasoline,citroen,No,2016-03-28 00:00:00,89143,2016-04-04 13:16:41,2016,2016,March,March,7,13,14,2
2016-03-07 20:57:30,Citroën_C5_Kombi_HDi_110_Style,privat,Offer,2650,test,kombi,2007,manuell,109,c5,150000,Mar,Diesel,citroen,No,2016-03-07 00:00:00,13051,2016-03-10 08:16:56,2016,2016,March,March,3,8,9,9
2016-03-28 18:40:30,Suche_top_gepflegten_C5_Kombi_ab_Bj._2009,privat,Offer,9500,control,kombi,2009,Unspecified,0,Other,125000,Jan,Diesel,citroen,Other,2016-03-28 00:00:00,12043,2016-03-30 10:15:25,2016,2016,March,March,2,10,7,11
2016-03-28 12:29:38,Citroën_C4_Grand_Picasso_2.0_HDi_FAP_EGS6_Tendance,privat,Offer,9500,test,kombi,2008,Unspecified,136,c4,125000,May,Diesel,citroen,No,2016-03-28 00:00:00,35463,2016-04-06 06:45:18,2016,2016,March,March,9,6,8,7
2016-04-03 13:59:05,Citroen_C5_Kombi_2.0_HDi__TÜV_neu__nur_noch_2_Tage_hier!!!!!!!!!,privat,Offer,2490,control,kombi,2003,manuell,109,c5,150000,Jan,Diesel,citroen,No,2016-04-03 00:00:00,91452,2016-04-03 13:59:05,2016,2016,April,April,0,13,13,11
2016-03-05 17:37:55,Citroen_ZX_Break_Konbi_1_6,privat,Offer,150,test,kombi,1996,manuell,100,andere,150000,Nov,Gasoline,citroen,Other,2016-03-05 00:00:00,39317,2016-04-07 03:16:13,2016,2016,March,March,33,3,20,1
2016-03-19 12:58:07,Citroen_C5_HDI_165_FAP_Tendance!_Erstzulassung_01/_2013._Tuev._10/,privat,Offer,12500,test,kombi,2013,manuell,165,c5,80000,Jan,Diesel,citroen,No,2016-03-19 00:00:00,51103,2016-03-22 22:48:44,2016,2016,March,March,3,22,3,11
2016-03-13 00:50:40,Citroen_Berlingo_1.8i_Multispace_.klime._Anhaengerkupplung,privat,Offer,900,control,kombi,2000,manuell,0,berlingo,150000,Sep,Gasoline,citroen,No,2016-03-12 00:00:00,13587,2016-03-25 12:19:07,2016,2016,March,March,13,12,16,3
2016-03-10 17:37:58,Citroen_Berlingo__Top_Familienauto__wenig_km_abzugeben_kein_Rost,privat,Offer,2250,control,kombi,2002,manuell,109,berlingo,150000,Aug,Gasoline,citroen,No,2016-03-10 00:00:00,37619,2016-03-21 04:47:18,2016,2016,March,March,11,4,14,4
2016-03-05 14:37:53,Citroën_Xsara_Kombi_1.6_16V_Chrono,privat,Offer,1500,control,kombi,2002,manuell,109,andere,150000,Feb,Gasoline,citroen,No,2016-03-05 00:00:00,8258,2016-03-09 01:15:48,2016,2016,March,March,4,1,14,10
2016-03-05 14:27:08,Citroën_Berlingo_Multispace_1.6i_Chrono,privat,Offer,1100,test,kombi,2001,manuell,109,berlingo,150000,Nov,Gasoline,citroen,Yes,2016-03-05 00:00:00,56237,2016-03-06 14:32:54,2016,2016,March,March,1,14,15,1
2016-03-24 13:49:32,Citroën_c5,privat,Offer,1500,control,kombi,2006,manuell,0,c5,150000,Jul,Diesel,citroen,Yes,2016-03-24 00:00:00,83404,2016-03-24 13:49:32,2016,2016,March,March,0,13,10,5
2016-03-31 12:53:39,Citroen_xantia,privat,Offer,250,test,kombi,1999,manuell,110,andere,150000,Apr,Lpg,citroen,Other,2016-03-31 00:00:00,41379,2016-03-31 12:53:39,2016,2016,March,March,0,12,17,8
2016-03-12 12:39:18,Citroen_Xantia_3_0_V6__190_PS__Gas__TÜV_3/17,privat,Offer,797,test,kombi,1998,automatik,190,andere,150000,May,Lpg,citroen,Other,2016-03-12 00:00:00,27777,2016-03-28 11:44:30,2016,2016,March,March,16,11,18,7
2016-03-20 23:58:43,Citroen_Berlingo__1_6l__Benzin_LPG__Prins_Anlage!_,privat,Offer,2950,control,kombi,2006,manuell,0,berlingo,150000,Jul,Lpg,citroen,Yes,2016-03-20 00:00:00,45327,2016-04-01 23:17:14,2016,2016,March,March,12,23,10,5
2016-03-23 00:57:35,Citroen_C5_Kombi_1.6_HDI,privat,Offer,1800,test,kombi,2005,Unspecified,0,c5,150000,May,Diesel,citroen,Other,2016-03-23 00:00:00,12526,2016-04-07 07:16:30,2016,2016,March,March,15,7,11,7
2016-03-26 00:36:20,Kastenwagen_Citroen_C_15_Oldtimer_Youngtimer_Ente_Ruhrpottlook,privat,Offer,350,test,kombi,1988,manuell,60,andere,150000,Jun,Diesel,citroen,Other,2016-03-26 00:00:00,28201,2016-04-05 18:16:22,2016,2016,March,March,10,18,28,6
2016-03-14 07:00:46,Citroën_Xsara_Kombi_2.0_HDi_SX,privat,Offer,550,control,kombi,2000,manuell,90,andere,150000,Apr,Diesel,citroen,No,2016-03-14 00:00:00,91207,2016-04-07 08:16:19,2016,2016,March,March,24,8,16,8
2016-03-26 08:57:21,Citroen_Xantia_II_Kombi_Noch_Fahrbereit,privat,Offer,0,test,kombi,1998,manuell,110,andere,150000,Jan,Gasoline,citroen,Yes,2016-03-26 00:00:00,63584,2016-04-01 21:18:32,2016,2016,March,March,6,21,18,11
2016-03-10 19:47:30,Citroën_C5_Kombi_HDi_170_Biturbo_Exclusive,privat,Offer,2800,control,kombi,2006,manuell,170,c5,150000,Nov,Diesel,citroen,Yes,2016-03-10 00:00:00,2894,2016-03-10 19:47:30,2016,2016,March,March,0,19,10,1
2016-03-27 20:48:43,Citroen_c5_blau,privat,Offer,2000,control,kombi,2003,Unspecified,0,c5,150000,Jan,Diesel,citroen,No,2016-03-27 00:00:00,90429,2016-03-29 10:47:09,2016,2016,March,March,2,10,13,11
2016-03-14 10:57:10,Citroen_C3_Picasso_Color_Selection,privat,Offer,8000,control,kombi,2011,manuell,110,c3,70000,Jun,Diesel,citroen,Other,2016-03-14 00:00:00,51709,2016-03-29 04:45:33,2016,2016,March,March,15,4,5,6
2016-03-09 20:39:54,Citroën_c5_2.0_HPI_exklusiv_140ps_TÜV_07/17,privat,Offer,2400,test,kombi,2001,manuell,140,c5,150000,Feb,Gasoline,citroen,Other,2016-03-09 00:00:00,38304,2016-03-21 04:17:16,2016,2016,March,March,12,4,15,10
2016-03-20 18:56:12,Citroën_C5_Tourer_HDi_140_FAP,privat,Offer,10450,test,kombi,2011,Unspecified,0,c5,125000,Jul,Diesel,citroen,No,2016-03-20 00:00:00,53797,2016-04-07 02:45:30,2016,2016,March,March,18,2,5,5
2016-03-07 11:52:00,Citroën_C5_Kombi_1.8_SX,privat,Offer,990,test,kombi,2003,Unspecified,116,c5,150000,Nov,Gasoline,citroen,No,2016-03-07 00:00:00,22885,2016-03-14 11:15:36,2016,2016,March,March,7,11,13,1
2016-03-18 10:39:13,Citroen_Berlingo_Multispace_1.8i,privat,Offer,550,control,kombi,1998,manuell,90,berlingo,150000,Sep,Gasoline,citroen,Yes,2016-03-18 00:00:00,41747,2016-03-18 10:39:13,2016,2016,March,March,0,10,18,3
2016-03-11 18:53:00,Citroen_Xsara_Exclusiv_1.6_Kombi_Automatik_TÜV_12/16,privat,Offer,999,test,kombi,2001,automatik,109,andere,150000,Apr,Gasoline,citroen,No,2016-03-11 00:00:00,99706,2016-04-05 21:16:32,2016,2016,March,March,25,21,15,8
2016-03-10 20:43:55,Citroen_XSARA_Picasso_1.6_Exclusive,privat,Offer,2690,test,kombi,2006,manuell,109,andere,150000,Feb,Gasoline,citroen,No,2016-03-10 00:00:00,89233,2016-03-16 12:44:17,2016,2016,March,March,6,12,10,10
2016-03-13 08:48:56,Citroën_C5_Kombi_Automatik_2.0_Exclusive,privat,Offer,2850,control,kombi,2004,automatik,136,c5,150000,Jun,Gasoline,citroen,No,2016-03-13 00:00:00,1326,2016-04-06 14:47:12,2016,2016,March,March,24,14,12,6
2016-04-06 14:25:33,Citroën_C5_Kombi__Automatik_TÜV_7/17,privat,Offer,1999,test,kombi,2002,automatik,155,c5,150000,May,Diesel,citroen,No,2016-04-06 00:00:00,63225,2016-04-06 14:25:33,2016,2016,April,April,0,14,14,7
2016-03-11 18:49:44,Citroën_Xsara_Kombi_1.6_16V_Exclusive,privat,Offer,999,test,kombi,2001,automatik,109,andere,150000,Apr,Gasoline,citroen,No,2016-03-11 00:00:00,99706,2016-04-05 21:16:22,2016,2016,March,March,25,21,15,8
2016-03-26 20:37:32,Citroën_C5_Kombi_2.0_HDI_SX,privat,Offer,3250,control,kombi,2004,manuell,107,c5,125000,Mar,Diesel,citroen,No,2016-03-26 00:00:00,53773,2016-03-30 00:46:36,2016,2016,March,March,4,0,12,9
2016-03-25 18:48:26,CITROEN_C5_Diesel_HDI__Gute_Zustand_Gruene_Plakete!,privat,Offer,2000,test,kombi,2003,manuell,1900,c5,150000,Sep,Diesel,citroen,Yes,2016-03-25 00:00:00,33378,2016-04-02 23:19:58,2016,2016,March,March,8,23,13,3
2016-03-23 11:56:32,Citroen_Berlingo,privat,Offer,990,test,kombi,2002,manuell,109,berlingo,150000,Sep,Gasoline,citroen,Other,2016-03-23 00:00:00,64289,2016-03-29 05:45:10,2016,2016,March,March,6,5,14,3
