dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-15 09:54:56,Citroen_C4,privat,Offer,5500,control,limousine,2006,manuell,90,c4,80000,May,Gasoline,citroen,Other,2016-03-15 00:00:00,52066,2016-03-18 03:16:45,2016,2016,March,March,3,3,10,7
2016-03-27 06:36:19,Citroën_C4_1.6_16V,privat,Offer,4699,control,limousine,2006,manuell,109,c4,100000,Mar,Gasoline,citroen,No,2016-03-27 00:00:00,61250,2016-04-01 04:45:39,2016,2016,March,March,5,4,10,9
2016-03-11 00:59:04,Citroën_C4_HDi_110,privat,Offer,7500,test,limousine,2010,manuell,111,c4,80000,Nov,Diesel,citroen,No,2016-03-10 00:00:00,71364,2016-03-15 14:46:38,2016,2016,March,March,5,14,6,1
2016-03-05 20:57:54,Citroeen_C4,privat,Offer,3500,control,limousine,2007,manuell,88,c4,125000,Apr,Gasoline,citroen,Other,2016-03-05 00:00:00,85757,2016-04-01 16:46:30,2016,2016,March,March,27,16,9,8
2016-03-14 15:42:36,Citroën_C4_1.6_16V_Confort_sehr_gepflegt._8fach_bereift.,privat,Offer,3390,control,limousine,2007,manuell,109,c4,150000,Aug,Gasoline,citroen,No,2016-03-14 00:00:00,33161,2016-04-01 21:16:32,2016,2016,March,March,18,21,9,4
2016-03-05 14:41:46,Citroën_C5_HDi_140_FAP_Exclusive,privat,Offer,10000,control,limousine,2009,manuell,140,c5,60000,Oct,Diesel,citroen,No,2016-03-05 00:00:00,45529,2016-03-16 21:44:33,2016,2016,March,March,11,21,7,2
2016-03-25 17:55:21,Citroën_saxo_TÜV_3/2018_5_tuerig,privat,Offer,999,test,limousine,2002,manuell,0,andere,150000,Jul,Gasoline,citroen,No,2016-03-25 00:00:00,52249,2016-03-25 17:55:21,2016,2016,March,March,0,17,14,5
2016-04-03 16:55:29,Citroën_XM_2.0_SX_Mit_Fast_neuen_TÜV,privat,Offer,1750,control,limousine,2000,manuell,132,andere,150000,Oct,Gasoline,citroen,No,2016-04-03 00:00:00,48432,2016-04-05 16:46:25,2016,2016,April,April,2,16,16,2
2016-03-30 08:57:11,LG_flex_zu_verkaufen__/_tausch.,privat,Offer,0,control,limousine,1999,manuell,99,c5,100000,Mar,Electric,citroen,Yes,2016-03-30 00:00:00,6842,2016-04-07 01:15:34,2016,2016,March,March,8,1,17,9
2016-03-08 08:53:31,Citroën_C4_EXCLISIVE_/_Xenon_/_Leder_/_PDC,privat,Offer,10333,test,limousine,2010,manuell,120,c4,50000,Jun,Gasoline,citroen,No,2016-03-08 00:00:00,87480,2016-03-30 06:45:59,2016,2016,March,March,22,6,6,6
2016-04-01 07:37:33,CITREON_C5_165_HDI,privat,Offer,11300,test,limousine,2010,manuell,163,c5,125000,Jan,Diesel,citroen,Other,2016-04-01 00:00:00,58675,2016-04-07 06:16:03,2016,2016,April,April,6,6,6,11
2016-04-01 23:58:17,Citroën_XM_V6_Exclusive_schwarz_SD,privat,Offer,4750,control,limousine,1998,automatik,190,andere,150000,Feb,Gasoline,citroen,No,2016-04-01 00:00:00,24217,2016-04-02 07:44:49,2016,2016,April,April,1,7,18,10
2016-03-26 21:50:20,Citroën_C5_2.0_Automatik_Exclusive,privat,Offer,1100,control,limousine,2001,automatik,136,c5,150000,Aug,Gasoline,citroen,No,2016-03-26 00:00:00,41334,2016-03-30 02:15:31,2016,2016,March,March,4,2,15,4
2016-03-13 20:42:52,C4_Automatik___Klimaaut._Anhaengerk.und_Anhaenger750_kg__,privat,Offer,9800,control,limousine,2012,automatik,108,c4,60000,Nov,Diesel,citroen,Yes,2016-03-13 00:00:00,6343,2016-04-06 19:16:44,2016,2016,March,March,24,19,4,1
2016-04-03 18:58:13,Citroën_BX_14_Fit,privat,Offer,1600,control,limousine,1991,manuell,75,andere,80000,Jul,Gasoline,citroen,No,2016-04-03 00:00:00,30161,2016-04-05 19:44:28,2016,2016,April,April,2,19,25,5
2016-03-29 19:25:27,C3_mit_Blechschaden_an_der_Beifahrertuer,privat,Offer,1999,test,limousine,2006,manuell,44,c3,150000,Jun,Gasoline,citroen,Yes,2016-03-29 00:00:00,56316,2016-04-02 10:45:11,2016,2016,March,March,4,10,10,6
2016-03-07 05:38:21,Citroën_C5,privat,Offer,999,test,limousine,2001,manuell,0,c5,150000,Mar,Diesel,citroen,No,2016-03-06 00:00:00,12687,2016-03-09 15:20:51,2016,2016,March,March,3,15,15,9
2016-03-27 19:57:11,Citroën_C5_2.0_Automatik_Exclusive,privat,Offer,2399,control,limousine,2003,automatik,136,c5,100000,Jan,Gasoline,citroen,No,2016-03-27 00:00:00,68535,2016-04-05 18:16:12,2016,2016,March,March,9,18,13,11
2016-03-24 17:53:40,Citroën_C4_1.4_16V,privat,Offer,5800,control,limousine,2008,automatik,88,c4,100000,Apr,Gasoline,citroen,No,2016-03-24 00:00:00,22117,2016-04-07 12:16:41,2016,2016,March,March,14,12,8,8
