dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-15 16:45:28,Daewoo_Rezzo__1_8_sx,privat,Offer,990,control,bus,2002,manuell,91,andere,150000,Feb,Lpg,daewoo,Yes,2016-03-15 00:00:00,47799,2016-03-17 11:45:24,2016,2016,March,March,2,11,14,10
2016-04-04 13:48:03,Daewoo_Rezzo_2.0_CDX,privat,Offer,1200,control,bus,2002,manuell,121,andere,150000,Nov,Gasoline,daewoo,No,2016-04-04 00:00:00,63128,2016-04-06 15:16:18,2016,2016,April,April,2,15,14,1
2016-03-27 14:51:36,Daewoo_Tacuma_1.6_SE_Klima_Tuev_04/2017_EZ_2004,privat,Offer,1000,control,bus,2004,manuell,105,Other,150000,Apr,Gasoline,daewoo,Other,2016-03-27 00:00:00,68753,2016-03-27 14:51:36,2016,2016,March,March,0,14,12,8
2016-04-01 02:02:10,Daewoo_Rezzo_2.0_CDX,privat,Offer,1499,control,bus,2003,manuell,121,andere,150000,Nov,Gasoline,daewoo,No,2016-04-01 00:00:00,49143,2016-04-07 05:44:35,2016,2016,April,April,6,5,13,1
2016-03-22 08:56:36,Daewoo_Rezzo_2.0_TÜV_Neu,privat,Offer,2500,control,bus,2004,manuell,121,andere,100000,Feb,Gasoline,daewoo,No,2016-03-22 00:00:00,99817,2016-04-01 22:17:02,2016,2016,March,March,10,22,12,10
2016-03-12 11:00:01,Daewoo_Rezzo__mit_Zahnriemenschaden,privat,Offer,550,control,bus,2003,manuell,0,andere,150000,Nov,Gasoline,daewoo,Yes,2016-03-12 00:00:00,45355,2016-03-13 02:44:26,2016,2016,March,March,1,2,13,1
2016-03-17 18:52:50,Daewoo_Rezzo_2.0,privat,Offer,1200,control,bus,2003,manuell,121,andere,125000,Sep,Gasoline,daewoo,No,2016-03-17 00:00:00,45663,2016-04-05 03:45:28,2016,2016,March,March,19,3,13,3
2016-04-03 05:36:18,Daewoo_Rezzo_gepflegter_Zustand_Klima,privat,Offer,1300,control,bus,2004,manuell,121,andere,150000,Jan,Gasoline,daewoo,Yes,2016-04-03 00:00:00,23942,2016-04-07 10:16:11,2016,2016,April,April,4,10,12,11
2016-04-04 20:36:37,Daewoo_Rezzo_2.0_CDX_2Hand,privat,Offer,1499,control,bus,2003,manuell,121,andere,150000,Nov,Gasoline,daewoo,No,2016-04-04 00:00:00,49143,2016-04-06 22:46:18,2016,2016,April,April,2,22,13,1
2016-03-31 23:53:31,Daewoo_Rezzo_2.0_CDX,privat,Offer,2100,control,bus,2003,manuell,121,andere,150000,Nov,Gasoline,daewoo,No,2016-03-31 00:00:00,56869,2016-04-07 04:16:42,2016,2016,March,March,7,4,13,1
2016-04-03 15:48:43,Daewoo_Rezzo_1.6_SX,privat,Offer,500,test,bus,2004,manuell,105,andere,150000,Mar,Gasoline,daewoo,Yes,2016-04-03 00:00:00,37081,2016-04-05 15:16:08,2016,2016,April,April,2,15,12,9
2016-04-04 12:57:43,Daewoo_Rezzo,privat,Offer,400,control,bus,2001,manuell,121,andere,150000,Apr,Gasoline,daewoo,Yes,2016-04-04 00:00:00,4838,2016-04-06 14:45:39,2016,2016,April,April,2,14,15,8
2016-04-01 17:47:09,Daewoo_Rezzo_2.0,privat,Offer,1599,test,bus,2003,automatik,121,andere,150000,Jul,Lpg,daewoo,No,2016-04-01 00:00:00,21033,2016-04-05 13:15:46,2016,2016,April,April,4,13,13,5
2016-03-14 14:06:21,Daewoo_Rezzo_2.0_Gas_und_Benzin,privat,Offer,1650,control,bus,2003,manuell,121,andere,150000,Jun,Lpg,daewoo,No,2016-03-14 00:00:00,65556,2016-03-15 22:10:56,2016,2016,March,March,1,22,13,6
2016-03-14 16:58:23,Daewoo_Rezzo,privat,Offer,1700,test,bus,2002,manuell,121,andere,150000,Jul,Gasoline,daewoo,No,2016-03-14 00:00:00,31860,2016-04-06 00:15:44,2016,2016,March,March,23,0,14,5
2016-03-20 13:46:13,Daewoo_Tacuma_1.6_l_Klima_Tuev_4/2017,privat,Offer,1000,test,bus,2004,manuell,105,Other,150000,Apr,Gasoline,daewoo,Other,2016-03-20 00:00:00,67346,2016-03-28 12:18:07,2016,2016,March,March,8,12,12,8
2016-03-06 01:57:35,Mini_Van__Daewoo_Rezzo__schwarz_/_Klima_/_ALU_/_Winterreifen_usw.,privat,Offer,1350,control,bus,2003,manuell,116,andere,150000,Nov,Gasoline,daewoo,Yes,2016-03-06 00:00:00,24211,2016-03-07 21:45:00,2016,2016,March,March,1,21,13,1
2016-03-08 17:52:48,Daewoo_Rezzo_1.6,privat,Offer,850,control,bus,2003,manuell,105,andere,150000,Jun,Gasoline,daewoo,No,2016-03-08 00:00:00,63073,2016-03-30 17:48:01,2016,2016,March,March,22,17,13,6
2016-03-20 19:54:18,Daewoo_Rezzo_1.6_CDX_LPG_Gas_TÜV_2.2017,privat,Offer,10,test,bus,2002,manuell,104,andere,150000,Nov,Gasoline,daewoo,Other,2016-03-20 00:00:00,51429,2016-03-20 19:54:18,2016,2016,March,March,0,19,14,1
2016-03-30 17:54:06,Deawoo_Rezzo_47.000_km_HU_08/17!!!!,privat,Offer,1400,control,bus,2002,manuell,0,andere,50000,Aug,Gasoline,daewoo,No,2016-03-30 00:00:00,6188,2016-03-30 17:54:06,2016,2016,March,March,0,17,14,4
2016-04-05 11:54:17,Daewoo_Rezzo_2.0_CDX,privat,Offer,850,test,bus,2002,manuell,121,andere,150000,Aug,Gasoline,daewoo,No,2016-04-05 00:00:00,84364,2016-04-05 12:44:28,2016,2016,April,April,0,12,14,4
2016-03-22 13:50:50,Daewoo_Rezzo_2.0,privat,Offer,1299,control,bus,2003,manuell,121,andere,150000,Jul,Lpg,daewoo,No,2016-03-22 00:00:00,21033,2016-03-25 05:47:38,2016,2016,March,March,3,5,13,5
2016-03-15 18:40:13,Daewoo_Rezzo_1.6_LPG/Fluessiggas,privat,Offer,1850,control,bus,2004,manuell,105,andere,150000,Jul,Lpg,daewoo,No,2016-03-15 00:00:00,41751,2016-03-16 16:16:10,2016,2016,March,March,1,16,12,5
2016-03-22 14:48:48,Daewoo_Rezzo_2.0_CDX,privat,Offer,1249,control,bus,2003,automatik,121,andere,125000,Nov,Gasoline,daewoo,No,2016-03-22 00:00:00,72160,2016-04-06 03:46:27,2016,2016,March,March,15,3,13,1
2016-03-25 20:37:42,PKW_Verkauf,privat,Offer,850,control,bus,2000,manuell,98,andere,150000,Oct,Gasoline,daewoo,No,2016-03-25 00:00:00,42579,2016-04-07 04:16:07,2016,2016,March,March,13,4,16,2
2016-03-31 21:53:33,DAEWOO_REZZO_KLIMA_2_0,privat,Offer,2700,test,bus,2004,manuell,121,andere,5000,Jan,Gasoline,daewoo,Other,2016-03-31 00:00:00,24109,2016-04-06 18:17:59,2016,2016,March,March,6,18,12,11
2016-03-13 20:38:41,Daewoo_Rezzo,privat,Offer,1000,control,bus,2001,manuell,121,andere,150000,Jan,Gasoline,daewoo,No,2016-03-13 00:00:00,49832,2016-03-28 14:46:06,2016,2016,March,March,15,14,15,11
