dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-08 19:41:59,einen_top_kombi_alle_verschleissteile_sind_neu,privat,Offer,1500,test,kombi,1999,manuell,105,nubira,125000,Jan,Gasoline,daewoo,No,2016-03-08 00:00:00,66333,2016-03-15 07:44:37,2016,2016,March,March,7,7,17,11
2016-04-02 18:50:09,erst_90_tKm__gruene_Plakette__02.2016_TÜV,privat,Offer,499,control,kombi,2000,manuell,107,nubira,90000,Nov,Gasoline,daewoo,No,2016-04-02 00:00:00,42897,2016-04-06 18:47:33,2016,2016,April,April,4,18,16,1
2016-03-24 12:48:09,Daewoo_Nubira_kombi_sehr_gepflegt_Nichtraucher_auto,privat,Offer,999,test,kombi,1999,manuell,106,nubira,125000,Jan,Gasoline,daewoo,No,2016-03-24 00:00:00,66333,2016-04-05 01:15:54,2016,2016,March,March,12,1,17,11
2016-04-02 17:54:02,Daewoo_Nubira_Kombi_1.6_SE,privat,Offer,599,control,kombi,2000,manuell,106,nubira,90000,Nov,Gasoline,daewoo,No,2016-04-02 00:00:00,42115,2016-04-02 17:54:02,2016,2016,April,April,0,17,16,1
2016-03-14 11:53:44,Daewoo_Nubira_Kombi_2.0_CDX,privat,Offer,850,test,kombi,2001,manuell,126,nubira,150000,Nov,Gasoline,daewoo,No,2016-03-14 00:00:00,18182,2016-04-06 03:45:17,2016,2016,March,March,23,3,15,1
2016-04-03 12:55:49,Daewoo_nubira_1_8l,privat,Offer,900,control,kombi,2001,manuell,126,nubira,125000,Jun,Gasoline,daewoo,Yes,2016-04-03 00:00:00,32049,2016-04-05 11:47:08,2016,2016,April,April,2,11,15,6
2016-03-12 22:37:03,Daewoo_Nubira_Kombi_1.6_SX_KLAJ,privat,Offer,1600,control,kombi,1998,manuell,106,nubira,125000,Oct,Gasoline,daewoo,No,2016-03-12 00:00:00,31224,2016-03-14 21:46:42,2016,2016,March,March,2,21,18,2
2016-03-31 21:49:37,DAEWOO_REZZO_1.6_TOP_AUTO_NOTVERKAUF,privat,Offer,1200,test,kombi,2002,Unspecified,105,andere,150000,Nov,Gasoline,daewoo,No,2016-03-31 00:00:00,52349,2016-03-31 21:49:37,2016,2016,March,March,0,21,14,1
2016-03-31 08:36:24,An_Bastler,privat,Offer,250,control,kombi,2000,manuell,106,Other,150000,Sep,Gasoline,daewoo,No,2016-03-31 00:00:00,48432,2016-03-31 10:43:01,2016,2016,March,March,0,10,16,3
2016-03-10 15:58:33,gebrauchtwagen,privat,Offer,750,test,kombi,2000,manuell,78,nubira,150000,Sep,Gasoline,daewoo,No,2016-03-10 00:00:00,69234,2016-03-24 21:45:49,2016,2016,March,March,14,21,16,3
