dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-26 14:54:32,Daewoo_Lacetti_1.6_SX,privat,Offer,1250,control,limousine,2005,manuell,109,andere,150000,Apr,Gasoline,daewoo,No,2016-03-26 00:00:00,41844,2016-03-26 15:41:09,2016,2016,March,March,0,15,11,8
2016-04-04 18:42:48,PKW_in_gutem_Zustand,privat,Offer,800,test,limousine,2000,manuell,60,lanos,150000,Jul,Gasoline,daewoo,No,2016-04-04 00:00:00,87496,2016-04-06 20:44:47,2016,2016,April,April,2,20,16,5
2016-03-15 23:55:34,Daewoo_1.4,privat,Offer,749,control,limousine,1999,manuell,75,lanos,150000,Mar,Gasoline,daewoo,No,2016-03-15 00:00:00,72108,2016-04-03 23:45:16,2016,2016,March,March,19,23,17,9
2016-03-29 19:46:10,Daewoo_Lanos_1.5_Se,privat,Offer,1400,control,limousine,2000,manuell,86,lanos,70000,Mar,Gasoline,daewoo,No,2016-03-29 00:00:00,94362,2016-04-06 05:45:25,2016,2016,March,March,8,5,16,9
2016-03-09 10:50:06,Daewoo_Nubira_1.6,privat,Offer,1590,control,limousine,2004,manuell,109,nubira,150000,Oct,Gasoline,daewoo,No,2016-03-09 00:00:00,72762,2016-04-05 15:15:59,2016,2016,March,March,27,15,12,2
2016-03-14 11:49:21,Daewoo_Nubira_1.8_CDX_Cool,privat,Offer,590,test,limousine,2004,manuell,122,nubira,125000,Oct,Gasoline,daewoo,Yes,2016-03-14 00:00:00,97941,2016-03-14 11:49:21,2016,2016,March,March,0,11,12,2
2016-03-08 20:48:59,Daewoo_TÜV_/AU_;_NEU,privat,Offer,750,control,limousine,1998,manuell,55,andere,125000,Aug,Gasoline,daewoo,No,2016-03-08 00:00:00,12099,2016-03-31 03:46:55,2016,2016,March,March,23,3,18,4
2016-04-03 07:37:20,Daewoo_Nexia_1.5_GL,privat,Offer,799,test,limousine,1996,manuell,75,andere,150000,Sep,Gasoline,daewoo,No,2016-04-03 00:00:00,47798,2016-04-07 09:15:32,2016,2016,April,April,4,9,20,3
2016-03-27 00:58:01,Daewoo_Top_gepflegt,privat,Offer,2649,test,limousine,2003,manuell,131,andere,125000,Nov,Gasoline,daewoo,No,2016-03-26 00:00:00,78351,2016-04-07 04:17:52,2016,2016,March,March,12,4,13,1
2016-03-10 18:41:56,Daewoo_Nubira_1_6_SX,privat,Offer,1600,test,limousine,2003,manuell,109,nubira,150000,Nov,Gasoline,daewoo,No,2016-03-10 00:00:00,12055,2016-03-13 00:15:30,2016,2016,March,March,3,0,13,1
2016-04-02 17:57:52,Daewoo_Lacetti_1.6_SX,privat,Offer,800,control,limousine,2004,manuell,109,andere,125000,Aug,Gasoline,daewoo,Other,2016-04-02 00:00:00,19057,2016-04-06 18:16:20,2016,2016,April,April,4,18,12,4
2016-03-17 18:47:03,Daewoo_Lanos_1.5_SX,privat,Offer,600,control,limousine,1997,manuell,86,lanos,150000,Sep,Gasoline,daewoo,No,2016-03-17 00:00:00,45276,2016-04-01 09:17:43,2016,2016,March,March,15,9,19,3
2016-04-04 00:44:52,Daewoo_Kalos,privat,Offer,1000,test,limousine,2004,manuell,94,kalos,150000,Feb,Gasoline,daewoo,Yes,2016-04-03 00:00:00,47167,2016-04-06 03:44:26,2016,2016,April,April,3,3,12,10
2016-03-14 06:56:08,Daewo_lanos,privat,Offer,300,control,limousine,1999,manuell,60,lanos,125000,Jun,Other,daewoo,No,2016-03-14 00:00:00,47809,2016-03-15 03:44:40,2016,2016,March,March,1,3,17,6
2016-03-12 01:00:31,Daewoo_Lanos_1.4__TUV_NEU,privat,Offer,1150,test,limousine,2000,manuell,75,lanos,150000,Sep,Gasoline,daewoo,No,2016-03-12 00:00:00,47055,2016-04-05 19:45:14,2016,2016,March,March,24,19,16,3
2016-04-03 16:57:10,Verkaufe_daewoo_Matiz.!,privat,Offer,950,control,limousine,2001,manuell,54,Other,150000,Jul,Gasoline,daewoo,No,2016-04-03 00:00:00,66839,2016-04-05 16:46:33,2016,2016,April,April,2,16,15,5
