dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-22 09:56:13,Fiat_Barchetta_1.8_16V,privat,Offer,1999,test,cabrio,1996,manuell,131,andere,125000,Apr,Gasoline,fiat,No,2016-03-22 00:00:00,83339,2016-03-23 17:48:06,2016,2016,March,March,1,17,20,8
2016-03-05 16:30:54,Fiat_Punto_Cabrio_16V_Bertone,privat,Offer,1790,control,cabrio,1998,manuell,86,punto,125000,Apr,Gasoline,fiat,No,2016-03-05 00:00:00,65597,2016-04-01 18:45:18,2016,2016,March,March,27,18,18,8
2016-03-28 17:37:35,Fiat_500_C,privat,Offer,0,test,cabrio,2014,manuell,69,500,20000,Mar,Gasoline,fiat,Other,2016-03-28 00:00:00,63741,2016-04-06 23:15:43,2016,2016,March,March,9,23,2,9
2016-03-05 18:43:45,Fiat_Punto_Cabrio_an_Bastler_abzugeben_!!,privat,Offer,500,test,cabrio,1998,manuell,60,punto,125000,Oct,Gasoline,fiat,Yes,2016-03-05 00:00:00,45276,2016-03-15 21:45:07,2016,2016,March,March,10,21,18,2
2016-03-25 13:48:06,Fiat_500_C_1.2_Lounge_Sonderedition,privat,Offer,8999,test,cabrio,2012,manuell,69,500,40000,Mar,Gasoline,fiat,No,2016-03-25 00:00:00,59229,2016-04-06 16:17:09,2016,2016,March,March,12,16,4,9
2016-03-23 16:39:08,Fiat_Barchetta_1.8_16V_Naxos,privat,Offer,3300,test,cabrio,2002,manuell,131,andere,100000,Mar,Gasoline,fiat,No,2016-03-23 00:00:00,54338,2016-04-05 19:48:05,2016,2016,March,March,13,19,14,9
2016-03-16 09:49:20,Fiat_124_Spider_2000_US_Wagen_aus_Kalifornien,privat,Offer,10000,test,cabrio,1982,manuell,108,andere,100000,Jun,Gasoline,fiat,No,2016-03-16 00:00:00,34117,2016-04-06 02:44:27,2016,2016,March,March,21,2,34,6
2016-03-20 12:40:35,Fiat_124_Spider_Pininfarina,privat,Offer,16999,test,cabrio,1985,manuell,109,andere,150000,Apr,Gasoline,fiat,No,2016-03-20 00:00:00,23827,2016-04-06 11:17:42,2016,2016,March,March,17,11,31,8
2016-03-28 21:53:33,Fiat_Punto_Cabrio_85_ELX___TÜV_03/18,privat,Offer,1900,control,cabrio,1997,manuell,86,punto,100000,Jul,Gasoline,fiat,No,2016-03-28 00:00:00,40223,2016-04-07 05:16:24,2016,2016,March,March,10,5,19,5
2016-03-20 11:50:14,FIAT_BARCHETTA_Cabrio,privat,Offer,1490,test,cabrio,1998,manuell,131,andere,90000,Jun,Gasoline,fiat,No,2016-03-20 00:00:00,75038,2016-04-06 10:16:21,2016,2016,March,March,17,10,18,6
2016-03-23 14:47:57,Fiat_Barchetta_1.8_Limited_Edition,privat,Offer,3650,test,cabrio,1998,manuell,131,andere,80000,Apr,Gasoline,fiat,No,2016-03-23 00:00:00,86653,2016-04-05 16:45:02,2016,2016,March,March,13,16,18,8
2016-03-27 05:36:20,Fiat_500_C_1.2_Lounge,privat,Offer,5200,test,cabrio,2011,manuell,69,500,125000,May,Gasoline,fiat,No,2016-03-27 00:00:00,66885,2016-03-27 09:38:46,2016,2016,March,March,0,9,5,7
