dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-16 19:55:33,Fiat_Coupe_1.8_16V,privat,Offer,3999,test,coupe,2000,manuell,131,andere,150000,Sep,Gasoline,fiat,No,2016-03-16 00:00:00,68766,2016-04-07 05:45:53,2016,2016,March,March,22,5,16,3
2016-03-07 22:50:03,Fiat_500_1.4_16V_Dualogic_Lounge,privat,Offer,6000,test,coupe,2008,manuell,100,500,90000,Nov,Gasoline,fiat,No,2016-03-07 00:00:00,36039,2016-04-05 00:17:23,2016,2016,March,March,29,0,8,1
2016-03-27 18:43:23,Fiat_stilo,privat,Offer,2450,control,coupe,2005,manuell,105,stilo,150000,Jun,Gasoline,fiat,No,2016-03-27 00:00:00,38518,2016-04-05 15:15:26,2016,2016,March,March,9,15,11,6
2016-03-31 20:56:56,Fiat_Stilo,privat,Offer,1199,test,coupe,2001,automatik,170,stilo,5000,Nov,Gasoline,fiat,Other,2016-03-31 00:00:00,10781,2016-04-02 17:18:40,2016,2016,March,March,2,17,15,1
2016-04-04 22:57:44,Abarth_500_1.4_16v_135_PS_Turbo_Fiat_500,privat,Offer,9200,test,coupe,2009,manuell,135,500,80000,Jun,Gasoline,fiat,No,2016-04-04 00:00:00,90766,2016-04-07 02:17:19,2016,2016,April,April,3,2,7,6
2016-03-12 22:52:37,Fiat_850_Sport_Coupe_+_Fiat_850,privat,Offer,2299,control,coupe,1972,manuell,52,andere,150000,Jun,Gasoline,fiat,No,2016-03-12 00:00:00,9548,2016-04-06 01:47:15,2016,2016,March,March,25,1,44,6
2016-03-15 18:47:15,Fiat__Bravo_16_V_1.6_L,privat,Offer,1250,control,coupe,1998,manuell,100,bravo,150000,Jan,Other,fiat,Other,2016-03-15 00:00:00,21680,2016-03-22 23:45:57,2016,2016,March,March,7,23,18,11
2016-03-12 16:48:33,Fiat_Coupe_2.0_Turbo_16V,privat,Offer,2300,control,coupe,1994,manuell,190,andere,70000,Aug,Gasoline,fiat,No,2016-03-12 00:00:00,32257,2016-03-22 01:18:19,2016,2016,March,March,10,1,22,4
2016-03-26 16:36:37,Fiat_Stilo_1_9_JTD,privat,Offer,0,control,coupe,2001,manuell,113,stilo,150000,Jan,Diesel,fiat,Other,2016-03-26 00:00:00,49610,2016-03-26 17:40:57,2016,2016,March,March,0,17,15,11
2016-04-03 13:39:05,Fiat_Coupe_1.8_16V,privat,Offer,1600,control,coupe,1997,manuell,131,andere,150000,Jan,Gasoline,fiat,No,2016-04-03 00:00:00,45145,2016-04-05 12:18:31,2016,2016,April,April,2,12,19,11
