dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-08 19:55:19,Fiat_Punto_1.2,privat,Offer,690,test,kleinwagen,2003,manuell,60,punto,150000,Mar,Gasoline,fiat,No,2016-03-08 00:00:00,86199,2016-03-09 11:45:28,2016,2016,March,March,1,11,13,9
2016-04-03 12:56:45,Bastler_Fahrzeug_mit_Rest_Tuev,privat,Offer,350,control,kleinwagen,1997,manuell,54,Other,150000,Mar,Other,fiat,Yes,2016-04-03 00:00:00,45665,2016-04-05 11:47:13,2016,2016,April,April,2,11,19,9
2016-03-14 12:42:51,Fiat_Panda_4x4_Raritaet,privat,Offer,4400,test,kleinwagen,1997,manuell,54,panda,125000,Jul,Gasoline,fiat,No,2016-03-14 00:00:00,78112,2016-03-21 02:16:19,2016,2016,March,March,7,2,19,5
2016-03-26 21:37:36,Fiat_Punto_188_SX__97.000km__TÜV__8_Fach_Bereifung__MP3_Radio,privat,Offer,1490,control,kleinwagen,2000,manuell,60,punto,100000,Jun,Gasoline,fiat,No,2016-03-26 00:00:00,59557,2016-04-06 14:15:47,2016,2016,March,March,11,14,16,6
2016-03-10 14:45:46,Fiat_Punto_1.2,privat,Offer,1100,test,kleinwagen,2000,manuell,60,punto,60000,Jun,Gasoline,fiat,No,2016-03-10 00:00:00,87600,2016-03-11 02:16:04,2016,2016,March,March,1,2,16,6
2016-03-08 19:55:51,guenstig_Fiat_uno_zum_verkaufen_Tuev_bis_11.2016,privat,Offer,350,test,kleinwagen,1989,manuell,45,andere,150000,Feb,Gasoline,fiat,Other,2016-03-08 00:00:00,33098,2016-03-11 04:44:31,2016,2016,March,March,3,4,27,10
2016-03-28 21:47:37,Fiat_Punto_mit_neuen_TÜV_bis_Maerz_2018,privat,Offer,1150,control,kleinwagen,2001,manuell,60,punto,150000,Jul,Gasoline,fiat,No,2016-03-28 00:00:00,49610,2016-03-28 21:47:37,2016,2016,March,March,0,21,15,5
2016-03-30 17:38:36,Fiat_Cinquecento_0.9_i.e._S,privat,Offer,500,control,kleinwagen,1998,manuell,39,andere,80000,Mar,Gasoline,fiat,No,2016-03-30 00:00:00,92690,2016-04-07 08:16:35,2016,2016,March,March,8,8,18,9
2016-03-28 14:43:23,Fiat_Punto___Diesel___Silber___1.9_JTD___80_PS___Gebraucht,privat,Offer,1099,test,kleinwagen,2001,manuell,80,punto,150000,Apr,Diesel,fiat,Other,2016-03-28 00:00:00,22117,2016-03-31 22:45:41,2016,2016,March,March,3,22,15,8
2016-03-17 19:40:22,Punto_Model_188,privat,Offer,190,control,kleinwagen,1999,manuell,0,punto,150000,Apr,Gasoline,fiat,Yes,2016-03-17 00:00:00,63911,2016-03-17 19:40:22,2016,2016,March,March,0,19,17,8
