dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-16 07:56:19,FORD_KA___TÜV_ABGELAUFEN,privat,Offer,250,control,Other,2000,Unspecified,60,ka,150000,Jan,Other,ford,Other,2016-03-16 00:00:00,51427,2016-03-21 09:47:08,2016,2016,March,March,5,9,16,11
2016-03-24 11:48:01,Ford_Fiesta_aus_1._Hand_mit_Getriebeschaden,privat,Offer,150,test,Other,2016,automatik,75,fiesta,50000,Jan,Gasoline,ford,Yes,2016-03-24 00:00:00,32457,2016-03-30 11:48:26,2016,2016,March,March,6,11,0,11
2016-03-31 13:54:11,Ford_C_Max,privat,Offer,3000,control,Other,2016,manuell,0,c_max,150000,Mar,Diesel,ford,Other,2016-03-31 00:00:00,16348,2016-04-06 07:15:49,2016,2016,March,March,6,7,0,9
2016-03-16 15:49:57,Ford_Galaxy_1.9_TDI,privat,Offer,1750,test,Other,2016,manuell,116,galaxy,150000,Mar,Diesel,ford,Yes,2016-03-16 00:00:00,58513,2016-03-20 14:48:14,2016,2016,March,March,4,14,0,9
2016-03-19 18:40:09,Ford_fiesta,privat,Offer,480,test,Other,2016,Unspecified,0,fiesta,150000,Jan,Other,ford,Other,2016-03-19 00:00:00,50127,2016-04-07 05:17:35,2016,2016,March,March,19,5,0,11
2016-03-16 18:48:12,Ford_Fiesta_1_3_kein_TÜV_an_Bastler_oder_Schlachter,privat,Offer,250,control,Other,2000,Unspecified,60,fiesta,60000,Jan,Other,ford,Other,2016-03-16 00:00:00,47475,2016-03-17 17:16:36,2016,2016,March,March,1,17,16,11
2016-04-04 16:52:41,Ford_Transit_Dieselpumpe_defekt!,privat,Offer,999,test,Other,2016,manuell,0,transit,150000,Sep,Diesel,ford,Yes,2016-04-04 00:00:00,91301,2016-04-04 16:52:41,2016,2016,April,April,0,16,0,3
2016-03-28 13:58:06,Verkaufe_Ford_Fusion_ohne_TÜV,privat,Offer,500,test,Other,2006,Unspecified,70,fusion,150000,Jan,Diesel,ford,Other,2016-03-28 00:00:00,73450,2016-03-28 13:58:06,2016,2016,March,March,0,13,10,11
2016-03-20 16:48:54,Ford_Fiesta_style_family,privat,Offer,450,test,Other,2016,manuell,75,fiesta,125000,Jan,Other,ford,No,2016-03-20 00:00:00,63110,2016-04-02 21:47:31,2016,2016,March,March,13,21,0,11
2016-03-28 14:46:56,AUTO_RADIO_VON_FORD_MONDEO,privat,Offer,135,test,Other,2009,Unspecified,0,mondeo,150000,Jun,Other,ford,Other,2016-03-28 00:00:00,48268,2016-03-30 05:44:59,2016,2016,March,March,2,5,7,6
