dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-20 12:59:39,Ford_Escort_Cabrio,privat,Offer,300,test,cabrio,1992,manuell,105,escort,150000,Jan,Other,ford,Yes,2016-03-20 00:00:00,88515,2016-04-06 13:15:58,2016,2016,March,March,17,13,24,11
2016-03-07 12:38:19,Ford_Mustang_GT_V8_Cabrio_Premium_Neuwagenzustand,privat,Offer,19750,test,cabrio,2006,manuell,305,mustang,50000,Jul,Gasoline,ford,No,2016-03-07 00:00:00,38350,2016-03-12 20:18:29,2016,2016,March,March,5,20,10,5
2016-03-10 14:49:15,Ford_Streetka_1.6_8V,privat,Offer,3200,test,cabrio,2006,manuell,95,ka,90000,Mar,Gasoline,ford,No,2016-03-10 00:00:00,6796,2016-04-07 13:16:05,2016,2016,March,March,28,13,10,9
2016-03-06 11:25:19,Ford_escort_caprio,privat,Offer,550,test,cabrio,1996,manuell,0,escort,150000,May,Gasoline,ford,Other,2016-03-06 00:00:00,65594,2016-03-12 04:17:33,2016,2016,March,March,6,4,20,7
2016-04-01 21:51:26,Ford_Escort_Cabrio,privat,Offer,1700,test,cabrio,1985,manuell,69,escort,30000,May,Gasoline,ford,No,2016-04-01 00:00:00,29584,2016-04-05 20:18:29,2016,2016,April,April,4,20,31,7
2016-03-29 20:58:48,Ford_Escort_Cabrio,privat,Offer,2890,test,cabrio,1999,manuell,90,escort,125000,Mar,Gasoline,ford,Other,2016-03-29 00:00:00,2826,2016-04-06 07:17:28,2016,2016,March,March,8,7,17,9
2016-03-12 14:56:38,Ford_Focus_Coupe_Cabriolet_2.0_16V_Titanium,privat,Offer,6500,test,cabrio,2008,manuell,145,focus,90000,Jan,Gasoline,ford,No,2016-03-12 00:00:00,30823,2016-04-07 01:17:14,2016,2016,March,March,26,1,8,11
2016-03-05 15:48:00,Ford_Streetka_1.6_8V,privat,Offer,3299,control,cabrio,2005,manuell,95,ka,80000,Aug,Gasoline,ford,No,2016-03-05 00:00:00,47475,2016-03-21 04:17:45,2016,2016,March,March,16,4,11,4
2016-03-26 00:56:14,Mustang_Cabrio_sucht_neuen_Reiter,privat,Offer,17900,test,cabrio,2009,automatik,205,mustang,5000,Oct,Gasoline,ford,No,2016-03-26 00:00:00,20144,2016-04-05 18:45:37,2016,2016,March,March,10,18,7,2
2016-03-12 22:39:30,Ford_Streetka_1.6_8V_Blues,privat,Offer,3200,control,cabrio,2004,manuell,95,ka,125000,Apr,Gasoline,ford,No,2016-03-12 00:00:00,31555,2016-04-05 18:44:39,2016,2016,March,March,24,18,12,8
2016-03-29 22:46:28,Ford_Focus_Coupe_Cabriolet_2.0_16V_Titanium,privat,Offer,10500,test,cabrio,2008,manuell,145,focus,80000,Aug,Gasoline,ford,No,2016-03-29 00:00:00,78467,2016-04-06 09:45:31,2016,2016,March,March,8,9,8,4
2016-03-09 11:39:55,Ford_Escort_Cabrio,privat,Offer,1200,test,cabrio,1993,manuell,52,escort,150000,Apr,Gasoline,ford,Yes,2016-03-09 00:00:00,89331,2016-03-16 03:44:46,2016,2016,March,March,7,3,23,8
2016-04-06 21:25:23,Ford_Focus_Cabrio_Titanium,privat,Offer,7999,control,cabrio,2007,automatik,145,focus,125000,Aug,Gasoline,ford,No,2016-04-06 00:00:00,35510,2016-04-06 21:25:23,2016,2016,April,April,0,21,9,4
2016-03-09 21:56:36,Ford_Street_ka_Cabrio,privat,Offer,3450,test,cabrio,2005,manuell,95,ka,70000,Aug,Gasoline,ford,Other,2016-03-09 00:00:00,31785,2016-03-14 17:45:06,2016,2016,March,March,5,17,11,4
