dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-09 21:46:09,Ford_Escort_CLX,privat,Offer,600,test,limousine,1994,manuell,75,escort,100000,Jun,Gasoline,ford,Yes,2016-03-09 00:00:00,37359,2016-04-05 23:44:25,2016,2016,March,March,27,23,22,6
2016-03-27 12:36:18,Ford_Focus_1_6l*Klima*TÜV*,privat,Offer,1750,test,limousine,2002,manuell,75,focus,125000,Jan,Gasoline,ford,No,2016-03-27 00:00:00,33330,2016-03-27 12:36:18,2016,2016,March,March,0,12,14,11
2016-03-14 23:52:32,Ford_Focus_1.8__FFV__flexifuel_Style,privat,Offer,6500,control,limousine,2007,manuell,125,focus,125000,Sep,,ford,No,2016-03-14 00:00:00,97199,2016-04-05 11:51:03,2016,2016,March,March,22,11,9,3
2016-03-15 13:52:38,Ford_Focus_Trend,privat,Offer,680,control,limousine,2000,manuell,75,focus,150000,May,Gasoline,ford,No,2016-03-15 00:00:00,67661,2016-04-06 03:16:12,2016,2016,March,March,22,3,16,7
2016-03-10 11:53:00,FORD_FOCUS_TDCI__TOP_ZUSTAND_TÜV_bis_4/2017_____DIESEL,privat,Offer,1700,test,limousine,2004,manuell,115,focus,150000,Jun,Diesel,ford,Other,2016-03-10 00:00:00,78532,2016-03-24 13:45:50,2016,2016,March,March,14,13,12,6
2016-04-02 14:51:54,Ford_Mondeo_2.0_Ghia,privat,Offer,1900,test,limousine,2003,manuell,145,mondeo,150000,Aug,Gasoline,ford,No,2016-04-02 00:00:00,30453,2016-04-06 13:17:44,2016,2016,April,April,4,13,13,4
2016-03-07 11:58:11,Ford_Taunus_2_0_GL___Youngtimer_Originalzustand_ohne_Rost,privat,Offer,5500,test,limousine,1980,manuell,96,andere,60000,Jan,Gasoline,ford,No,2016-03-07 00:00:00,14163,2016-03-11 03:46:02,2016,2016,March,March,4,3,36,11
2016-03-22 23:48:23,Ford_Focus_2.5_ST,privat,Offer,8495,test,limousine,2006,manuell,226,focus,125000,Jun,Gasoline,ford,No,2016-03-22 00:00:00,63773,2016-03-25 20:44:24,2016,2016,March,March,3,20,10,6
2016-04-03 16:54:32,Ford_Mondeo_2.0_TDCi_Ghia,privat,Offer,3600,control,limousine,2004,manuell,131,mondeo,150000,Mar,Diesel,ford,No,2016-04-03 00:00:00,48231,2016-04-05 16:46:22,2016,2016,April,April,2,16,12,9
2016-03-19 18:37:13,Ford_Focus,privat,Offer,399,test,limousine,1998,manuell,0,focus,150000,Oct,Other,ford,Other,2016-03-19 00:00:00,42653,2016-03-20 20:46:27,2016,2016,March,March,1,20,18,2
2016-03-26 23:47:41,Ford_Escort_1_6__66_KW_preisguenstig,privat,Offer,0,test,limousine,1993,manuell,90,escort,100000,Nov,Gasoline,ford,Other,2016-03-26 00:00:00,28309,2016-04-06 18:48:25,2016,2016,March,March,11,18,23,1
2016-03-31 19:45:14,Ford_Focus_DI,privat,Offer,2000,control,limousine,2004,manuell,75,focus,150000,Mar,Diesel,ford,No,2016-03-31 00:00:00,52525,2016-04-04 12:46:37,2016,2016,March,March,4,12,12,9
2016-03-16 14:28:54,Ford_Focus_Ghia_1_8_16v_TÜV_NEU,privat,Offer,1500,control,limousine,2000,manuell,116,focus,125000,Apr,Gasoline,ford,No,2016-03-16 00:00:00,56242,2016-03-17 18:34:09,2016,2016,March,March,1,18,16,8
2016-04-05 01:47:40,Ford_Focus_Ghia_Klima_2_Hand_Ford_Scheckheft_8_Fach_!,privat,Offer,650,control,limousine,1999,manuell,116,focus,150000,Jan,Gasoline,ford,No,2016-04-04 00:00:00,76133,2016-04-05 06:45:39,2016,2016,April,April,1,6,17,11
2016-04-04 14:00:16,Ford_Escort,privat,Offer,700,control,limousine,1994,manuell,90,escort,125000,Aug,Gasoline,ford,No,2016-04-04 00:00:00,99628,2016-04-06 15:46:13,2016,2016,April,April,2,15,22,4
2016-03-23 12:56:07,Ford_Mondeo_2.0_DI_Ghia,privat,Offer,2980,control,limousine,2001,manuell,116,mondeo,70000,Aug,Diesel,ford,No,2016-03-23 00:00:00,49504,2016-04-05 12:45:16,2016,2016,March,March,13,12,15,4
2016-03-19 16:54:38,Ford_Focus_C_Max,privat,Offer,4950,test,limousine,2008,manuell,109,c_max,150000,Mar,Diesel,ford,No,2016-03-19 00:00:00,86368,2016-04-07 02:46:41,2016,2016,March,March,19,2,8,9
2016-03-12 06:57:02,Ford_Focus,privat,Offer,999,control,limousine,1999,manuell,101,focus,150000,Nov,Gasoline,ford,Yes,2016-03-12 00:00:00,79426,2016-04-05 23:18:25,2016,2016,March,March,24,23,17,1
2016-03-08 18:37:19,Ford_Fiesta_4/5__tueren__HU_juli_2017,privat,Offer,599,test,limousine,1998,manuell,50,fiesta,150000,Oct,Gasoline,ford,No,2016-03-08 00:00:00,89269,2016-03-11 14:17:23,2016,2016,March,March,3,14,18,2
2016-03-30 21:44:03,Ford_Fusion_Limousine,privat,Offer,3000,test,limousine,2006,manuell,101,fusion,150000,Jun,Gasoline,ford,No,2016-03-30 00:00:00,81927,2016-04-05 11:46:22,2016,2016,March,March,6,11,10,6
2016-03-10 17:56:17,Ford_Focus_sedan_/ghia_/Clima/D4,privat,Offer,850,control,limousine,1999,manuell,101,focus,150000,Mar,Gasoline,ford,No,2016-03-10 00:00:00,84539,2016-03-11 06:15:13,2016,2016,March,March,1,6,17,9
2016-03-09 09:50:14,Ford_Mondeo_2.0_TDCi,privat,Offer,7300,test,limousine,2008,manuell,140,mondeo,150000,Sep,Diesel,ford,No,2016-03-09 00:00:00,90461,2016-03-23 11:16:59,2016,2016,March,March,14,11,8,3
2016-03-11 00:36:54,Ford_Focus_1.6_TDCi_DPF_Titanium,privat,Offer,1350,test,limousine,2006,automatik,109,focus,150000,Nov,Diesel,ford,Yes,2016-03-11 00:00:00,40667,2016-04-06 05:45:34,2016,2016,March,March,26,5,10,1
2016-03-24 15:48:37,Top_Ford_Focus_1.6_TDCI,privat,Offer,6900,test,limousine,2008,manuell,90,focus,150000,Jun,Diesel,ford,No,2016-03-24 00:00:00,1796,2016-04-07 07:46:33,2016,2016,March,March,14,7,8,6
2016-04-04 11:37:53,For_Fiesta_1.3_Fun,privat,Offer,3399,control,limousine,2007,manuell,60,fiesta,90000,Jan,Gasoline,ford,No,2016-04-04 00:00:00,52499,2016-04-06 12:17:34,2016,2016,April,April,2,12,9,11
2016-03-15 21:36:20,Ford_Popular_Oldtimer_103_E_Restauriert_Oldtimer,privat,Offer,10500,control,limousine,1955,manuell,30,andere,60000,Jan,Gasoline,ford,Other,2016-03-15 00:00:00,53498,2016-04-07 08:16:11,2016,2016,March,March,23,8,61,11
2016-03-25 14:54:39,Ford_Mondeo_2.0_Ghia_X,privat,Offer,4299,control,limousine,2004,manuell,145,mondeo,150000,Mar,Gasoline,ford,No,2016-03-25 00:00:00,97892,2016-03-28 14:18:22,2016,2016,March,March,3,14,12,9
2016-03-19 12:39:53,Ford_Focus_2.0_TDCi_DPF_Titanium,privat,Offer,4000,test,limousine,2009,manuell,136,focus,150000,Jul,Diesel,ford,Yes,2016-03-19 00:00:00,83075,2016-03-19 12:39:53,2016,2016,March,March,0,12,7,5
2016-04-03 21:57:52,Ford_Focus_1.6_TDCi_DPF_Durashift_CVT_Titanium,privat,Offer,4100,test,limousine,2006,manuell,109,focus,150000,Mar,Diesel,ford,No,2016-04-03 00:00:00,91058,2016-04-05 23:15:39,2016,2016,April,April,2,23,10,9
2016-03-10 18:25:18,Sondermodel,privat,Offer,250,control,limousine,1997,manuell,60,fiesta,80000,May,Gasoline,ford,No,2016-03-10 00:00:00,60435,2016-03-12 23:46:41,2016,2016,March,March,2,23,19,7
2016-03-26 22:56:08,Ford_Focus_1.0_EcoBoost_Start_Stopp_System,privat,Offer,11490,test,limousine,2012,manuell,101,focus,40000,Nov,Gasoline,ford,No,2016-03-26 00:00:00,53797,2016-04-07 01:46:31,2016,2016,March,March,12,1,4,1
2016-03-16 17:37:32,Verkaufe_Ford_Fiesta_1.3_Benzine_2002,privat,Offer,600,control,limousine,2002,manuell,75,fiesta,125000,Nov,Other,ford,No,2016-03-16 00:00:00,39576,2016-03-21 20:17:35,2016,2016,March,March,5,20,14,1
2016-03-28 09:37:22,Ford_Focus_Ghia,privat,Offer,1000,control,limousine,1999,manuell,101,focus,150000,Jul,Gasoline,ford,No,2016-03-28 00:00:00,83209,2016-03-31 18:17:26,2016,2016,March,March,3,18,17,5
2016-04-04 22:54:16,Ford_Focus_Trend,privat,Offer,1600,test,limousine,1998,manuell,131,focus,150000,Nov,Gasoline,ford,No,2016-04-04 00:00:00,28719,2016-04-07 02:17:09,2016,2016,April,April,3,2,18,1
2016-03-08 09:52:36,Ford_Focus_Giha_Klima_TÜV_bis_07_2016,privat,Offer,399,control,limousine,1999,manuell,100,focus,150000,Mar,Gasoline,ford,No,2016-03-08 00:00:00,61462,2016-03-11 20:16:33,2016,2016,March,March,3,20,17,9
