dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-22 10:25:18,Ford_Kuga_2.0_TDCi_4x4_Individual__Navi__Xenon__AHK,privat,Offer,25950,test,suv,2014,manuell,163,kuga,30000,Jul,Diesel,ford,No,2016-03-22 00:00:00,57080,2016-04-06 07:44:24,2016,2016,March,March,15,7,2,5
2016-03-11 16:55:56,Ford_Kuga_2.0_TDCi_4x4_Titanium_S,privat,Offer,14900,test,suv,2012,manuell,140,kuga,90000,Nov,Diesel,ford,No,2016-03-11 00:00:00,53117,2016-03-14 14:16:52,2016,2016,March,March,3,14,4,1
2016-03-23 22:56:32,teilespender_offroud,privat,Offer,700,test,suv,1998,automatik,204,andere,150000,Mar,Gasoline,ford,Yes,2016-03-23 00:00:00,86854,2016-04-06 17:16:15,2016,2016,March,March,14,17,18,9
2016-03-16 12:49:07,Ford_Kuga_2.0_TDCi_2x4_Titanium,privat,Offer,10990,test,suv,2009,manuell,136,kuga,150000,Sep,Diesel,ford,No,2016-03-16 00:00:00,49504,2016-04-06 07:46:05,2016,2016,March,March,21,7,7,3
2016-03-29 13:45:07,Ford_Kuga_2.0_TDCi_4x4_Aut._Titanium_NAVI_Leder,privat,Offer,19999,control,suv,2014,automatik,163,kuga,90000,Jun,Diesel,ford,No,2016-03-29 00:00:00,58256,2016-04-05 22:47:08,2016,2016,March,March,7,22,2,6
2016-03-12 14:43:12,Ford_Explorer_LPG,privat,Offer,1000,test,suv,1998,automatik,207,andere,150000,Oct,Lpg,ford,Yes,2016-03-12 00:00:00,54343,2016-04-06 23:17:24,2016,2016,March,March,25,23,18,2
2016-03-20 09:58:55,Ford_Kuga_1.5_Eco_Individual_Navi__Key_Free_Kamera,privat,Offer,26400,control,suv,2015,manuell,150,kuga,5000,Nov,Gasoline,ford,No,2016-03-20 00:00:00,93333,2016-03-31 14:17:43,2016,2016,March,March,11,14,1,1
2016-04-04 22:58:02,Ford_Kuga_2.0_TDCi_4x4,privat,Offer,16800,test,suv,2009,manuell,136,kuga,90000,Feb,Diesel,ford,No,2016-04-04 00:00:00,24340,2016-04-07 02:17:07,2016,2016,April,April,3,2,7,10
2016-04-05 11:37:41,Ford_Ranger_XLT_mit_Anhaengerkupplung,privat,Offer,17900,test,suv,2012,manuell,150,andere,70000,Apr,Diesel,ford,No,2016-04-05 00:00:00,57392,2016-04-05 11:37:41,2016,2016,April,April,0,11,4,8
2016-03-12 19:38:42,Ford_Maverick_TueV_bis_01.2017,privat,Offer,2600,test,suv,1998,manuell,115,andere,150000,Jan,Gasoline,ford,No,2016-03-12 00:00:00,67752,2016-04-07 14:57:45,2016,2016,March,March,26,14,18,11
