dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-11 08:53:56,Honda_fr_v_2.2_cdti_zu_verkaufen_!!_6_sitzer_!!,privat,Offer,7999,test,bus,2008,manuell,0,andere,100000,Sep,Diesel,honda,No,2016-03-11 00:00:00,90766,2016-04-06 06:46:29,2016,2016,March,March,26,6,8,3
2016-03-27 13:58:16,Honda_FR_V,privat,Offer,4800,test,bus,2004,manuell,125,andere,150000,Nov,Gasoline,honda,Yes,2016-03-27 00:00:00,44149,2016-04-07 09:46:29,2016,2016,March,March,11,9,12,1
2016-03-23 17:37:37,Auto_Honda_FR_V_1.7___6_Sitzer,privat,Offer,3900,control,bus,2005,manuell,125,andere,150000,Feb,Gasoline,honda,No,2016-03-23 00:00:00,1217,2016-03-29 12:18:16,2016,2016,March,March,6,12,11,10
2016-03-06 15:45:34,HONDA_Shuttle__6_Sitzer__Vollleder__Schiebedach__Technisch_Top,privat,Offer,2000,test,bus,2000,automatik,150,andere,150000,Jun,Gasoline,honda,Other,2016-03-06 00:00:00,49163,2016-03-06 15:45:34,2016,2016,March,March,0,15,16,6
2016-03-12 20:06:22,Honda_2.0_comfort,privat,Offer,6000,control,bus,2005,manuell,150,andere,150000,Apr,Gasoline,honda,No,2016-03-12 00:00:00,55130,2016-04-07 12:45:51,2016,2016,March,March,26,12,11,8
2016-03-26 00:36:41,Honda_FR_V_1_7.klima_6_sitzer_CD_Wechler_zahnriemen,privat,Offer,6100,test,bus,2005,manuell,125,andere,150000,Nov,Gasoline,honda,No,2016-03-26 00:00:00,13629,2016-04-05 18:45:37,2016,2016,March,March,10,18,11,1
2016-03-09 12:59:37,Top_Honda_jazz_!!,privat,Offer,8400,control,bus,2012,manuell,90,Other,60000,Nov,Gasoline,honda,No,2016-03-09 00:00:00,44225,2016-03-09 13:44:47,2016,2016,March,March,0,13,4,1
2016-03-20 01:56:50,Honda_FR_V_2.2_CTDi,privat,Offer,3599,test,bus,2006,manuell,140,andere,150000,May,Diesel,honda,No,2016-03-20 00:00:00,49479,2016-04-06 02:46:52,2016,2016,March,March,17,2,10,7
2016-03-14 18:54:43,Honda_Stream_1.7i,privat,Offer,2450,test,bus,2003,manuell,125,andere,150000,Apr,Gasoline,honda,No,2016-03-14 00:00:00,48455,2016-04-06 03:16:47,2016,2016,March,March,23,3,13,8
2016-03-11 21:47:25,Honda_Shuttle_2.3i,privat,Offer,1300,test,bus,2000,automatik,150,andere,150000,Jul,Gasoline,honda,No,2016-03-11 00:00:00,97500,2016-04-06 08:15:54,2016,2016,March,March,26,8,16,5
2016-03-20 14:38:01,Honda_FR_V_2.2_CTDi_Comfort_DPF,privat,Offer,6900,test,bus,2008,manuell,140,andere,150000,Feb,Diesel,honda,No,2016-03-20 00:00:00,33415,2016-03-31 21:46:09,2016,2016,March,March,11,21,8,10
2016-03-28 15:59:39,Honda_Shuttle_2.3i_LS,privat,Offer,1250,control,bus,2000,automatik,150,andere,150000,Apr,Gasoline,honda,No,2016-03-28 00:00:00,46238,2016-04-06 20:46:57,2016,2016,March,March,9,20,16,8
2016-03-21 13:43:49,Honda_FR_V_1.8,privat,Offer,8000,test,bus,2008,manuell,140,andere,150000,Sep,Gasoline,honda,No,2016-03-21 00:00:00,2997,2016-04-06 08:45:56,2016,2016,March,March,16,8,8,3
2016-03-19 05:03:08,Top_Honda_Jazz_1_4_ltr._100_PS_Garag_Wagen,privat,Offer,7950,test,bus,2012,manuell,100,jazz,60000,Mar,Gasoline,honda,No,2016-03-19 00:00:00,12207,2016-04-06 05:46:23,2016,2016,March,March,18,5,4,9
