dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-03 12:45:29,Honda_Jazz_1.2_S,privat,Offer,1699,control,kleinwagen,2003,manuell,77,jazz,150000,Aug,Gasoline,honda,No,2016-04-03 00:00:00,42105,2016-04-07 14:57:35,2016,2016,April,April,4,14,13,4
2016-03-31 16:54:58,Honda_Civic_1.4_90ps_supersonic,privat,Offer,2000,control,kleinwagen,1999,manuell,90,civic,150000,Jan,Other,honda,No,2016-03-31 00:00:00,34621,2016-04-06 09:44:40,2016,2016,March,March,6,9,17,11
2016-03-31 13:53:30,Honda_Jazz_1.4,privat,Offer,2250,control,kleinwagen,2002,manuell,83,jazz,150000,Jun,Gasoline,honda,No,2016-03-31 00:00:00,93133,2016-04-02 09:15:30,2016,2016,March,March,2,9,14,6
2016-03-05 22:51:28,Honda_CRX_ED9_Überholter_Motor,privat,Offer,1300,control,kleinwagen,1989,manuell,125,andere,5000,Mar,Gasoline,honda,No,2016-03-05 00:00:00,18195,2016-03-17 23:16:03,2016,2016,March,March,12,23,27,9
2016-03-21 12:36:37,Honda_Civic_EJ9_fuer_Stockcar_oder_Bastler,privat,Offer,200,control,kleinwagen,2001,manuell,90,civic,150000,May,Gasoline,honda,Yes,2016-03-21 00:00:00,18581,2016-03-21 12:36:37,2016,2016,March,March,0,12,15,7
2016-04-04 19:55:29,Honda_Civic_1300_TÜV_neu,privat,Offer,750,test,kleinwagen,1994,manuell,75,civic,150000,May,Gasoline,honda,No,2016-04-04 00:00:00,58285,2016-04-06 22:17:06,2016,2016,April,April,2,22,22,7
2016-03-23 21:46:55,Honda_Civic_EG4_mit_Tuev,privat,Offer,800,test,kleinwagen,1993,manuell,90,civic,150000,Jun,Gasoline,honda,Other,2016-03-23 00:00:00,52223,2016-04-06 03:16:14,2016,2016,March,March,14,3,23,6
2016-03-16 19:56:06,Honda_Civic_Ej9,privat,Offer,750,test,kleinwagen,2000,manuell,75,civic,150000,May,Gasoline,honda,No,2016-03-16 00:00:00,89264,2016-04-05 03:15:53,2016,2016,March,March,20,3,16,7
2016-03-08 01:36:17,Honda_Jazz_1.4,privat,Offer,1900,control,kleinwagen,2002,manuell,83,jazz,150000,Jan,Gasoline,honda,No,2016-03-08 00:00:00,70195,2016-03-22 12:44:41,2016,2016,March,March,14,12,14,11
2016-04-03 21:56:34,Honda_Jazz_1.4_Style,privat,Offer,4880,test,kleinwagen,2007,manuell,83,jazz,150000,Nov,Gasoline,honda,No,2016-04-03 00:00:00,18528,2016-04-05 23:44:52,2016,2016,April,April,2,23,9,1
2016-03-22 20:44:32,Verkaufe_oder_Schlachte_Honda_Civic_EG3_mit_Resttuev,privat,Offer,250,control,kleinwagen,1993,manuell,75,civic,150000,Jan,Gasoline,honda,Yes,2016-03-22 00:00:00,21259,2016-03-30 02:17:17,2016,2016,March,March,8,2,23,11
2016-03-05 16:40:52,Honda_Jazz_1_4_LS_AHK_+_LPG_Gasanlage,privat,Offer,2700,control,kleinwagen,2003,manuell,83,jazz,150000,Jun,Gasoline,honda,No,2016-03-05 00:00:00,99425,2016-03-10 16:17:30,2016,2016,March,March,5,16,13,6
2016-04-02 13:50:59,Zu_verkaufen,privat,Offer,500,test,kleinwagen,1996,manuell,75,Other,5000,May,Gasoline,honda,Other,2016-04-02 00:00:00,38275,2016-04-06 12:16:27,2016,2016,April,April,4,12,20,7
2016-04-02 11:48:54,Honda_Civic,privat,Offer,1500,test,kleinwagen,2000,manuell,1400,Other,150000,Jan,Gasoline,honda,Other,2016-04-02 00:00:00,21509,2016-04-04 09:15:26,2016,2016,April,April,2,9,16,11
2016-03-07 12:51:55,Honda_Civic_EJ9,privat,Offer,1700,test,kleinwagen,1998,manuell,90,civic,150000,Sep,Gasoline,honda,Other,2016-03-07 00:00:00,12109,2016-04-05 19:47:46,2016,2016,March,March,29,19,18,3
2016-04-02 23:52:04,Honda_Civic_eg3,privat,Offer,0,test,kleinwagen,1995,manuell,75,civic,150000,Sep,Gasoline,honda,Other,2016-04-02 00:00:00,9244,2016-04-05 02:46:09,2016,2016,April,April,3,2,21,3
2016-03-22 02:03:09,Verkaufe_meinen_Honda_EG_4__8_fach_bereift,privat,Offer,500,test,kleinwagen,1992,manuell,90,Other,150000,Jul,Gasoline,honda,Yes,2016-03-22 00:00:00,99086,2016-03-31 00:47:18,2016,2016,March,March,9,0,24,5
2016-04-04 07:57:12,Honda_civic_ej9,privat,Offer,750,test,kleinwagen,1995,manuell,75,civic,150000,Jan,Gasoline,honda,Yes,2016-04-04 00:00:00,49134,2016-04-06 08:45:31,2016,2016,April,April,2,8,21,11
2016-03-20 15:41:28,Honda_Jazz_1_4_LS_gepflegt_und_unfallfrei,privat,Offer,3700,control,kleinwagen,2007,manuell,82,jazz,150000,Jan,Gasoline,honda,No,2016-03-20 00:00:00,49170,2016-04-04 17:46:22,2016,2016,March,March,15,17,9,11
2016-03-28 11:50:58,Honda_Jazz_1.4_LS,privat,Offer,2500,control,kleinwagen,2002,automatik,83,jazz,125000,Sep,Gasoline,honda,No,2016-03-28 00:00:00,58511,2016-03-30 02:16:39,2016,2016,March,March,2,2,14,3
2016-03-24 00:36:55,Honda_civic_ed6_verkaufe/tausche,privat,Offer,800,test,kleinwagen,1989,manuell,110,civic,100000,May,Gasoline,honda,No,2016-03-24 00:00:00,14712,2016-04-06 21:17:30,2016,2016,March,March,13,21,27,7
