dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-21 12:47:55,Honda_HRV_reserviert!!!,privat,Offer,2100,control,suv,2000,manuell,105,andere,150000,Aug,Gasoline,honda,No,2016-02-09 00:00:00,85244,2016-03-31 16:46:09,2016,2016,February,March,51,16,16,4
2016-03-27 11:57:05,Honda_HR_V_4wd_Sport_TÜV_Neu,privat,Offer,2700,test,suv,2001,manuell,124,andere,150000,Apr,Gasoline,honda,No,2016-03-27 00:00:00,67659,2016-04-03 07:16:16,2016,2016,March,March,7,7,15,8
2016-03-21 18:30:20,Honda_CR_V_2.0i_VTEC_Executive,privat,Offer,10000,test,suv,2007,manuell,150,cr_reihe,150000,Feb,Gasoline,honda,No,2016-03-21 00:00:00,55469,2016-04-05 18:16:53,2016,2016,March,March,15,18,9,10
2016-04-01 19:47:06,Honda_CR_V_2.0i_ES,privat,Offer,4900,control,suv,2002,manuell,150,cr_reihe,125000,May,Gasoline,honda,No,2016-04-01 00:00:00,36452,2016-04-01 19:47:06,2016,2016,April,April,0,19,14,7
2016-03-28 22:06:27,Honda_CR_V_Executive_DPF_SUV__Offroad,privat,Offer,6400,control,suv,2005,manuell,140,cr_reihe,125000,Nov,Diesel,honda,No,2016-03-28 00:00:00,61352,2016-03-29 22:09:37,2016,2016,March,March,1,22,11,1
2016-03-17 15:52:45,Honda_CR_V_2.0i_VTEC_Comfort,privat,Offer,12500,test,suv,2009,manuell,150,cr_reihe,125000,Oct,Gasoline,honda,No,2016-03-17 00:00:00,76676,2016-04-06 23:47:03,2016,2016,March,March,20,23,7,2
2016-03-15 18:39:01,Honda_CR_V_2.2i_DTEC_DPF_Automatik_Elegance,privat,Offer,13900,control,suv,2010,automatik,150,cr_reihe,100000,Nov,Diesel,honda,No,2016-03-15 00:00:00,54636,2016-04-06 18:47:20,2016,2016,March,March,22,18,6,1
2016-03-13 18:41:21,Honda_CR_V_2.2i_CTDi_DPF,privat,Offer,10900,test,suv,2007,manuell,140,cr_reihe,150000,Mar,Diesel,honda,No,2016-03-13 00:00:00,69124,2016-04-06 17:47:03,2016,2016,March,March,24,17,9,9
2016-03-07 16:52:25,Honda_CR_V,privat,Offer,9700,control,suv,2007,automatik,150,cr_reihe,150000,Feb,Gasoline,honda,No,2016-03-07 00:00:00,72622,2016-04-05 20:47:25,2016,2016,March,March,29,20,9,10
2016-03-08 09:50:28,Honda_CR_V,privat,Offer,2000,test,suv,1999,manuell,128,cr_reihe,150000,Mar,Gasoline,honda,Yes,2016-03-08 00:00:00,56170,2016-03-21 09:44:32,2016,2016,March,March,13,9,17,9
2016-03-07 13:45:39,Honda_CR_V_Extrabreit_TÜV_10_2017_alles_Eingetragen_GEIL!,privat,Offer,2750,control,suv,1998,manuell,128,cr_reihe,150000,Sep,Gasoline,honda,Other,2016-03-07 00:00:00,73333,2016-03-13 03:16:21,2016,2016,March,March,6,3,18,3
2016-03-19 10:58:34,Honda_CRV_2.0_Executive_Top_Zustamd,privat,Offer,8000,test,suv,2007,manuell,140,andere,150000,Jun,Other,honda,No,2016-03-19 00:00:00,52224,2016-03-21 15:21:54,2016,2016,March,March,2,15,9,6
2016-03-25 20:37:24,Honda_CR_V_2.2i_CTDi_DPF_Elegance,privat,Offer,10950,control,suv,2008,manuell,140,cr_reihe,150000,Sep,Diesel,honda,No,2016-03-25 00:00:00,58300,2016-04-07 04:17:21,2016,2016,March,March,13,4,8,3
2016-03-10 10:50:17,Honda_HR_V,privat,Offer,3300,test,suv,1999,manuell,105,andere,90000,Apr,Gasoline,honda,No,2016-03-10 00:00:00,72145,2016-03-14 06:17:47,2016,2016,March,March,4,6,17,8
2016-03-08 18:45:19,Honda_CR_V_2.2i_CTDi_DPF_Elegance,privat,Offer,9500,test,suv,2008,manuell,140,cr_reihe,150000,Sep,Diesel,honda,No,2016-03-08 00:00:00,45357,2016-04-07 11:45:27,2016,2016,March,March,30,11,8,3
