dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-15 18:46:50,Hyundai_Getz_1_1_l_GL__Klima__Euro_4__5_Tuerig__ZV__TÜV__Servo,privat,Offer,2800,control,andere,2009,manuell,67,getz,150000,Jun,Gasoline,hyundai,No,2016-03-15 00:00:00,33790,2016-04-06 18:18:36,2016,2016,March,March,22,18,7,6
2016-04-04 14:00:06,Hyundai_getz_gls,privat,Offer,2500,control,andere,2003,manuell,0,Other,5000,Jul,Other,hyundai,Other,2016-04-04 00:00:00,28870,2016-04-06 15:46:10,2016,2016,April,April,2,15,13,5
2016-03-21 16:51:46,Transporter_zu_verkaufen!,privat,Offer,2500,control,andere,2002,manuell,101,andere,150000,Feb,Diesel,hyundai,No,2016-03-21 00:00:00,18106,2016-04-06 16:45:47,2016,2016,March,March,16,16,14,10
2016-03-26 12:50:18,Hyundai_H_1_2.5_CRDI_140PS_Gruene_Plakette_nur_63100km_gelaufen!,privat,Offer,4999,control,andere,2004,manuell,140,andere,70000,Jun,Diesel,hyundai,No,2016-03-26 00:00:00,64385,2016-04-03 23:18:38,2016,2016,March,March,8,23,12,6
2016-03-24 21:50:10,Verkaufe_mein_Auto_#_Jeep_#_Hyundai_#_Tucson_#,privat,Offer,4700,test,andere,2006,automatik,120,tucson,150000,Jan,Other,hyundai,Other,2016-03-24 00:00:00,45886,2016-04-05 17:17:13,2016,2016,March,March,12,17,10,11
2016-03-22 15:46:20,Hyundai_i10__1.2_Style__Vollausstattung,privat,Offer,4950,control,andere,2009,manuell,77,i_reihe,90000,Sep,Gasoline,hyundai,No,2016-03-22 00:00:00,45665,2016-04-04 04:17:33,2016,2016,March,March,13,4,7,3
2016-03-10 16:47:37,HYUNDAI_MATRIX,privat,Offer,3500,control,andere,2007,automatik,0,andere,60000,Jan,Other,hyundai,Other,2016-03-10 00:00:00,46519,2016-03-12 06:46:58,2016,2016,March,March,2,6,9,11
2016-03-10 21:51:01,Hyundai_Coupe_2.7_V6_Gls,privat,Offer,6500,control,andere,2007,manuell,168,Other,80000,Jan,Other,hyundai,No,2016-03-10 00:00:00,38228,2016-04-07 00:17:24,2016,2016,March,March,28,0,9,11
2016-03-25 11:50:31,ich_verkaufe,privat,Offer,1500,test,andere,2003,automatik,0,Other,150000,Jan,Gasoline,hyundai,No,2016-03-25 00:00:00,84579,2016-04-06 12:44:56,2016,2016,March,March,12,12,13,11
2016-03-23 12:57:27,Hyundai_Lantra_mit_fuer_das_Alter_geringe_Laufleistungen,privat,Offer,550,control,andere,1995,manuell,115,andere,150000,Oct,Gasoline,hyundai,No,2016-03-23 00:00:00,39307,2016-03-27 17:16:04,2016,2016,March,March,4,17,21,2
2016-03-10 18:43:44,Hyundai_Matrix_Comfort,privat,Offer,6499,test,andere,2010,manuell,103,andere,50000,Mar,Gasoline,hyundai,No,2016-03-10 00:00:00,26529,2016-03-29 13:46:31,2016,2016,March,March,19,13,6,9
2016-03-26 15:54:11,Hyundai_H1_LKW_geschl._Kasten,privat,Offer,3250,test,andere,2008,manuell,140,andere,90000,Sep,Diesel,hyundai,Yes,2016-03-26 00:00:00,58285,2016-04-06 04:15:48,2016,2016,March,March,11,4,8,3
2016-03-31 19:38:02,Perfektes_Anfaengerauto:_Hyundai_Atos_Prime__MX__1.1_in_blau,privat,Offer,1650,control,andere,2006,manuell,63,andere,150000,Sep,Gasoline,hyundai,Other,2016-03-31 00:00:00,85290,2016-04-06 13:45:22,2016,2016,March,March,6,13,10,3
2016-03-15 21:45:12,Hyundai_Matrix_1_6_Glx_August.2017_TÜV,privat,Offer,2200,control,andere,2005,manuell,104,andere,125000,Aug,Gasoline,hyundai,No,2016-03-15 00:00:00,24214,2016-03-23 07:18:14,2016,2016,March,March,8,7,11,4
