dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-16 16:44:10,Hyundai_Genesis_Coupe_GT_3.8_V6_Automatik,privat,Offer,22999,control,coupe,2012,automatik,303,andere,50000,Apr,Gasoline,hyundai,No,2016-03-16 00:00:00,88167,2016-04-06 20:18:22,2016,2016,March,March,21,20,4,8
2016-03-07 14:56:58,Hyundai_Coupe_2.7_V6_GLS,privat,Offer,1499,control,coupe,2002,manuell,167,andere,150000,Mar,Gasoline,hyundai,Yes,2016-03-07 00:00:00,17358,2016-04-07 10:46:12,2016,2016,March,March,31,10,14,9
2016-03-19 19:48:38,Hyundai_Coupé_FX_2_0,privat,Offer,1490,control,coupe,2000,manuell,139,andere,80000,May,Gasoline,hyundai,No,2016-03-19 00:00:00,6618,2016-03-24 15:46:45,2016,2016,March,March,5,15,16,7
2016-03-16 13:25:20,Hyundai_Coupè_mit_TÜV__Klima_und_8_fach_bereift,privat,Offer,1400,test,coupe,2001,manuell,139,andere,150000,Mar,Gasoline,hyundai,Yes,2016-03-16 00:00:00,65232,2016-03-29 12:16:05,2016,2016,March,March,13,12,15,9
2016-03-14 14:06:23,Hyundai_Coupe_2.7_V6_GLS,privat,Offer,2998,control,coupe,2003,automatik,167,andere,90000,Nov,Gasoline,hyundai,No,2016-03-14 00:00:00,60439,2016-03-22 06:17:48,2016,2016,March,March,8,6,13,1
2016-04-05 08:36:19,Hyundai_Coupé_RD_2_0,privat,Offer,0,test,coupe,1999,manuell,136,andere,150000,Jun,Gasoline,hyundai,No,2016-04-05 00:00:00,51570,2016-04-05 12:27:33,2016,2016,April,April,0,12,17,6
2016-03-18 12:21:35,Hyundai_Coupe_2.0_GLS,privat,Offer,6000,control,coupe,2007,manuell,143,andere,150000,Sep,Gasoline,hyundai,No,2016-03-18 00:00:00,60486,2016-04-07 06:16:43,2016,2016,March,March,20,6,9,3
2016-03-26 18:38:02,Hyundai_Accent_x3_GS_Automatik_Klima_Servo_el._Fensterheber_TÜV,privat,Offer,950,test,coupe,1996,automatik,60,andere,150000,Nov,Gasoline,hyundai,Other,2016-03-26 00:00:00,29525,2016-04-06 07:44:35,2016,2016,March,March,11,7,20,1
2016-03-10 23:51:47,Hyundai_coupe___FINGER_WEG!!!,privat,Offer,1,test,coupe,2005,Unspecified,0,andere,60000,Aug,Other,hyundai,Other,2016-03-10 00:00:00,73430,2016-03-11 07:44:13,2016,2016,March,March,1,7,11,4
2016-03-21 13:47:46,Hyundai_i30_1.4_Coupe_Classic,privat,Offer,11500,test,coupe,2013,manuell,99,i_reihe,30000,Feb,Gasoline,hyundai,No,2016-03-21 00:00:00,82140,2016-04-06 09:45:17,2016,2016,March,March,16,9,3,10
2016-03-29 12:38:16,Hyundai_Coupe_2_7_v6,privat,Offer,6500,test,coupe,2004,manuell,170,andere,125000,Nov,Gasoline,hyundai,No,2016-03-29 00:00:00,71404,2016-04-05 21:44:49,2016,2016,March,March,7,21,12,1
2016-03-14 19:44:51,Hyundai_Coupe__FX___neuer_Tuev,privat,Offer,5600,control,coupe,2009,manuell,143,andere,60000,Jan,Gasoline,hyundai,No,2016-03-14 00:00:00,45356,2016-03-15 14:46:14,2016,2016,March,March,1,14,7,11
2016-03-26 16:55:09,Hyundai_Coupe_2_7_V6,privat,Offer,2900,control,coupe,2002,manuell,170,Other,150000,Jan,Gasoline,hyundai,Other,2016-03-26 00:00:00,26826,2016-04-02 07:47:07,2016,2016,March,March,7,7,14,11
2016-03-22 16:51:16,Hyundai_Coupe_GK_2.0_GLS_LPG,privat,Offer,2500,test,coupe,2005,manuell,143,andere,150000,Feb,Lpg,hyundai,No,2016-03-22 00:00:00,21614,2016-03-26 18:17:59,2016,2016,March,March,4,18,11,10
2016-03-08 19:54:20,Hyundai_Coupe_2.0_GLS,privat,Offer,2750,test,coupe,2002,manuell,136,andere,100000,Apr,Gasoline,hyundai,No,2016-03-08 00:00:00,4329,2016-04-05 15:45:25,2016,2016,March,March,28,15,14,8
2016-03-24 10:37:01,Hyundai_Coupe_2.0_FX,privat,Offer,1000,test,coupe,1999,manuell,139,andere,150000,Nov,Gasoline,hyundai,No,2016-03-24 00:00:00,52080,2016-03-30 11:46:19,2016,2016,March,March,6,11,17,1
2016-03-12 16:51:10,Hyundai_Coupe_FX_1.6,privat,Offer,450,control,coupe,2003,manuell,105,Other,150000,Jun,Gasoline,hyundai,Yes,2016-03-12 00:00:00,67098,2016-04-03 06:49:15,2016,2016,March,March,22,6,13,6
2016-03-24 22:52:00,Hyundai_Coupe_2.0_/_Klima_/_TÜV_/_Schiebedach_/_Alufelgen_/_Leder,privat,Offer,2690,control,coupe,2004,manuell,170,andere,150000,Jun,Gasoline,hyundai,No,2016-03-24 00:00:00,23879,2016-04-04 02:44:59,2016,2016,March,March,11,2,12,6
2016-04-03 18:49:28,Hyundai_Coupe,privat,Offer,3300,control,coupe,2003,manuell,139,andere,90000,Mar,Gasoline,hyundai,No,2016-04-03 00:00:00,59174,2016-04-05 19:18:53,2016,2016,April,April,2,19,13,9
2016-03-27 00:58:18,Hyundai_Coupe_2.7_V6_GLS,privat,Offer,1100,test,coupe,2002,manuell,167,andere,150000,Nov,Gasoline,hyundai,Yes,2016-03-26 00:00:00,47239,2016-04-01 07:47:08,2016,2016,March,March,6,7,14,1
2016-04-04 21:41:49,Hyundai_Coupe_2.7_V6_GLS,privat,Offer,3250,test,coupe,2004,automatik,167,andere,90000,Feb,Gasoline,hyundai,No,2016-04-04 00:00:00,47906,2016-04-04 21:41:49,2016,2016,April,April,0,21,12,10
2016-03-21 10:37:19,Hyundai_Coupe_2.7_V6__Neue_TÜV,privat,Offer,2200,test,coupe,2002,manuell,167,andere,150000,Mar,Gasoline,hyundai,No,2016-03-21 00:00:00,4129,2016-03-25 07:19:35,2016,2016,March,March,4,7,14,9
2016-03-20 10:58:43,Hyundai_coupe_Tausch_moeglich,privat,Offer,1300,control,coupe,1996,manuell,139,andere,125000,Apr,Gasoline,hyundai,No,2016-03-20 00:00:00,4357,2016-03-24 01:46:48,2016,2016,March,March,4,1,20,8
2016-04-03 21:50:24,Hyundai_Veloster_1.6,privat,Offer,14800,test,coupe,2011,manuell,140,andere,100000,Nov,Gasoline,hyundai,No,2016-04-03 00:00:00,22459,2016-04-05 23:15:23,2016,2016,April,April,2,23,5,1
2016-03-22 21:53:45,Sehr_geehrte_Damen_und_Herren__Hallo_Leute_,privat,Offer,5500,control,coupe,2004,manuell,167,andere,90000,Aug,Gasoline,hyundai,No,2016-03-22 00:00:00,76467,2016-03-24 07:15:45,2016,2016,March,March,2,7,12,4
2016-03-13 01:57:41,Hyundai_Veloster_Premium_DSG_PANORAMA__18_Zoll_Teilleder,privat,Offer,13990,control,coupe,2012,automatik,140,andere,30000,Oct,Gasoline,hyundai,No,2016-03-13 00:00:00,36304,2016-04-06 08:44:32,2016,2016,March,March,24,8,4,2
