dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-02 15:43:07,Hyundai_i30cw_1.4_Cl._Sparauto_LPG_Gas__1._Hand_scheckh.,privat,Offer,4950,control,kombi,2009,manuell,109,i_reihe,150000,Sep,Gasoline,hyundai,No,2016-04-02 00:00:00,87439,2016-04-06 14:16:46,2016,2016,April,April,4,14,7,3
2016-04-03 21:43:12,Hyundai_Lantra_UNFALL!!!,privat,Offer,700,test,kombi,1999,manuell,0,andere,70000,Aug,Gasoline,hyundai,Yes,2016-04-03 00:00:00,32278,2016-04-05 22:18:45,2016,2016,April,April,2,22,17,4
2016-03-15 14:39:57,Mini_Van_Transporter_Atos_TÜV_Neu_02_2018,privat,Offer,650,control,kombi,2000,manuell,0,andere,150000,Feb,Other,hyundai,No,2016-03-15 00:00:00,15848,2016-03-16 11:18:05,2016,2016,March,March,1,11,16,10
2016-03-05 20:47:25,Hyundai_Matrix_1.6_GLS_Edition+__Scheckheft_gepflegt_1._Hand,privat,Offer,1900,control,kombi,2004,manuell,103,andere,150000,Nov,Gasoline,hyundai,No,2016-03-05 00:00:00,49090,2016-03-17 19:48:07,2016,2016,March,March,12,19,12,1
2016-03-17 19:53:11,Hyunda_I_30_CW,privat,Offer,7999,control,kombi,2011,manuell,90,i_reihe,80000,Feb,Other,hyundai,No,2016-03-17 00:00:00,46519,2016-03-17 19:53:11,2016,2016,March,March,0,19,5,10
2016-03-16 23:54:22,Hyundai_i30cw_1.4_Avantgarde__Sondermodell_,privat,Offer,9800,test,kombi,2013,manuell,99,i_reihe,30000,Mar,Gasoline,hyundai,Yes,2016-03-16 00:00:00,42799,2016-03-17 07:43:16,2016,2016,March,March,1,7,3,9
2016-03-22 15:47:17,Hyundai_i40_Kombi_mit_Werksgarantie,privat,Offer,12900,control,kombi,2012,manuell,135,i_reihe,50000,Jul,Gasoline,hyundai,No,2016-03-22 00:00:00,33106,2016-03-26 16:47:12,2016,2016,March,March,4,16,4,5
2016-03-24 00:52:58,Auto_zu_verkaufen,privat,Offer,500,test,kombi,1998,manuell,140,Other,20000,Jan,Other,hyundai,Other,2016-03-23 00:00:00,61197,2016-03-27 01:45:05,2016,2016,March,March,4,1,18,11
2016-03-07 14:51:02,Hyundai_i40cw_1.6_Comfort,privat,Offer,12699,control,kombi,2012,manuell,135,i_reihe,50000,Jan,Gasoline,hyundai,No,2016-03-07 00:00:00,67473,2016-03-19 19:20:26,2016,2016,March,March,12,19,4,11
2016-03-30 20:44:51,Hyundai_i30cw_1.6_CRDi_Style,privat,Offer,8000,control,kombi,2011,manuell,90,i_reihe,80000,Jul,Diesel,hyundai,No,2016-03-30 00:00:00,95213,2016-04-07 12:45:59,2016,2016,March,March,8,12,5,5
2016-03-27 14:56:07,Hyundai_i30cw_1.6_Comfort_Klima_Parkdistanzkontrolle,privat,Offer,4390,control,kombi,2008,manuell,126,i_reihe,150000,Sep,Gasoline,hyundai,No,2016-03-27 00:00:00,45770,2016-04-07 11:45:19,2016,2016,March,March,11,11,8,3
2016-03-31 18:38:54,Hyundai_Matrix_1.6l_Benzin__Euro4__133tkm...,privat,Offer,1200,control,kombi,2002,manuell,103,andere,150000,Mar,Gasoline,hyundai,No,2016-03-31 00:00:00,13597,2016-04-06 12:16:15,2016,2016,March,March,6,12,14,9
2016-03-06 09:46:58,Hyundai_i30cw_1.6_CRDi_!_Hand!Klima!,privat,Offer,2990,control,kombi,2008,manuell,116,i_reihe,150000,May,Diesel,hyundai,No,2016-03-06 00:00:00,44579,2016-03-09 13:44:18,2016,2016,March,March,3,13,8,7
2016-03-20 11:06:20,Bastler_Fahrzeug__Hyundai_Landrat_2.0,privat,Offer,250,test,kombi,1997,automatik,140,andere,150000,Jan,Gasoline,hyundai,Other,2016-03-20 00:00:00,60439,2016-04-06 14:45:39,2016,2016,March,March,17,14,19,11
2016-03-15 19:44:25,Hyundai_i30cw_1.6_Classic,privat,Offer,12000,control,kombi,2013,manuell,126,i_reihe,20000,Jun,Gasoline,hyundai,No,2016-03-15 00:00:00,92224,2016-04-06 23:15:28,2016,2016,March,March,22,23,3,6
2016-03-10 23:56:28,Hyundai_I30_CW_Kombi_/_Langstreckenfahrzeug_/_6_Gang_/_Diesel,privat,Offer,6400,test,kombi,2010,manuell,90,i_reihe,150000,Nov,Diesel,hyundai,No,2016-03-10 00:00:00,42477,2016-04-06 03:16:19,2016,2016,March,March,27,3,6,1
2016-03-30 09:47:40,Hyundai_lantra,privat,Offer,500,control,kombi,1999,manuell,115,Other,150000,Apr,Gasoline,hyundai,No,2016-03-30 00:00:00,25524,2016-04-07 00:17:36,2016,2016,March,March,8,0,17,8
2016-03-05 17:36:21,Hyundai_i30cw_1.6_CRDi,privat,Offer,7490,test,kombi,2011,manuell,90,i_reihe,80000,Sep,Diesel,hyundai,No,2016-03-05 00:00:00,28816,2016-03-12 15:45:14,2016,2016,March,March,7,15,5,3
2016-03-05 15:49:40,Hyundai_i30_Classic___Top_gepflegt_in_super_Zustand,privat,Offer,6300,control,kombi,2011,manuell,109,i_reihe,90000,Feb,Gasoline,hyundai,No,2016-02-28 00:00:00,48291,2016-03-06 03:45:59,2016,2016,February,March,7,3,5,10
2016-03-25 21:54:14,Hyundai_I30_CW_1.6_CRDi_Style_Blue_schwarz_110_PS_Kombi,privat,Offer,12200,test,kombi,2013,manuell,110,i_reihe,70000,Sep,Diesel,hyundai,No,2016-03-25 00:00:00,52355,2016-03-29 00:46:05,2016,2016,March,March,4,0,3,3
2016-03-10 16:44:05,Hyundai_i30_1.4__ESP__8_Fach__Aux__USB,privat,Offer,6950,control,kombi,2012,manuell,109,i_reihe,30000,Jan,Gasoline,hyundai,No,2016-03-10 00:00:00,89155,2016-03-14 13:46:44,2016,2016,March,March,4,13,4,11
2016-03-15 12:36:21,Hyundai_i30cw_1.4_CRDi_Advantage,privat,Offer,10400,control,kombi,2013,manuell,90,i_reihe,50000,Sep,Diesel,hyundai,No,2016-03-15 00:00:00,38259,2016-03-29 16:46:28,2016,2016,March,March,14,16,3,3
2016-03-16 23:47:10,Hyundai_i30_CW_Kombi_sehr_gute_Ausstattung_8_Fach_bereift,privat,Offer,5900,test,kombi,2009,manuell,0,i_reihe,150000,Mar,Gasoline,hyundai,No,2016-03-16 00:00:00,17268,2016-04-06 10:16:50,2016,2016,March,March,21,10,7,9
2016-03-10 18:39:53,Hyundai__Santa_Fe,privat,Offer,3450,test,kombi,2004,manuell,145,andere,150000,Sep,Gasoline,hyundai,No,2016-03-10 00:00:00,88239,2016-04-05 21:17:50,2016,2016,March,March,26,21,12,3
2016-03-15 15:59:21,Super__7_sitzer,privat,Offer,850,control,kombi,2002,manuell,113,andere,150000,Jun,Other,hyundai,Other,2016-03-15 00:00:00,28199,2016-03-17 10:46:24,2016,2016,March,March,2,10,14,6
2016-03-31 10:56:48,Hyundai_i30cw_blue_1.6_CRDi_Trend,privat,Offer,10800,control,kombi,2013,manuell,128,i_reihe,80000,Jul,Diesel,hyundai,No,2016-03-31 00:00:00,74821,2016-04-02 06:16:40,2016,2016,March,March,2,6,3,5
