dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-14 12:52:24,Hyundai_Santa_Fe,privat,Offer,4800,test,suv,2004,manuell,145,santa,150000,Nov,Gasoline,hyundai,No,2016-03-14 00:00:00,26188,2016-04-05 12:47:47,2016,2016,March,March,22,12,12,1
2016-04-05 00:54:03,Hyundai_Terracan_2.9_CRDi,privat,Offer,2750,control,suv,2003,manuell,150,andere,150000,Sep,Diesel,hyundai,No,2016-04-04 00:00:00,69214,2016-04-07 09:46:51,2016,2016,April,April,3,9,13,3
2016-03-15 13:06:24,HYUNDIA_TUCSON_2_0_GLS_4x4_Allrad,privat,Offer,3990,control,suv,2004,Unspecified,141,tucson,150000,Nov,Gasoline,hyundai,Other,2016-03-15 00:00:00,35606,2016-03-21 05:17:46,2016,2016,March,March,6,5,12,1
2016-03-23 10:50:31,Hyundai_Santa_Fe_2.2_CRDi_4WD_CPF_Automatik_Premium,privat,Offer,12000,control,suv,2012,automatik,197,santa,125000,Jan,Diesel,hyundai,No,2016-03-23 00:00:00,53545,2016-03-29 03:44:50,2016,2016,March,March,6,3,4,11
2016-03-15 10:54:26,Hyundai_Terracan_Gelaende_Wagen_Motor_ueberholt,privat,Offer,4500,control,suv,2004,manuell,163,andere,150000,Apr,Diesel,hyundai,No,2016-03-15 00:00:00,58119,2016-03-20 04:18:12,2016,2016,March,March,5,4,12,8
2016-03-26 18:54:33,Hyundai_Tucson,privat,Offer,5500,test,suv,2008,manuell,140,tucson,100000,Jun,Gasoline,hyundai,No,2016-03-26 00:00:00,63776,2016-03-26 19:43:04,2016,2016,March,March,0,19,8,6
2016-03-25 20:37:05,"Hyundai_Santa_Fe_CRDI_GLS_2.2_4x4_AHK_""_Auch_Tausch__moeglich_""",privat,Offer,9950,control,suv,2008,manuell,155,santa,125000,Jan,Diesel,hyundai,Other,2016-03-25 00:00:00,26382,2016-03-30 14:45:59,2016,2016,March,March,5,14,8,11
2016-04-01 16:49:09,Hyundai_Tucson_2.0_CRDi_VGT_4WD_GLS,privat,Offer,6490,control,suv,2007,manuell,140,tucson,150000,May,Diesel,hyundai,No,2016-04-01 00:00:00,92660,2016-04-05 12:16:54,2016,2016,April,April,4,12,9,7
2016-03-25 19:49:24,Hyundai_ix55_3.0_V6_CRDi,privat,Offer,13666,test,suv,2009,automatik,239,i_reihe,150000,Oct,Diesel,hyundai,No,2016-03-25 00:00:00,54439,2016-03-25 19:49:24,2016,2016,March,March,0,19,7,2
2016-03-31 18:39:57,Hyundai_ix35_2.0_CRDi_2WD_Comfort,privat,Offer,12999,control,suv,2011,manuell,136,i_reihe,100000,Apr,Diesel,hyundai,No,2016-03-31 00:00:00,45891,2016-04-06 12:16:44,2016,2016,March,March,6,12,5,8
