dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-16 14:54:11,JAGUAR_XJ6_2.7_X350___2006_SCHLACHTFEST_Xenon_Navi_Motor_Getriebe,privat,Offer,1,test,Other,2006,Unspecified,0,andere,5000,Jan,Other,jaguar,Other,2016-03-16 00:00:00,30519,2016-03-20 14:18:25,2016,2016,March,March,4,14,10,11
2016-03-06 23:48:39,Jaguar_xj_81_v12,privat,Offer,2300,control,Other,1995,Unspecified,0,andere,150000,Oct,Gasoline,jaguar,No,2016-03-06 00:00:00,66679,2016-03-10 21:47:25,2016,2016,March,March,4,21,21,2
2016-03-09 18:55:45,Jaguar_mit_Gas_nur_heute,privat,Offer,1690,test,Other,2005,Unspecified,0,x_type,150000,Jul,Lpg,jaguar,Other,2016-03-09 00:00:00,67061,2016-03-10 04:46:49,2016,2016,March,March,1,4,11,5
2016-04-01 18:57:00,Jaguar_XJ_40_Unfaller__Schrott,privat,Offer,50,control,Other,1990,automatik,190,x_type,150000,Jan,Gasoline,jaguar,Yes,2016-04-01 00:00:00,24980,2016-04-01 19:40:55,2016,2016,April,April,0,19,26,11
2016-03-14 21:37:21,Jaguar_xj_40_Daimler_Original_Baujahr_1994,privat,Offer,0,test,Other,1995,automatik,0,Other,5000,Mar,Other,jaguar,No,2016-03-14 00:00:00,12099,2016-03-25 11:45:38,2016,2016,March,March,11,11,21,9
2016-03-16 13:47:44,Jaguar_XJ_40__3_6__Scheunenfund,privat,Offer,950,control,Other,1990,automatik,0,x_type,150000,Jan,Gasoline,jaguar,Other,2016-03-16 00:00:00,35083,2016-04-06 11:15:59,2016,2016,March,March,21,11,26,11
2016-03-18 20:43:43,Oldtimer_Jaguar_XJ_12_Baujahr_1974,privat,Offer,0,test,Other,1980,Unspecified,0,x_type,150000,Jan,Other,jaguar,Other,2016-03-18 00:00:00,31180,2016-03-21 07:47:31,2016,2016,March,March,3,7,36,11
2016-03-18 15:46:20,Jaguar_S__Type_3.0_V6,privat,Offer,2700,control,Other,2005,manuell,238,Other,150000,May,Other,jaguar,Other,2016-03-18 00:00:00,77955,2016-04-05 22:17:41,2016,2016,March,March,18,22,11,7
2016-03-05 16:53:04,Jaguar_S_Type_3.0i_V6_R_Line,privat,Offer,3200,control,Other,2000,automatik,238,s_type,150000,May,Other,jaguar,No,2016-03-05 00:00:00,66663,2016-04-07 12:17:28,2016,2016,March,March,33,12,16,7
2016-03-10 17:46:48,Jaguar__x300_an_Bastler_wegfahrsprre_defekt,privat,Offer,700,control,Other,2000,automatik,0,x_type,150000,Jan,Gasoline,jaguar,Yes,2016-03-10 00:00:00,31162,2016-03-24 23:46:30,2016,2016,March,March,14,23,16,11
2016-04-05 01:54:43,Vermietung_Luxus_Autos,privat,Offer,70,control,Other,2015,Unspecified,0,andere,10000,Jan,Other,jaguar,Other,2016-04-04 00:00:00,22767,2016-04-05 05:51:22,2016,2016,April,April,1,5,1,11
2016-03-25 10:48:15,Jaguar_XJ_8_3.2_Sport_RHD,privat,Offer,650,test,Other,2000,Unspecified,0,andere,125000,Jan,Other,jaguar,Yes,2016-03-25 00:00:00,54441,2016-04-06 10:44:46,2016,2016,March,March,12,10,16,11
2016-03-07 19:41:32,Ford_Mondeo,privat,Offer,200,control,Other,2016,automatik,0,andere,5000,Jan,Other,jaguar,Yes,2016-03-07 00:00:00,46049,2016-04-07 09:45:16,2016,2016,March,March,31,9,0,11
2016-03-09 13:54:42,Jaguar_X_Type_ex.2_0D___RHD___Tausch_moeglich___zum_ausschlachten,privat,Offer,888,control,Other,2005,Unspecified,0,x_type,150000,Sep,Other,jaguar,Other,2016-03-09 00:00:00,29640,2016-03-12 12:45:16,2016,2016,March,March,3,12,11,3
2016-03-06 00:58:25,Jaguar_E_Type_Karosse,privat,Offer,0,control,Other,1970,Unspecified,0,andere,5000,Jan,Other,jaguar,Other,2016-03-05 00:00:00,7924,2016-03-06 06:47:18,2016,2016,March,March,1,6,46,11
2016-03-16 19:53:23,Jaguar_X_type,privat,Offer,2199,test,Other,2002,manuell,196,x_type,150000,Apr,Other,jaguar,No,2016-03-16 00:00:00,54411,2016-04-07 05:45:50,2016,2016,March,March,22,5,14,8
