dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-01 18:48:01,Jaguar_XK8_Cabrio,privat,Offer,16500,control,cabrio,1998,automatik,285,Other,80000,Jun,Gasoline,jaguar,Other,2016-04-01 00:00:00,78054,2016-04-03 15:45:57,2016,2016,April,April,2,15,18,6
2016-03-30 19:38:17,Jaguar_XJSC_V12_Automatik,privat,Offer,9850,test,cabrio,1989,Unspecified,0,andere,150000,Jul,Gasoline,jaguar,No,2016-03-30 00:00:00,26903,2016-03-30 19:38:17,2016,2016,March,March,0,19,27,5
2016-03-20 20:40:51,Jaguar_XK8_Cabriolet,privat,Offer,17900,test,cabrio,2001,automatik,284,andere,70000,Jul,Gasoline,jaguar,No,2016-03-20 00:00:00,4416,2016-04-03 03:49:28,2016,2016,March,March,14,3,15,5
2016-03-25 18:52:28,Jaguar_XJS_4.0_Unfallfrei,privat,Offer,19500,test,cabrio,1996,automatik,232,andere,100000,Apr,Gasoline,jaguar,No,2016-03-25 00:00:00,83700,2016-04-07 00:46:04,2016,2016,March,March,13,0,20,8
2016-03-12 02:36:21,Jaguar_XK8_Cabriolet,privat,Offer,14999,control,cabrio,1998,automatik,284,andere,150000,Jul,Gasoline,jaguar,No,2016-03-12 00:00:00,19288,2016-03-14 08:48:05,2016,2016,March,March,2,8,18,5
2016-03-20 23:56:09,Jaguar_XK8_Cabriolet,privat,Offer,14200,control,cabrio,1999,automatik,284,andere,125000,Jul,Gasoline,jaguar,No,2016-03-20 00:00:00,40625,2016-04-05 22:45:45,2016,2016,March,March,16,22,17,5
2016-03-16 13:50:32,Jaguar_XK8_Cabriolet,privat,Offer,5500,control,cabrio,1997,automatik,284,andere,150000,Jan,Gasoline,jaguar,No,2016-03-16 00:00:00,69198,2016-04-06 11:16:13,2016,2016,March,March,21,11,19,11
2016-03-26 18:39:21,Jaguar_XK8_Cabriolet,privat,Offer,11900,test,cabrio,1997,automatik,284,andere,150000,Jun,Gasoline,jaguar,No,2016-03-26 00:00:00,27612,2016-04-06 07:44:49,2016,2016,March,March,11,7,19,6
2016-03-28 17:38:33,Jaguar_XK8_Cabriolet,privat,Offer,12900,test,cabrio,1999,automatik,284,andere,150000,Mar,Gasoline,jaguar,No,2016-03-28 00:00:00,24103,2016-04-06 23:15:46,2016,2016,March,March,9,23,17,9
2016-04-03 20:44:46,Jaguar_XK8_Cabriolet,privat,Offer,15000,test,cabrio,2000,automatik,284,andere,70000,Oct,Gasoline,jaguar,No,2016-04-03 00:00:00,41065,2016-04-05 21:17:39,2016,2016,April,April,2,21,16,2
2016-03-22 18:41:29,Jaguar_XJS_V12_Automatik_Yongtimer,privat,Offer,14300,control,cabrio,1989,automatik,275,andere,40000,Jul,Gasoline,jaguar,No,2016-03-22 00:00:00,45884,2016-04-06 10:16:19,2016,2016,March,March,15,10,27,5
2016-03-06 08:37:19,JAGUAR_XK_CABRIO_TOP_ZUSTAND,privat,Offer,19500,test,cabrio,2003,automatik,285,andere,150000,Nov,Gasoline,jaguar,Other,2016-03-06 00:00:00,33813,2016-04-06 01:17:01,2016,2016,March,March,31,1,13,1
2016-03-22 17:48:45,Jaguar_XJS_V12_Automatik_Yongtimer,privat,Offer,14300,control,cabrio,1989,automatik,275,andere,40000,Jul,Gasoline,jaguar,No,2016-03-22 00:00:00,45884,2016-04-06 09:17:02,2016,2016,March,March,15,9,27,5
2016-03-05 18:30:50,Jaguar_XK8_Cabriolet,privat,Offer,19900,test,cabrio,1998,automatik,284,andere,50000,Apr,Gasoline,jaguar,No,2016-03-05 00:00:00,63303,2016-03-06 19:33:01,2016,2016,March,March,1,19,18,8
2016-03-19 17:57:46,Jaguar_XK,privat,Offer,19900,control,cabrio,2003,automatik,298,andere,150000,Nov,Gasoline,jaguar,No,2016-03-19 00:00:00,33813,2016-04-07 04:45:52,2016,2016,March,March,19,4,13,1
