dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-17 01:00:12,Jaguar_Liebhaber_XKR_CATS_84200km_rostfrei_in_emeraldgreen,privat,Offer,22000,test,coupe,2003,automatik,396,andere,90000,Nov,Gasoline,jaguar,No,2016-03-17 00:00:00,96358,2016-04-06 02:45:35,2016,2016,March,March,20,2,13,1
2016-03-30 15:47:38,Jaguar_XK_4.2_Coupe,privat,Offer,13800,test,coupe,2007,automatik,298,andere,40000,Aug,Gasoline,jaguar,No,2016-03-30 00:00:00,27568,2016-03-30 15:47:38,2016,2016,March,March,0,15,9,4
2016-03-31 23:52:47,Jaguar_XJS_V12_Automatik,privat,Offer,18900,control,coupe,1989,automatik,275,andere,50000,Jun,Gasoline,jaguar,No,2016-03-31 00:00:00,53809,2016-04-07 03:17:15,2016,2016,March,March,7,3,27,6
2016-03-19 23:52:27,Jaguar_XKR_Coupe,privat,Offer,14999,control,coupe,2001,automatik,363,andere,80000,Nov,Gasoline,jaguar,No,2016-03-19 00:00:00,74379,2016-04-06 01:17:36,2016,2016,March,March,18,1,15,1
2016-03-21 14:51:03,Jaguar_XK_8_Coupé_Klassiker,privat,Offer,12500,control,coupe,2000,automatik,284,andere,150000,Oct,Gasoline,jaguar,Other,2016-03-21 00:00:00,79312,2016-04-06 12:15:35,2016,2016,March,March,16,12,16,2
2016-03-24 12:56:20,Jaguar_XK8_Coupe,privat,Offer,12500,test,coupe,2000,automatik,284,andere,150000,Oct,Gasoline,jaguar,No,2016-03-24 00:00:00,79312,2016-04-07 03:46:45,2016,2016,March,March,14,3,16,2
2016-03-27 18:38:52,Jaguar_JAGUAR_XKR_Coupe_LEDER_NAVI_TOP_ZUSTAND,privat,Offer,12500,control,coupe,2003,automatik,363,andere,150000,Jun,Gasoline,jaguar,No,2016-03-27 00:00:00,76199,2016-04-05 14:47:46,2016,2016,March,March,9,14,13,6
2016-03-28 22:50:17,Jaguar_XJS_HE_Automatik,privat,Offer,16000,control,coupe,1983,automatik,294,andere,90000,Nov,Gasoline,jaguar,No,2016-03-28 00:00:00,13189,2016-04-07 07:16:50,2016,2016,March,March,10,7,33,1
2016-03-15 15:51:11,Jaguar_XKR_Coupe_echter_Sammlerzustand_Motor_Überholt,privat,Offer,15450,control,coupe,1999,automatik,363,andere,150000,Jun,Gasoline,jaguar,No,2016-03-15 00:00:00,83209,2016-04-06 08:16:06,2016,2016,March,March,22,8,17,6
2016-03-28 19:44:50,Jaguar_XKR_Coupe,privat,Offer,19450,control,coupe,2000,automatik,363,andere,100000,Oct,Gasoline,jaguar,No,2016-03-28 00:00:00,57258,2016-04-07 01:46:46,2016,2016,March,March,10,1,16,2
2016-03-10 16:39:31,Jaguar_X8_Coupè,privat,Offer,12500,control,coupe,2000,automatik,284,andere,100000,Nov,Gasoline,jaguar,No,2016-03-10 00:00:00,58675,2016-04-05 14:44:26,2016,2016,March,March,26,14,16,1
2016-03-07 14:57:52,Jaguar_XK8_Coupe,privat,Offer,21900,control,coupe,2004,automatik,298,andere,90000,Jun,Gasoline,jaguar,No,2016-03-07 00:00:00,6217,2016-04-07 10:46:22,2016,2016,March,March,31,10,12,6
2016-03-10 15:57:58,Jaguar_XK8_Coupe,privat,Offer,11500,test,coupe,1998,automatik,284,andere,125000,Apr,Gasoline,jaguar,No,2016-03-10 00:00:00,21409,2016-03-12 05:46:23,2016,2016,March,March,2,5,18,8
2016-03-18 08:48:48,Jaguar_xjs_v12_H.E_5.3_bj_1983,privat,Offer,0,test,coupe,1983,automatik,300,Other,5000,Jan,Gasoline,jaguar,No,2016-03-18 00:00:00,34593,2016-03-22 10:44:45,2016,2016,March,March,4,10,33,11
2016-04-04 23:38:53,Jaguar_E_V_12,privat,Offer,6000,control,coupe,1971,automatik,0,andere,40000,Sep,Gasoline,jaguar,No,2016-04-04 00:00:00,54584,2016-04-05 02:42:11,2016,2016,April,April,1,2,45,3
2016-04-04 14:49:52,Jaguar_XK8_Coupe_4.2,privat,Offer,6900,test,coupe,2003,automatik,298,andere,150000,Oct,Gasoline,jaguar,No,2016-04-04 00:00:00,28876,2016-04-06 16:17:24,2016,2016,April,April,2,16,13,2
2016-03-17 11:55:25,Jaguar_Jaguar_Liebhaber_XKR_+_CATS_+_84350km_rostfrei,privat,Offer,22000,control,coupe,2003,automatik,396,andere,90000,Nov,Gasoline,jaguar,No,2016-03-17 00:00:00,96358,2016-04-06 14:45:47,2016,2016,March,March,20,14,13,1
2016-03-31 16:42:00,Jaguar_XK8_Coupe,privat,Offer,6000,control,coupe,1996,automatik,284,andere,150000,Nov,Gasoline,jaguar,No,2016-03-31 00:00:00,50858,2016-04-06 09:44:29,2016,2016,March,March,6,9,20,1
2016-03-29 20:48:49,Jaguar_XK_4.2_Coupe,privat,Offer,19777,test,coupe,2006,automatik,298,andere,90000,Sep,Gasoline,jaguar,No,2016-03-29 00:00:00,54311,2016-03-29 20:48:49,2016,2016,March,March,0,20,10,3
2016-03-15 16:44:04,Jaguar_XK_4.2_Coupe,privat,Offer,23900,control,coupe,2006,automatik,298,andere,125000,May,Gasoline,jaguar,No,2016-03-15 00:00:00,84387,2016-03-21 14:17:06,2016,2016,March,March,6,14,10,7
