dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-31 12:51:01,Jaguar_X_Type_Estate_2.2_Diesel_Aut._Executive_voll_!!!,privat,Offer,9999,test,kombi,2008,automatik,145,x_type,150000,Apr,Diesel,jaguar,No,2016-03-31 00:00:00,54294,2016-04-06 05:17:55,2016,2016,March,March,6,5,8,8
2016-03-11 19:06:36,Jaguar_X_Type_Estate_2.0_Diesel_Executive,privat,Offer,5600,test,kombi,2005,manuell,131,x_type,150000,Jun,Diesel,jaguar,No,2016-03-11 00:00:00,55124,2016-03-15 17:45:36,2016,2016,March,March,4,17,11,6
2016-03-21 19:54:41,Jaguar_X_Type_Estate_2.0_Diesel_Sport,privat,Offer,3499,test,kombi,2004,manuell,131,x_type,150000,Jul,Diesel,jaguar,No,2016-03-21 00:00:00,29614,2016-04-06 22:46:46,2016,2016,March,March,16,22,12,5
2016-03-18 16:49:16,Jaguar_X_Type_2.0D,privat,Offer,2550,test,kombi,2004,manuell,131,x_type,150000,Jun,Diesel,jaguar,Other,2016-03-18 00:00:00,21493,2016-03-18 16:49:16,2016,2016,March,March,0,16,12,6
2016-03-17 22:53:50,Jaguar_X_Type_2.0_D_131_PS,privat,Offer,2990,test,kombi,2004,manuell,131,x_type,150000,Jun,Diesel,jaguar,Other,2016-03-17 00:00:00,21493,2016-03-18 04:42:27,2016,2016,March,March,1,4,12,6
2016-03-16 17:54:28,Jaguar_X_Type_Estate_2.2_Diesel_DPF_XENON_LEDER_8_x_ALU,privat,Offer,7750,control,kombi,2007,manuell,145,x_type,150000,Nov,Diesel,jaguar,No,2016-03-16 00:00:00,63743,2016-03-23 02:18:19,2016,2016,March,March,7,2,9,1
2016-03-20 18:39:46,Jaguar_ESTATE._Mit_neuer_LPG_Gasanlage.4x4_ALLRAD._Automatic.NAVI,privat,Offer,5990,test,kombi,2006,automatik,193,x_type,150000,Nov,Lpg,jaguar,No,2016-03-20 00:00:00,83093,2016-04-07 02:15:40,2016,2016,March,March,18,2,10,1
2016-03-09 17:06:18,Jaguar_X_Type_Estate_2.0D_CF1_mit_defektem_Klimakompressor,privat,Offer,2700,test,kombi,2004,manuell,130,x_type,150000,Sep,Diesel,jaguar,Yes,2016-03-09 00:00:00,56218,2016-04-07 06:45:15,2016,2016,March,March,29,6,12,3
2016-04-03 11:53:56,Jaguar_X_Type_Estate_2.5_V6_4x4_Aut._Executive,privat,Offer,5555,control,kombi,2004,automatik,196,x_type,150000,Nov,Gasoline,jaguar,No,2016-04-03 00:00:00,35435,2016-04-06 17:45:13,2016,2016,April,April,3,17,12,1
2016-04-05 00:57:16,Jaguar_X_Type_Estate_2.0_Diesel,privat,Offer,5500,control,kombi,2004,manuell,131,x_type,150000,Aug,Diesel,jaguar,No,2016-04-05 00:00:00,46049,2016-04-07 11:15:31,2016,2016,April,April,2,11,12,4
2016-03-24 09:36:19,JAGUAR_X_TYPE_AUTOMATIK_LEDER_beige_NAVI_KLIMA_2_5_Estate_4x4_TOP,privat,Offer,4999,control,kombi,2004,automatik,196,x_type,150000,Jul,Gasoline,jaguar,Other,2016-03-24 00:00:00,99947,2016-03-27 05:15:50,2016,2016,March,March,3,5,12,5
2016-03-08 12:38:41,Jaguar_Traum_Kombi,privat,Offer,8950,test,kombi,2009,automatik,145,x_type,150000,Mar,Diesel,jaguar,No,2016-03-08 00:00:00,53881,2016-04-07 13:17:40,2016,2016,March,March,30,13,7,9
2016-03-24 11:49:46,Jaguar_X_Type_Estate_2.5_V6_4x4_Aut._Executive_mit_LPG,privat,Offer,2999,test,kombi,2005,automatik,196,x_type,150000,Apr,Gasoline,jaguar,No,2016-03-24 00:00:00,74523,2016-04-03 02:15:49,2016,2016,March,March,10,2,11,8
2016-03-28 01:57:03,Jaguar_X_Type_Estate_3.0_V6_4x4_Aut._Executive,privat,Offer,4990,test,kombi,2004,automatik,230,x_type,150000,Nov,Gasoline,jaguar,No,2016-03-28 00:00:00,28870,2016-04-06 10:17:57,2016,2016,March,March,9,10,12,1
2016-03-19 14:44:17,Jaguar_X_Type_2.0_d_131_PS,privat,Offer,2490,test,kombi,2004,manuell,131,x_type,150000,Jul,Diesel,jaguar,Other,2016-03-19 00:00:00,21493,2016-03-19 14:44:17,2016,2016,March,March,0,14,12,5
2016-04-03 21:55:38,Jaguar_X_Type_Estate_3.0_V6_4x4_Sport,privat,Offer,6900,test,kombi,2004,manuell,230,x_type,150000,May,Gasoline,jaguar,No,2016-04-03 00:00:00,66780,2016-04-05 23:44:50,2016,2016,April,April,2,23,12,7
2016-03-24 11:49:54,Jaguar_X_Type_Estate__4x4_Executive__mit_LPG_Gasanlage_Tausch,privat,Offer,2999,test,kombi,2005,automatik,196,x_type,150000,Apr,Gasoline,jaguar,No,2016-03-24 00:00:00,74523,2016-04-03 11:16:03,2016,2016,March,March,10,11,11,8
2016-03-17 22:53:34,Jaguar_X_Type_Estate_2.0_Diesel,privat,Offer,2990,test,kombi,2004,manuell,131,x_type,150000,Jul,Diesel,jaguar,No,2016-03-17 00:00:00,21493,2016-03-18 04:42:59,2016,2016,March,March,1,4,12,5
2016-03-07 20:50:26,Jaguar_X_Type_Estate_2.0_Diesel_Executive_Leder_Klima,privat,Offer,3990,test,kombi,2005,manuell,131,x_type,150000,Apr,Diesel,jaguar,No,2016-03-07 00:00:00,82194,2016-03-17 03:16:51,2016,2016,March,March,10,3,11,8
2016-03-09 17:44:24,Jaguar_X_Type_Estate_2.0D_CF1_fuer_Bastler_mit_Vollausstattung,privat,Offer,2700,test,kombi,2004,manuell,130,x_type,150000,Sep,Diesel,jaguar,Yes,2016-03-09 00:00:00,56218,2016-04-07 08:16:59,2016,2016,March,March,29,8,12,3
2016-03-11 12:51:44,Jaguar_X_Type_Estate____4x4_Executive__mit_LPG_Gasanlage,privat,Offer,2999,test,kombi,2005,automatik,196,x_type,150000,Apr,Lpg,jaguar,No,2016-03-11 00:00:00,74523,2016-04-03 07:53:59,2016,2016,March,March,23,7,11,8
2016-03-12 20:37:08,Jaguar_X_Type_Estate_2.2_Diesel_Classic,privat,Offer,6700,test,kombi,2007,manuell,145,x_type,150000,Nov,Diesel,jaguar,No,2016-03-12 00:00:00,74842,2016-03-12 21:39:37,2016,2016,March,March,0,21,9,1
2016-03-20 18:54:59,Jaguar_X_Type_Estate_2.5_V6_4x4_Aut._Executive_LPG__GAS,privat,Offer,5900,test,kombi,2006,automatik,196,x_type,150000,Nov,Gasoline,jaguar,No,2016-03-20 00:00:00,83093,2016-04-07 02:45:30,2016,2016,March,March,18,2,10,1
2016-03-31 19:06:37,Jaguar_Jaguar_X_Type_Estate_2.0D/Bastler_mit_Vollaust.,privat,Offer,2999,control,kombi,2004,manuell,131,x_type,150000,Sep,Diesel,jaguar,Yes,2016-03-31 00:00:00,56218,2016-04-06 12:16:44,2016,2016,March,March,6,12,12,3
2016-03-26 12:36:19,Jaguar_X_Type_Estate_2.2_Diesel_Aut._Classic,privat,Offer,9950,control,kombi,2008,automatik,145,x_type,125000,Mar,Diesel,jaguar,No,2016-03-26 00:00:00,95032,2016-04-05 23:46:43,2016,2016,March,March,10,23,8,9
2016-04-03 17:54:31,Jaguar_X_Type_Estate_2.5_V6_4x4_Autom.NAVI_LEDER_Beige,privat,Offer,4999,test,kombi,2004,automatik,196,x_type,150000,Jul,Gasoline,jaguar,No,2016-04-03 00:00:00,99867,2016-04-03 17:54:31,2016,2016,April,April,0,17,12,5
2016-03-27 22:51:32,Jaguar_y_Type_Estate_2_0_Diesel_mit_gruener_Plakette,privat,Offer,5500,test,kombi,2004,manuell,130,x_type,150000,Aug,Diesel,jaguar,Other,2016-03-27 00:00:00,46539,2016-04-06 00:15:19,2016,2016,March,March,10,0,12,4
2016-04-02 17:38:15,Jaguar_X_Type_2.0_Diesel_Executive_Leder_Gr.Plak.DPF,privat,Offer,3300,control,kombi,2005,manuell,131,x_type,150000,Apr,Diesel,jaguar,No,2016-04-02 00:00:00,82178,2016-04-06 16:45:55,2016,2016,April,April,4,16,11,8
2016-04-03 18:54:58,gepflegter_jaguar_Kombi.,privat,Offer,5555,control,kombi,2004,automatik,0,x_type,150000,Nov,Gasoline,jaguar,No,2016-04-03 00:00:00,35435,2016-04-07 07:44:41,2016,2016,April,April,4,7,12,1
2016-03-25 17:44:12,Jaguar_X_Type_Estate_3.0_V6_4x4_Executive,privat,Offer,6900,test,kombi,2005,manuell,230,x_type,150000,Nov,Gasoline,jaguar,No,2016-03-25 00:00:00,76316,2016-04-01 01:46:19,2016,2016,March,March,7,1,11,1
