dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-25 19:45:52,Kia_Carnival,privat,Offer,750,test,Other,2016,manuell,144,carnival,150000,Jun,Other,kia,Other,2016-03-25 00:00:00,24852,2016-03-25 19:45:52,2016,2016,March,March,0,19,0,6
2016-04-03 21:43:06,Kia_Carnival_Diesel,privat,Offer,900,test,Other,2005,manuell,0,carnival,150000,Jun,Other,kia,Other,2016-04-03 00:00:00,59425,2016-04-05 22:18:44,2016,2016,April,April,2,22,11,6
2016-03-09 18:44:10,KIA_CARNIVAL_2.9_MIT_TÜV_6_SITZER_AUCH_TAUSCH,privat,Offer,900,test,Other,2016,manuell,0,carnival,150000,Apr,Diesel,kia,Other,2016-03-09 00:00:00,26919,2016-03-10 14:45:40,2016,2016,March,March,1,14,0,8
2016-03-10 22:37:37,Kia_Picanto!!!,privat,Offer,2500,control,Other,2007,manuell,0,picanto,125000,Jan,Gasoline,kia,No,2016-03-10 00:00:00,93413,2016-03-23 11:48:41,2016,2016,March,March,13,11,9,11
2016-03-22 13:39:12,Kia_Picanto_8_fach_bereift,privat,Offer,2900,control,Other,2005,manuell,0,picanto,100000,Jul,Gasoline,kia,No,2016-03-22 00:00:00,42579,2016-04-06 02:16:07,2016,2016,March,March,15,2,11,5
2016-03-12 16:38:54,Kia_Rio_Sport_LS,privat,Offer,1499,control,Other,2005,Unspecified,0,rio,90000,Jan,Other,kia,Other,2016-03-12 00:00:00,41334,2016-03-12 16:38:54,2016,2016,March,March,0,16,11,11
2016-03-09 14:44:24,Kia_carnival_2_9crdi,privat,Offer,950,test,Other,2006,automatik,0,carnival,150000,Jan,Other,kia,Yes,2016-03-09 00:00:00,37281,2016-04-04 07:49:15,2016,2016,March,March,26,7,10,11
2016-03-30 15:45:38,Kia_Cerato_2.0_//_Rentnerfahrzeug,privat,Offer,3333,test,Other,2016,manuell,143,Other,60000,Jun,Other,kia,No,2016-03-30 00:00:00,59494,2016-04-07 06:16:35,2016,2016,March,March,8,6,0,6
2016-03-21 18:53:37,Suche_Reparatur_Ausbeulen_Fahrertuer_Kia_Ceed,privat,Offer,0,test,Other,2011,Unspecified,0,ceed,30000,Jan,Other,kia,Other,2016-03-21 00:00:00,10247,2016-04-06 21:16:43,2016,2016,March,March,16,21,5,11
2016-03-18 17:48:09,Gepflegter_kia_carnival_zu_verkaufen_mit_lpg_Anlage,privat,Offer,600,test,Other,2016,manuell,0,carnival,150000,Jan,Other,kia,Yes,2016-03-18 00:00:00,26389,2016-03-20 05:45:25,2016,2016,March,March,2,5,0,11
2016-03-22 17:56:50,Verkaufe_Kia_Sefia,privat,Offer,100,control,Other,1995,Unspecified,0,andere,150000,Jan,Other,kia,Other,2016-03-22 00:00:00,99734,2016-04-06 10:16:16,2016,2016,March,March,15,10,21,11
2016-04-04 11:57:09,Kia_clarus_2_0,privat,Offer,450,control,Other,2000,manuell,0,andere,125000,Sep,Gasoline,kia,No,2016-04-04 00:00:00,27383,2016-04-06 13:15:24,2016,2016,April,April,2,13,16,3
2016-03-09 16:36:21,Kia_Carnival_mit_Sonderausstattung,privat,Offer,850,test,Other,2005,automatik,123,carnival,150000,Jan,Other,kia,No,2016-03-09 00:00:00,19273,2016-03-16 19:21:03,2016,2016,March,March,7,19,11,11
2016-03-30 20:51:17,Kia_Rio_Zum_schlachten_oder_Export,privat,Offer,200,control,Other,2000,Unspecified,0,rio,150000,Jan,Gasoline,kia,Other,2016-03-30 00:00:00,39539,2016-04-07 13:18:04,2016,2016,March,March,8,13,16,11
2016-03-20 19:37:21,Kia_shuma_Limousine,privat,Offer,400,test,Other,2016,manuell,88,andere,150000,Mar,Gasoline,kia,Other,2016-03-20 00:00:00,21073,2016-04-07 03:17:51,2016,2016,March,March,18,3,0,9
2016-03-17 10:49:23,Kai_carnival_7_sitzen,privat,Offer,600,test,Other,2016,Unspecified,0,carnival,150000,May,Diesel,kia,Yes,2016-03-17 00:00:00,6217,2016-03-19 10:15:49,2016,2016,March,March,2,10,0,7
2016-04-04 17:58:17,Sehr_gepflegtes_Familienauto,privat,Offer,1250,test,Other,2016,manuell,144,carnival,150000,Jul,Other,kia,No,2016-04-04 00:00:00,32427,2016-04-06 19:48:48,2016,2016,April,April,2,19,0,5
2016-03-29 13:45:24,Ersatzteile_oder_komplet_kauf,privat,Offer,600,control,Other,2016,manuell,65,picanto,150000,Jan,Gasoline,kia,No,2016-03-29 00:00:00,17179,2016-03-29 13:45:24,2016,2016,March,March,0,13,0,11
2016-03-15 13:36:35,Kia_Rio_mit_TÜV,privat,Offer,600,control,Other,2005,Unspecified,0,rio,125000,Jun,Gasoline,kia,Other,2016-03-15 00:00:00,15711,2016-03-15 13:36:35,2016,2016,March,March,0,13,11,6
2016-03-26 14:38:12,VW_Opel__Kia__Mazda_Ford__BMW__LPG_Gasanlage_TÜV_Alufelgen,privat,Offer,1100,control,Other,2005,Unspecified,0,Other,5000,Jan,Other,kia,Other,2016-03-26 00:00:00,12529,2016-04-06 02:17:03,2016,2016,March,March,11,2,11,11
2016-03-20 12:48:07,Kia_carnival,privat,Offer,900,test,Other,2016,manuell,144,carnival,150000,Jun,Diesel,kia,No,2016-03-20 00:00:00,24852,2016-03-25 12:15:27,2016,2016,March,March,5,12,0,6
2016-03-09 11:53:14,Automatik_klima_TÜV_orig.__74000_km_rentnerauto_top_gepflegt,privat,Offer,950,test,Other,2016,automatik,0,andere,80000,Oct,Gasoline,kia,No,2016-03-09 00:00:00,10585,2016-03-10 06:46:32,2016,2016,March,March,1,6,0,2
2016-03-13 21:46:31,Kia_Carnival_2_9_CRDI_EX__7_Sitzer,privat,Offer,1299,test,Other,2016,automatik,144,carnival,150000,Oct,Other,kia,No,2016-03-13 00:00:00,33602,2016-03-24 07:47:45,2016,2016,March,March,11,7,0,2
2016-03-16 23:57:27,Kia_Carnival,privat,Offer,3200,test,Other,2016,manuell,144,carnival,150000,May,Diesel,kia,No,2016-03-16 00:00:00,44805,2016-03-22 13:48:38,2016,2016,March,March,6,13,0,7
2016-03-14 16:41:05,Kia_Pride__ohne_Tuev_an_Bastler__fahrbereit,privat,Offer,100,test,Other,1995,manuell,54,Other,150000,Nov,Other,kia,Yes,2016-03-14 00:00:00,27711,2016-03-18 03:45:16,2016,2016,March,March,4,3,21,1
2016-03-24 22:49:38,Kia_Rio_LS,privat,Offer,0,control,Other,2005,Unspecified,0,rio,150000,Jan,Other,kia,Other,2016-03-24 00:00:00,39164,2016-04-05 21:48:05,2016,2016,March,March,12,21,11,11
2016-03-12 16:55:16,Kia_rio_1_6_Benzin_137000_gefahren,privat,Offer,2700,control,Other,2016,manuell,112,rio,150000,Oct,Gasoline,kia,Other,2016-03-12 00:00:00,33178,2016-04-07 07:44:19,2016,2016,March,March,26,7,0,2
2016-04-03 14:40:55,Kia_Carnival_Diesel_2_9_ltr_mit_Lenkgetriebeschaden.,privat,Offer,1000,test,Other,2016,automatik,144,carnival,150000,Sep,Other,kia,Yes,2016-04-03 00:00:00,29525,2016-04-03 14:40:55,2016,2016,April,April,0,14,0,3
2016-03-08 11:39:17,Letzte_Preis,privat,Offer,1100,control,Other,2004,manuell,82,rio,150000,Jan,Other,kia,Other,2016-03-08 00:00:00,45147,2016-03-10 13:17:09,2016,2016,March,March,2,13,12,11
2016-03-27 10:52:42,Kai_Carrens_CRDI_EX,privat,Offer,750,control,Other,2005,manuell,113,Other,150000,Jun,Diesel,kia,No,2016-03-27 00:00:00,15537,2016-04-07 06:44:32,2016,2016,March,March,11,6,11,6
2016-03-08 20:45:33,Auto_Kia_Carens,privat,Offer,250,control,Other,2000,Unspecified,0,Other,150000,Jan,Other,kia,Other,2016-03-08 00:00:00,85301,2016-03-11 05:45:26,2016,2016,March,March,3,5,16,11
