dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-23 14:53:08,Kia_Carnival_CRDi_LX,privat,Offer,1400,test,bus,2004,manuell,144,carnival,150000,Jan,Diesel,kia,No,2016-03-23 00:00:00,32457,2016-03-24 23:15:59,2016,2016,March,March,1,23,12,11
2016-03-11 13:45:27,Kia_Carens_CRDi_EX,privat,Offer,1250,test,bus,2004,manuell,113,andere,150000,Oct,Diesel,kia,No,2016-03-11 00:00:00,83483,2016-03-11 13:45:27,2016,2016,March,March,0,13,12,2
2016-03-24 15:58:17,Kia_Carens_1.8_EX,privat,Offer,1860,test,bus,2003,manuell,126,andere,125000,Jan,Gasoline,kia,No,2016-03-24 00:00:00,8112,2016-04-07 08:45:08,2016,2016,March,March,14,8,13,11
2016-03-11 10:50:25,Van_klein_Bus,privat,Offer,690,test,bus,2002,manuell,144,carnival,150000,Nov,Diesel,kia,Yes,2016-03-11 00:00:00,33729,2016-03-12 14:45:11,2016,2016,March,March,1,14,14,1
2016-03-18 11:45:41,Kia_Carens_2.0_CVVT_Aut._EX_lueckenloses_Scheckheft,privat,Offer,7490,control,bus,2009,automatik,144,andere,100000,Nov,Lpg,kia,No,2016-03-18 00:00:00,49685,2016-04-05 22:16:31,2016,2016,March,March,18,22,7,1
2016-03-26 11:47:01,Kia_Carens_CRDI__EX_mit_gruener_Plakette,privat,Offer,3850,control,bus,2006,manuell,113,andere,150000,Mar,Diesel,kia,No,2016-03-26 00:00:00,14558,2016-03-27 23:46:17,2016,2016,March,March,1,23,10,9
2016-03-24 21:55:18,Kia_Carnival_II_Gruene_Plakette_Voll_Leder_7Sitze_AHK,privat,Offer,2800,test,bus,2006,manuell,144,carnival,150000,Sep,Diesel,kia,No,2016-03-24 00:00:00,6108,2016-03-24 21:55:18,2016,2016,March,March,0,21,10,3
2016-04-05 11:38:40,Kia_Carnival_CRDi_EX,privat,Offer,1500,test,bus,2004,manuell,144,carnival,150000,Aug,Diesel,kia,No,2016-04-05 00:00:00,94339,2016-04-05 11:38:40,2016,2016,April,April,0,11,12,4
2016-04-05 12:50:00,Kia_Carnival_CRDi_Aut._Skyline_AHK_abnehmbar,privat,Offer,2650,test,bus,2005,automatik,144,carnival,150000,Mar,Diesel,kia,No,2016-04-05 00:00:00,69151,2016-04-05 12:50:00,2016,2016,April,April,0,12,11,9
2016-03-16 17:51:29,Kia_carnival_2.9,privat,Offer,2500,control,bus,2006,manuell,144,carnival,150000,Jul,Diesel,kia,No,2016-03-16 00:00:00,45883,2016-04-01 03:44:42,2016,2016,March,March,16,3,10,5
