dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-14 15:49:16,Kia_Rio_1.4_EX,privat,Offer,4450,control,kleinwagen,2007,manuell,97,rio,70000,Jun,Gasoline,kia,No,2016-03-14 00:00:00,45892,2016-03-14 15:49:16,2016,2016,March,March,0,15,9,6
2016-03-15 17:48:56,Kia_Picanto_1.1_LX,privat,Offer,2300,control,kleinwagen,2006,manuell,65,picanto,50000,Nov,Gasoline,kia,No,2016-03-15 00:00:00,10997,2016-03-16 15:18:40,2016,2016,March,March,1,15,10,1
2016-03-20 08:57:21,Kia_Rio_1.4_crdi_Spirit,privat,Offer,0,test,kleinwagen,2012,manuell,90,rio,90000,Jul,Diesel,kia,No,2016-03-20 00:00:00,58840,2016-03-20 09:45:49,2016,2016,March,March,0,9,4,5
2016-03-22 11:54:47,Kia_Picanto_fuer_den_kleinen_Geldbeutel,privat,Offer,1200,control,kleinwagen,2005,manuell,65,picanto,150000,Mar,Gasoline,kia,Yes,2016-03-22 00:00:00,14467,2016-03-22 12:39:56,2016,2016,March,March,0,12,11,9
2016-03-09 13:00:25,Kia_Picanto_Tuev_neu_mit_Gas_Anlage,privat,Offer,3000,control,kleinwagen,2006,manuell,0,picanto,150000,Jun,Lpg,kia,Other,2016-03-09 00:00:00,46117,2016-03-17 07:18:06,2016,2016,March,March,8,7,10,6
2016-03-21 02:37:40,Kia_Rio_ohne_TÜV,privat,Offer,80,test,kleinwagen,2001,manuell,98,rio,150000,Feb,Gasoline,kia,Other,2016-03-21 00:00:00,39240,2016-03-22 12:17:59,2016,2016,March,March,1,12,15,10
2016-03-30 19:49:01,Kia_Picanto_1.1_EX,privat,Offer,1250,test,kleinwagen,2005,manuell,0,Other,150000,Jul,Gasoline,kia,Yes,2016-03-30 00:00:00,85757,2016-04-07 11:45:34,2016,2016,March,March,8,11,11,5
2016-03-24 12:46:54,Kia_Rio_1.3,privat,Offer,799,test,kleinwagen,2002,manuell,75,rio,100000,Sep,Gasoline,kia,No,2016-03-24 00:00:00,85356,2016-04-07 03:45:57,2016,2016,March,March,14,3,14,3
2016-03-14 21:06:20,Kia_Picanto_1.1_EX_Euro_4_Kat._Klima,privat,Offer,1499,control,kleinwagen,2005,manuell,65,picanto,100000,Mar,Gasoline,kia,No,2016-03-14 00:00:00,57518,2016-03-15 16:44:10,2016,2016,March,March,1,16,11,9
2016-04-04 15:38:52,Kia_Picanto_1.1_LX,privat,Offer,2850,test,kleinwagen,2007,manuell,65,picanto,70000,Feb,Gasoline,kia,No,2016-04-04 00:00:00,45357,2016-04-06 16:47:20,2016,2016,April,April,2,16,9,10
2016-03-27 20:36:41,Kia_Rio_1.3_LS,privat,Offer,600,control,kleinwagen,2002,manuell,82,rio,150000,Nov,Gasoline,kia,No,2016-03-27 00:00:00,63538,2016-03-27 21:46:28,2016,2016,March,March,0,21,14,1
2016-03-20 22:48:17,Kia_Picanto_1_1_LX_TÜV_KUPPLUNG_REIFEN_NEU!_Technisch_top_!,privat,Offer,1999,test,kleinwagen,2005,manuell,65,picanto,90000,Jul,Gasoline,kia,Other,2016-03-20 00:00:00,47447,2016-04-05 07:18:23,2016,2016,March,March,16,7,11,5
2016-03-24 12:38:49,Kia_Picanto___ein_Auto_wie_fabrikneu_mir_nur_18000_km,privat,Offer,4750,test,kleinwagen,2010,manuell,65,picanto,20000,Aug,Gasoline,kia,No,2016-03-24 00:00:00,81539,2016-04-07 03:16:48,2016,2016,March,March,14,3,6,4
2016-03-21 00:38:30,Kia_Picanto_1.1,privat,Offer,2490,test,kleinwagen,2006,manuell,65,picanto,150000,Nov,Gasoline,kia,No,2016-03-20 00:00:00,32105,2016-04-05 21:16:14,2016,2016,March,March,16,21,10,1
2016-03-26 15:37:53,Kia_Picanto__gepflegter_Zweitwagen_aus_1._Hand,privat,Offer,4799,test,kleinwagen,2009,manuell,65,picanto,30000,Jul,Gasoline,kia,No,2016-03-26 00:00:00,97618,2016-04-06 03:17:36,2016,2016,March,March,11,3,7,5
2016-04-02 14:37:40,Kia_Picanto_1.1___1.Hand_/_Klima,privat,Offer,2990,test,kleinwagen,2009,manuell,65,picanto,70000,Jul,Gasoline,kia,No,2016-04-02 00:00:00,47055,2016-04-02 14:37:40,2016,2016,April,April,0,14,7,5
2016-03-28 12:54:47,Picanto_2.hand_TÜV_bis_03.2017_Klima_ZV_El.FH,privat,Offer,1899,test,kleinwagen,2005,manuell,65,picanto,150000,Nov,Gasoline,kia,No,2016-03-28 00:00:00,39110,2016-04-06 16:15:28,2016,2016,March,March,9,16,11,1
2016-03-22 13:49:38,Kia_cerato_1.6_16v,privat,Offer,2600,control,kleinwagen,2005,manuell,105,andere,150000,Jun,Gasoline,kia,Other,2016-03-22 00:00:00,17398,2016-04-06 02:45:43,2016,2016,March,March,15,2,11,6
2016-03-29 12:57:03,Kia_Picanto_1.1_EX,privat,Offer,2150,test,kleinwagen,2005,manuell,65,picanto,125000,Jun,Gasoline,kia,No,2016-03-29 00:00:00,31675,2016-04-05 22:46:26,2016,2016,March,March,7,22,11,6
2016-03-23 21:46:56,Kleinwagen,privat,Offer,2100,test,kleinwagen,2005,manuell,54,picanto,150000,Jun,Gasoline,kia,Other,2016-03-23 00:00:00,44536,2016-04-06 03:16:17,2016,2016,March,March,14,3,11,6
