dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-25 15:45:19,Kia_ceed_sw_lx,privat,Offer,3999,test,kombi,2009,manuell,126,ceed,70000,May,Gasoline,kia,Other,2016-03-25 00:00:00,51645,2016-03-25 15:45:19,2016,2016,March,March,0,15,7,7
2016-03-05 20:52:47,Kia_Ceed_1.6_CVVT_SW_ISG_Spirit,privat,Offer,6990,control,kombi,2010,manuell,125,ceed,80000,Apr,Gasoline,kia,No,2016-03-05 00:00:00,17309,2016-03-12 19:47:27,2016,2016,March,March,7,19,6,8
2016-03-10 20:47:54,Kia_Rio_1.3_RS,privat,Offer,1400,test,kombi,2005,manuell,82,rio,100000,Feb,Gasoline,kia,No,2016-03-10 00:00:00,40593,2016-03-13 03:46:27,2016,2016,March,March,3,3,11,10
2016-03-08 19:37:56,KIA_RIO__1.3_RS__DC_,privat,Offer,790,test,kombi,2004,manuell,82,rio,150000,Nov,Gasoline,kia,Other,2016-03-08 00:00:00,26802,2016-03-09 11:15:32,2016,2016,March,March,1,11,12,1
2016-03-12 18:49:27,Kia_clarus_tausch_moeglich,privat,Offer,299,test,kombi,2001,manuell,136,andere,150000,Sep,Gasoline,kia,No,2016-03-12 00:00:00,58507,2016-03-14 11:18:03,2016,2016,March,March,2,11,15,3
2016-03-07 12:45:11,Kia_Rio_gasanlage_und_tuev,privat,Offer,1000,test,kombi,2005,manuell,0,rio,150000,Nov,Lpg,kia,No,2016-03-07 00:00:00,15838,2016-04-05 14:45:49,2016,2016,March,March,29,14,11,1
2016-03-28 17:57:23,Kia_Rio_1.5_LS,privat,Offer,1500,test,kombi,2002,manuell,98,rio,150000,Jul,Gasoline,kia,No,2016-03-28 00:00:00,23701,2016-04-07 00:18:02,2016,2016,March,March,10,0,14,5
2016-03-24 17:46:29,Familienkutsche_Kia_Rio_*TÜV_neu*_Klima__ZV__E_Fenster_E_Spiegel,privat,Offer,1300,control,kombi,2003,manuell,82,rio,150000,Aug,Gasoline,kia,No,2016-03-24 00:00:00,8060,2016-04-07 10:46:16,2016,2016,March,March,14,10,13,4
2016-04-03 11:55:08,Kia_Rio_1.5_LS_guenstig,privat,Offer,990,control,kombi,2003,manuell,97,rio,125000,Jul,Gasoline,kia,No,2016-04-03 00:00:00,59174,2016-04-07 13:15:54,2016,2016,April,April,4,13,13,5
2016-03-18 10:51:48,Kia_Rio_TÜV_08/2016,privat,Offer,990,control,kombi,2003,manuell,82,rio,125000,Aug,Gasoline,kia,No,2016-03-18 00:00:00,32549,2016-03-20 05:16:09,2016,2016,March,March,2,5,13,4
2016-03-21 12:49:53,Kia_carnival_2.9_crdi_//8_x_bereift_//_ahk//_7sitzer,privat,Offer,0,control,kombi,2003,manuell,122,carnival,150000,Nov,Gasoline,kia,Yes,2016-03-21 00:00:00,44357,2016-03-31 15:15:25,2016,2016,March,March,10,15,13,1
