dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-19 23:54:43,Kia_Ceed_1.4_CVVT_Attract_blau_metallic_SHZ_HU_2_/17,privat,Offer,5750,control,limousine,2010,manuell,90,ceed,100000,Feb,Gasoline,kia,No,2016-03-19 00:00:00,85665,2016-04-06 03:15:22,2016,2016,March,March,18,3,6,10
2016-03-29 17:56:01,KIA_OPIRUS_3_5_V6_EX,privat,Offer,4000,control,limousine,2004,manuell,203,andere,150000,Sep,Lpg,kia,No,2016-03-29 00:00:00,23558,2016-04-06 03:45:27,2016,2016,March,March,8,3,12,3
2016-03-07 23:56:28,Kia_Shuma_TÜV_bis_2018,privat,Offer,970,test,limousine,2001,manuell,88,andere,150000,Jan,Gasoline,kia,Other,2016-03-07 00:00:00,13088,2016-03-08 06:42:47,2016,2016,March,March,1,6,15,11
2016-03-15 22:41:30,Kia_Ceed_1.4_CVVT_EX,privat,Offer,3800,control,limousine,2007,manuell,109,ceed,150000,Jul,Gasoline,kia,No,2016-03-15 00:00:00,58762,2016-04-07 07:17:35,2016,2016,March,March,23,7,9,5
2016-03-21 08:58:22,Kia_Magentis_zu_verkaufen,privat,Offer,1500,control,limousine,2001,automatik,0,andere,150000,Feb,Gasoline,kia,No,2016-03-21 00:00:00,54518,2016-04-06 01:16:31,2016,2016,March,March,16,1,15,10
2016-03-05 17:47:39,Kia_pro_Ceed_1.4_CVVT_Edition_7,privat,Offer,8250,test,limousine,2013,manuell,90,ceed,60000,Apr,Gasoline,kia,No,2016-03-05 00:00:00,48429,2016-03-17 00:44:16,2016,2016,March,March,12,0,3,8
2016-03-17 11:47:33,KIA_Ceed_Spirit_2.0_CVVT_!_TOP_ZUSTAND_!,privat,Offer,8990,control,limousine,2010,manuell,142,ceed,50000,Mar,Gasoline,kia,No,2016-03-17 00:00:00,94269,2016-04-06 11:46:10,2016,2016,March,March,20,11,6,9
2016-03-17 22:51:42,KIA_MAGENTIS,privat,Offer,500,test,limousine,2005,automatik,124,andere,150000,Jul,Cng,kia,Other,2016-03-17 00:00:00,51375,2016-03-20 03:48:32,2016,2016,March,March,3,3,11,5
2016-03-05 17:52:19,Kia_Cerato_1.5_CRDi,privat,Offer,1650,test,limousine,2006,manuell,102,andere,150000,Aug,Diesel,kia,Yes,2016-03-05 00:00:00,80992,2016-03-09 11:17:02,2016,2016,March,March,4,11,10,4
2016-03-12 16:55:19,Bastlerauto,privat,Offer,50,control,limousine,2005,manuell,0,andere,70000,May,Gasoline,kia,Other,2016-03-12 00:00:00,78244,2016-03-15 22:44:12,2016,2016,March,March,3,22,11,7
2016-04-03 00:56:41,Top_gepflegter_KIA_CEE`D_1.4___4/5_Tuerer___49.889_KM__Service_NEU,privat,Offer,7990,control,limousine,2010,manuell,90,ceed,50000,Oct,Gasoline,kia,No,2016-04-03 00:00:00,26188,2016-04-07 09:15:36,2016,2016,April,April,4,9,6,2
2016-04-01 20:40:20,Kia_Cerato_1.6_LX,privat,Offer,1800,test,limousine,2005,manuell,105,andere,90000,Apr,Gasoline,kia,No,2016-04-01 00:00:00,38114,2016-04-01 20:40:20,2016,2016,April,April,0,20,11,8
2016-03-25 14:47:29,Kia_Ceed_1.4_CVVT,privat,Offer,2799,control,limousine,2009,manuell,109,ceed,100000,Mar,Gasoline,kia,Yes,2016-03-25 00:00:00,95666,2016-03-25 14:47:29,2016,2016,March,March,0,14,7,9
2016-04-04 16:40:40,Kia_Ceed_1.4_CVVT,privat,Offer,4200,test,limousine,2007,manuell,0,ceed,150000,Oct,Gasoline,kia,No,2016-04-04 00:00:00,63179,2016-04-06 18:16:48,2016,2016,April,April,2,18,9,2
