dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-23 14:45:57,Kia_Sorento__coole_Farbe_schaut......,privat,Offer,7500,test,suv,2007,automatik,194,sorento,5000,Nov,Gasoline,kia,Other,2016-03-23 00:00:00,34314,2016-04-05 15:47:51,2016,2016,March,March,13,15,9,1
2016-03-26 10:36:55,Kia_Sportage_2.0_CRDi_2WD_EX,privat,Offer,9990,test,suv,2010,manuell,150,sportage,100000,Oct,Diesel,kia,No,2016-03-26 00:00:00,27729,2016-04-05 23:15:51,2016,2016,March,March,10,23,6,2
2016-03-26 13:57:27,Kia_Sportage,privat,Offer,10500,control,suv,2009,manuell,140,sportage,40000,Oct,Gasoline,kia,No,2016-03-26 00:00:00,67593,2016-04-06 02:17:10,2016,2016,March,March,11,2,7,2
2016-03-17 12:52:15,Kia_Sorento_3_5_V6__Leder__Klima__Autom.__Tuev_09/17,privat,Offer,5300,test,suv,2004,automatik,194,sorento,150000,Apr,Gasoline,kia,No,2016-03-17 00:00:00,29308,2016-03-19 12:16:57,2016,2016,March,March,2,12,12,8
2016-03-17 19:39:40,Kia_Sportage_Champ__Schwarz_mit_Lederausstattung,privat,Offer,9999,control,suv,2008,manuell,141,sportage,90000,Nov,Gasoline,kia,Other,2016-03-17 00:00:00,97084,2016-04-07 07:16:27,2016,2016,March,March,21,7,8,1
2016-03-22 19:47:50,Kia_Sorento_2.5_CRDi_VGT_EX,privat,Offer,6500,test,suv,2007,manuell,170,sorento,150000,Jul,Diesel,kia,No,2016-03-22 00:00:00,49124,2016-04-06 12:46:22,2016,2016,March,March,15,12,9,5
2016-03-31 20:53:43,Kia_Sorento_EX,privat,Offer,4000,test,suv,2002,automatik,130,sorento,150000,Jan,Diesel,kia,Other,2016-03-31 00:00:00,50374,2016-04-04 14:45:07,2016,2016,March,March,4,14,14,11
2016-03-09 16:55:45,Kia_Sportage_2.0_CVVT_2WD_Automatik,privat,Offer,20500,test,suv,2012,automatik,163,sportage,90000,May,Gasoline,kia,No,2016-03-09 00:00:00,74743,2016-04-07 06:45:07,2016,2016,March,March,29,6,4,7
2016-03-27 19:50:38,Kia_Sorento_2.5_CRDi_EX,privat,Offer,3000,control,suv,2002,manuell,140,sorento,150000,Nov,Diesel,kia,Yes,2016-03-27 00:00:00,66706,2016-03-27 19:50:38,2016,2016,March,March,0,19,14,1
2016-04-05 11:54:02,Sorento_3Tonnen_Zuglast_Leder_Klima,privat,Offer,8100,test,suv,2009,manuell,170,sorento,150000,Jan,Diesel,kia,No,2016-04-05 00:00:00,83623,2016-04-05 12:44:13,2016,2016,April,April,0,12,7,11
2016-03-21 18:50:21,Kia_Sportage_16V,privat,Offer,2500,test,suv,2001,manuell,128,sportage,90000,May,Gasoline,kia,No,2016-03-21 00:00:00,69509,2016-03-24 08:44:20,2016,2016,March,March,3,8,15,7
2016-03-05 17:49:59,KIA_SORENTO_2_5_CDI_mit_Partikelfilter_mit_neuen_TÜV,privat,Offer,5900,test,suv,2004,manuell,140,sorento,150000,May,Diesel,kia,No,2016-03-05 00:00:00,45355,2016-03-26 05:18:28,2016,2016,March,March,21,5,12,7
2016-03-29 23:47:12,Kia_Sportage_2.0_CRDi_2WD_Vision,privat,Offer,17950,control,suv,2012,manuell,136,sportage,80000,May,Diesel,kia,No,2016-03-29 00:00:00,48429,2016-04-06 13:16:56,2016,2016,March,March,8,13,4,7
2016-03-05 16:58:54,Kia_Sportage_Spirit_Vollausstattung_5Jahre_Rest_Garantie_AHK_Park,privat,Offer,24500,control,suv,2014,manuell,185,sportage,40000,Jan,Diesel,kia,No,2016-02-29 00:00:00,94486,2016-03-14 07:15:47,2016,2016,February,March,14,7,2,11
2016-03-23 18:48:58,Kia_Sorento_2.5_CRDi_VGT_DPF_EX__Klima__AHK_abnehm.__Scheckheft,privat,Offer,10500,test,suv,2009,manuell,170,sorento,125000,May,Diesel,kia,No,2016-03-23 00:00:00,53804,2016-03-29 14:17:08,2016,2016,March,March,6,14,7,7
2016-03-30 21:55:50,Kia_Sportage_1.6_GDI_2WD_Attract,privat,Offer,14700,test,suv,2012,manuell,135,sportage,50000,Jun,Gasoline,kia,No,2016-03-30 00:00:00,49393,2016-04-05 13:16:13,2016,2016,March,March,6,13,4,6
2016-03-08 19:40:21,Kia_Sorento_2.5_CRDi_Aut._EX,privat,Offer,6500,test,suv,2005,automatik,140,sorento,150000,Nov,Diesel,kia,No,2016-03-08 00:00:00,48161,2016-04-05 13:17:31,2016,2016,March,March,28,13,11,1
2016-03-17 09:45:55,Kia_Sorento_2.5_CRDi_Aut._EX,privat,Offer,2800,test,suv,2002,automatik,140,sorento,150000,Nov,Diesel,kia,No,2016-03-17 00:00:00,77955,2016-03-17 09:45:55,2016,2016,March,March,0,9,14,1
2016-04-01 11:59:22,Kia_Sorento_3_5_V6__Leder__Klima__Autom.__Tuev_bis_09/17,privat,Offer,5750,test,suv,2004,automatik,194,sorento,150000,Apr,Gasoline,kia,No,2016-04-01 00:00:00,29308,2016-04-03 08:17:29,2016,2016,April,April,2,8,12,8
