dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-22 11:59:28,Lancia_Phedra_2.0_16v_JTD_Emblema,privat,Offer,1440,control,bus,2003,manuell,109,andere,150000,Nov,Diesel,lancia,No,2016-03-22 00:00:00,83317,2016-03-22 11:59:28,2016,2016,March,March,0,11,13,1
2016-04-03 13:54:14,LANCIA_PHEDRA_2.0_16v_Executive,privat,Offer,2990,control,bus,2004,manuell,136,andere,150000,Nov,Gasoline,lancia,No,2016-04-03 00:00:00,75050,2016-04-05 12:46:42,2016,2016,April,April,2,12,12,1
2016-04-04 21:58:13,Lancia_Phedra_2.2_16v_JTD_DPF_Executive,privat,Offer,899,test,bus,2003,manuell,128,andere,150000,Apr,Diesel,lancia,Yes,2016-04-04 00:00:00,85643,2016-04-07 01:16:38,2016,2016,April,April,3,1,13,8
2016-03-31 23:37:59,Lancia_Musa_1.3_Multijet_16v_Argento,privat,Offer,3500,control,bus,2008,manuell,69,musa,150000,Nov,Diesel,lancia,No,2016-03-31 00:00:00,22113,2016-04-01 04:42:27,2016,2016,March,March,1,4,8,1
2016-03-31 22:46:42,Lancia_Zeta_2.1_Td_LS_mit_7_Sitzen,privat,Offer,1900,test,bus,1998,manuell,109,andere,150000,May,Diesel,lancia,No,2016-03-31 00:00:00,86415,2016-04-02 18:47:31,2016,2016,March,March,2,18,18,7
2016-03-11 22:49:16,Lancia_MUSA_1.4_16vAutom.PlatinoPlus_1.Hand_Leder_Panoramadach,privat,Offer,5300,control,bus,2007,automatik,95,musa,125000,May,Gasoline,lancia,No,2016-03-11 00:00:00,3119,2016-04-06 20:19:22,2016,2016,March,March,26,20,9,7
2016-03-19 23:58:16,Lancia_Phedra_2.0_16v_Emblema_voll_Automatik,privat,Offer,6500,control,bus,2005,automatik,136,andere,90000,Aug,Gasoline,lancia,No,2016-03-19 00:00:00,67105,2016-03-20 07:45:45,2016,2016,March,March,1,7,11,4
2016-03-20 12:46:45,Lancia_Zeta_mit_Gasanlage,privat,Offer,1250,test,bus,1996,manuell,145,andere,150000,May,Lpg,lancia,No,2016-03-20 00:00:00,40764,2016-04-06 12:17:18,2016,2016,March,March,17,12,20,7
2016-03-05 21:00:11,Lancia_Phedra_2.2_16v_JTD_DPF_Emblema,privat,Offer,3050,control,bus,2003,manuell,128,andere,150000,Oct,Diesel,lancia,No,2016-03-05 00:00:00,91438,2016-03-07 16:44:44,2016,2016,March,March,2,16,13,2
2016-03-20 12:47:49,Lancia_Zeta_2.0_turbo,privat,Offer,1250,test,bus,1996,manuell,147,andere,150000,May,Lpg,lancia,No,2016-03-20 00:00:00,40764,2016-04-06 12:44:51,2016,2016,March,March,17,12,20,7
2016-03-13 11:51:53,Lancia_Phedra_2.0_Multijet_16v_DPF_Oro,privat,Offer,8000,control,bus,2008,manuell,136,andere,150000,Oct,Diesel,lancia,No,2016-03-13 00:00:00,6774,2016-03-26 23:17:08,2016,2016,March,March,13,23,8,2
2016-03-19 16:38:15,Lancia_Phedra_Emblema_3.0_24V__204_PS__Automatik__AHK,privat,Offer,1700,test,bus,2005,automatik,204,andere,150000,Jan,Gasoline,lancia,Other,2016-03-19 00:00:00,21643,2016-03-24 11:18:02,2016,2016,March,March,5,11,11,11
2016-04-01 18:25:38,Lancia_Musa_1.4_16v_Automatik_Platino,privat,Offer,3400,control,bus,2005,automatik,95,musa,100000,Jul,Gasoline,lancia,No,2016-04-01 00:00:00,56076,2016-04-07 14:56:51,2016,2016,April,April,6,14,11,5
2016-03-13 18:48:13,7sitzer_mit_TÜV_an_Bastler,privat,Offer,450,test,bus,1998,manuell,147,andere,150000,Jan,Gasoline,lancia,Yes,2016-03-13 00:00:00,54441,2016-04-06 17:47:09,2016,2016,March,March,24,17,18,11
2016-04-04 10:55:53,Lancia_Phedra_2.0_16v_JTD,privat,Offer,1199,control,bus,2002,manuell,108,andere,30000,Oct,Diesel,lancia,No,2016-04-04 00:00:00,27404,2016-04-06 12:17:49,2016,2016,April,April,2,12,14,2
2016-03-23 19:31:20,Lancia_Musa_1.4_16v_Automatik_Platino,privat,Offer,3400,test,bus,2005,automatik,95,musa,100000,Jul,Gasoline,lancia,No,2016-03-23 00:00:00,56076,2016-03-31 21:47:21,2016,2016,March,March,8,21,11,5
2016-03-11 10:52:30,Lancia_Voyager_2.8_CRD16v_Gold_Unfallfrei__TOP_ZUSTAND.,privat,Offer,13500,test,bus,2012,automatik,163,andere,150000,Jan,Diesel,lancia,No,2016-03-11 00:00:00,28195,2016-03-11 11:41:31,2016,2016,March,March,0,11,4,11
2016-04-03 19:31:29,Lancia_Musa_1.3_Multijet_16v,privat,Offer,3490,test,bus,2006,manuell,69,musa,125000,Jan,Diesel,lancia,No,2016-04-03 00:00:00,63065,2016-04-05 09:11:51,2016,2016,April,April,2,9,10,11
2016-04-04 20:46:00,Lancia_Zeta_2.0_turbo_LX,privat,Offer,2100,control,bus,1997,manuell,147,andere,150000,Mar,Gasoline,lancia,No,2016-04-04 00:00:00,97084,2016-04-06 23:15:58,2016,2016,April,April,2,23,19,9
2016-03-26 01:56:51,Lancia_Musa_1.3_Multijet_16v_DPF_Platino,privat,Offer,3900,control,bus,2007,manuell,90,musa,125000,Jan,Diesel,lancia,No,2016-03-26 00:00:00,88367,2016-04-01 20:17:29,2016,2016,March,March,6,20,9,11
2016-03-31 15:38:20,Lancia_Zeta__7_Sitzer__Tuev_10/16__1._Hand,privat,Offer,1880,control,bus,2001,manuell,108,andere,150000,Nov,Diesel,lancia,No,2016-03-31 00:00:00,80796,2016-04-06 08:16:43,2016,2016,March,March,6,8,15,1
2016-03-05 15:37:03,Lancia_Zeta,privat,Offer,400,control,bus,1999,manuell,147,andere,150000,Jan,Gasoline,lancia,Yes,2016-03-05 00:00:00,38350,2016-04-01 20:16:24,2016,2016,March,March,27,20,17,11
2016-03-24 09:49:54,Lancia_Phedra_2.0_Multijet_16v_DPF,privat,Offer,7300,control,bus,2009,manuell,136,andere,150000,Oct,Diesel,lancia,No,2016-03-24 00:00:00,67259,2016-04-02 23:16:38,2016,2016,March,March,9,23,7,2
2016-03-22 17:49:21,Kleinbus_/_Grossraumlim_7_Sitzer___Lancia_Phedra_2.0_Multijet_16v,privat,Offer,9500,control,bus,2009,manuell,120,andere,150000,Jan,Diesel,lancia,No,2016-03-22 00:00:00,42699,2016-04-06 09:17:02,2016,2016,March,March,15,9,7,11
2016-04-03 13:48:34,Lancia_Phedra_2.0_16v_Executive,privat,Offer,2990,control,bus,2004,manuell,136,andere,150000,Nov,Gasoline,lancia,No,2016-04-03 00:00:00,75050,2016-04-05 12:46:22,2016,2016,April,April,2,12,12,1
2016-03-21 19:57:34,Lancia_Phedra_3.0_V6_24v,privat,Offer,850,test,bus,2004,automatik,204,andere,150000,Oct,Lpg,lancia,No,2016-03-21 00:00:00,35440,2016-04-05 23:15:44,2016,2016,March,March,15,23,12,2
2016-03-09 09:56:27,Verkaufe_lancia_phedra,privat,Offer,2000,test,bus,2003,automatik,204,andere,150000,Oct,Gasoline,lancia,Other,2016-03-09 00:00:00,57392,2016-03-12 18:44:41,2016,2016,March,March,3,18,13,2
2016-04-03 12:53:10,Lancia_Zeta_2.0_turbo_LX,privat,Offer,890,control,bus,1998,manuell,147,andere,150000,Mar,Gasoline,lancia,No,2016-04-03 00:00:00,73087,2016-04-03 12:53:10,2016,2016,April,April,0,12,18,9
