dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-16 18:47:11,Lancia_Fulvia_oldtimer_sport_Coupe,privat,Offer,5445,control,coupe,1974,manuell,88,andere,125000,Apr,Gasoline,lancia,No,2016-03-16 00:00:00,28199,2016-03-17 17:16:08,2016,2016,March,March,1,17,42,8
2016-03-25 20:06:19,Lancia_Gamma_Coupe,privat,Offer,600,test,coupe,1978,manuell,140,andere,125000,Jan,Gasoline,lancia,Other,2016-03-25 00:00:00,51570,2016-04-05 14:46:45,2016,2016,March,March,11,14,38,11
2016-03-27 16:45:47,Lancia_FULVIA_ZAGATO_SPORT_1_3_S_H_ZULASSUNG,privat,Offer,22900,test,coupe,1973,manuell,88,andere,70000,Jan,Gasoline,lancia,No,2016-03-27 00:00:00,64521,2016-04-05 11:50:37,2016,2016,March,March,9,11,43,11
2016-03-07 16:53:25,Lancia_Beta_VX_Coupe,privat,Offer,2800,control,coupe,1985,manuell,135,andere,90000,Mar,Gasoline,lancia,No,2016-03-07 00:00:00,86850,2016-04-05 23:45:31,2016,2016,March,March,29,23,31,9
2016-04-03 21:00:20,Lancia_Fulvia,privat,Offer,13000,test,coupe,1970,manuell,90,andere,70000,Jan,Gasoline,lancia,No,2016-04-03 00:00:00,79843,2016-04-05 21:47:42,2016,2016,April,April,2,21,46,11
2016-03-05 14:08:48,Lancia_Delta_hpe_1_6_16v,privat,Offer,0,test,coupe,1998,manuell,103,delta,150000,May,Gasoline,lancia,Other,2016-03-04 00:00:00,57520,2016-03-12 18:46:34,2016,2016,March,March,8,18,18,7
2016-03-20 11:55:13,Lancia_Kappa_Coupe_3.0_Automatik,privat,Offer,5999,test,coupe,1998,automatik,204,kappa,150000,Mar,Gasoline,lancia,No,2016-03-20 00:00:00,50374,2016-04-06 10:16:32,2016,2016,March,March,17,10,18,9
2016-03-09 18:48:54,Pininfarina_Gamma_Coupe,privat,Offer,7950,test,coupe,1982,manuell,140,andere,70000,Jan,Other,lancia,Other,2016-03-09 00:00:00,34537,2016-04-07 14:56:20,2016,2016,March,March,29,14,34,11
2016-03-25 20:06:21,Lancia_Gamma,privat,Offer,600,test,coupe,1978,manuell,140,andere,125000,Feb,Other,lancia,No,2016-03-25 00:00:00,51570,2016-04-05 14:46:45,2016,2016,March,March,11,14,38,10
2016-03-30 19:44:20,Lancia_Fulvia_Coupe_Montecarlo,privat,Offer,8999,test,coupe,1972,manuell,0,andere,150000,Jul,Gasoline,lancia,No,2016-03-30 00:00:00,14532,2016-04-07 11:15:20,2016,2016,March,March,8,11,44,5
2016-04-01 14:49:10,Lancia_Fulvia,privat,Offer,11990,test,coupe,1971,manuell,102,andere,40000,Jun,Gasoline,lancia,No,2016-04-01 00:00:00,64521,2016-04-07 12:15:26,2016,2016,April,April,6,12,45,6
2016-03-27 15:43:48,Tuev_Kundendienst_zahnriemen_neu_8fach_guter_Zustand.,privat,Offer,1650,control,coupe,1997,manuell,131,delta,125000,May,Other,lancia,Other,2016-03-27 00:00:00,95517,2016-04-03 11:45:54,2016,2016,March,March,7,11,19,7
2016-03-08 16:38:52,Lancia_Kappa_Coupe_2.4,privat,Offer,1950,test,coupe,1998,manuell,175,kappa,150000,Mar,Gasoline,lancia,No,2016-03-08 00:00:00,72131,2016-04-07 00:16:38,2016,2016,March,March,30,0,18,9
2016-03-06 20:43:43,Lancia_Kappa_coupe_20v_turbo,privat,Offer,4900,control,coupe,1999,manuell,220,kappa,90000,Jan,Gasoline,lancia,Other,2016-03-06 00:00:00,16816,2016-04-04 16:45:15,2016,2016,March,March,29,16,17,11
