dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-31 23:37:41,Verkaufe_Lanica_Ypsilon_ohne_TÜV,privat,Offer,300,control,kleinwagen,2000,manuell,85,ypsilon,150000,Nov,Gasoline,lancia,No,2016-03-31 00:00:00,88682,2016-04-07 01:44:35,2016,2016,March,March,7,1,16,1
2016-03-19 15:51:24,Lancia_Y___1.2_benzin,privat,Offer,1200,control,kleinwagen,2002,manuell,0,ypsilon,150000,Jan,Gasoline,lancia,No,2016-03-19 00:00:00,40764,2016-03-30 10:18:23,2016,2016,March,March,11,10,14,11
2016-03-31 19:57:53,Lancia_Y_1.2_Cosmopolitan_2002,privat,Offer,1100,control,kleinwagen,2002,manuell,60,ypsilon,125000,Nov,Gasoline,lancia,No,2016-03-31 00:00:00,81241,2016-03-31 19:57:53,2016,2016,March,March,0,19,14,1
2016-04-02 09:56:33,Lancia_Y_10_Junior_1.1_ie_Lancia_156_Liebhaber/Sammler,privat,Offer,2400,control,kleinwagen,1995,manuell,54,ypsilon,60000,May,Gasoline,lancia,No,2016-04-02 00:00:00,80687,2016-04-04 07:49:44,2016,2016,April,April,2,7,21,7
2016-03-15 13:49:25,Lancia_Y_Blue_Elefantino,privat,Offer,500,control,kleinwagen,2002,manuell,620,ypsilon,150000,Nov,Gasoline,lancia,Other,2016-03-15 00:00:00,55566,2016-04-06 03:15:27,2016,2016,March,March,22,3,14,1
2016-03-10 23:06:20,Lancia_Y_1.2_LE,privat,Offer,599,control,kleinwagen,1996,manuell,60,ypsilon,90000,Sep,Gasoline,lancia,No,2016-03-10 00:00:00,63263,2016-03-11 11:47:03,2016,2016,March,March,1,11,20,3
2016-03-22 22:47:10,Lancia_y_leder_klima_sitzheizung_Tuev_7.17,privat,Offer,970,control,kleinwagen,2002,manuell,60,ypsilon,150000,Jan,Other,lancia,No,2016-03-22 00:00:00,80933,2016-04-06 19:47:31,2016,2016,March,March,15,19,14,11
2016-03-30 09:36:16,Lancia_Musa_1.4_16v_Kleinwagen_mit_viel_Platz,privat,Offer,2950,control,kleinwagen,2005,manuell,95,musa,150000,Apr,Gasoline,lancia,Yes,2016-03-30 00:00:00,73466,2016-04-07 01:44:40,2016,2016,March,March,8,1,11,8
2016-04-03 16:52:33,Lancia_Y_1.2_LS,privat,Offer,1500,control,kleinwagen,1996,manuell,60,ypsilon,60000,Sep,Gasoline,lancia,No,2016-04-03 00:00:00,78056,2016-04-05 16:46:10,2016,2016,April,April,2,16,20,3
2016-03-31 20:46:25,Verkaufe_mein_schoenen_Lancia_als_Bastlerfahrzeug,privat,Offer,2600,test,kleinwagen,2007,manuell,80,ypsilon,100000,Jan,Gasoline,lancia,Other,2016-03-31 00:00:00,10179,2016-04-06 15:45:02,2016,2016,March,March,6,15,9,11
2016-03-29 20:42:18,Lancia_Y_1.2_8v,privat,Offer,1999,test,kleinwagen,2004,manuell,60,ypsilon,80000,Nov,Gasoline,lancia,No,2016-03-29 00:00:00,86316,2016-03-29 20:42:18,2016,2016,March,March,0,20,12,1
2016-03-06 12:51:35,Unfall_Auto,privat,Offer,390,test,kleinwagen,1996,manuell,0,ypsilon,150000,Jan,Gasoline,lancia,Other,2016-03-06 00:00:00,86669,2016-04-06 05:45:28,2016,2016,March,March,31,5,20,11
2016-03-29 17:53:17,lancia_y_schwarz,privat,Offer,200,control,kleinwagen,2000,manuell,1200,Other,125000,Apr,Gasoline,lancia,Other,2016-03-29 00:00:00,10585,2016-04-06 03:45:24,2016,2016,March,March,8,3,16,8
2016-03-31 19:46:08,Lancia_Y_1.2_16v_Oro,privat,Offer,2700,control,kleinwagen,2004,manuell,80,ypsilon,90000,Nov,Gasoline,lancia,No,2016-03-31 00:00:00,71093,2016-04-06 13:46:52,2016,2016,March,March,6,13,12,1
2016-03-11 18:52:24,Lancia_Y_1.2_16_V_Elefantino_rosso,privat,Offer,1250,test,kleinwagen,1999,manuell,86,ypsilon,150000,Mar,Gasoline,lancia,No,2016-03-11 00:00:00,44795,2016-04-05 21:16:38,2016,2016,March,March,25,21,17,9
2016-03-07 17:06:37,Lancia_Y_1.2,privat,Offer,990,control,kleinwagen,1999,Unspecified,0,ypsilon,150000,Nov,Gasoline,lancia,Yes,2016-03-07 00:00:00,65933,2016-04-06 04:45:09,2016,2016,March,March,30,4,17,1
2016-03-22 16:59:41,Lancia_Y_1.4_16v_Oro,privat,Offer,4850,test,kleinwagen,2009,manuell,95,ypsilon,60000,Mar,Gasoline,lancia,No,2016-03-22 00:00:00,88279,2016-04-06 07:17:58,2016,2016,March,March,15,7,7,9
2016-03-23 16:47:11,Lancia_Y_1.3_16v_Multijet_Automatik_Argento,privat,Offer,2750,test,kleinwagen,2004,automatik,69,ypsilon,125000,Sep,Diesel,lancia,No,2016-03-23 00:00:00,59229,2016-04-05 20:16:53,2016,2016,March,March,13,20,12,3
2016-03-19 20:37:20,Lancia_Y_1.2_16_V_Elefantino_rosso_mit_TÜV,privat,Offer,1199,control,kleinwagen,2002,manuell,80,ypsilon,150000,Mar,Gasoline,lancia,No,2016-03-19 00:00:00,71067,2016-04-07 10:17:37,2016,2016,March,March,19,10,14,9
