dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-27 01:51:48,Lancia_Thesis_3.0_V6_Comfotronic_Emblema,privat,Offer,900,test,limousine,2002,automatik,215,andere,150000,Sep,Lpg,lancia,Yes,2016-03-26 00:00:00,50259,2016-04-07 03:15:22,2016,2016,March,March,12,3,14,3
2016-04-04 21:47:25,Lancia_lybra_zu_verkaufen.naehere_Infos_per_mail.,privat,Offer,500,test,limousine,1999,manuell,156,lybra,150000,Nov,Other,lancia,Yes,2016-04-04 00:00:00,41189,2016-04-07 00:18:06,2016,2016,April,April,3,0,17,1
2016-03-22 16:54:39,LANCIA_luxusausstattung_limosine_1.8_fuer_export,privat,Offer,799,test,limousine,2003,manuell,131,lybra,100000,Feb,Gasoline,lancia,Yes,2016-03-22 00:00:00,80807,2016-04-06 08:17:09,2016,2016,March,March,15,8,13,10
2016-03-29 19:53:18,Lancia_Thema_8.32_i.e.,privat,Offer,12000,control,limousine,1989,manuell,205,andere,70000,Feb,Gasoline,lancia,No,2016-03-29 00:00:00,89073,2016-04-06 06:15:48,2016,2016,March,March,8,6,27,10
2016-03-24 18:45:29,Verkaufe_geliebten_Lancia_y,privat,Offer,820,test,limousine,1998,manuell,55,elefantino,150000,Jan,Other,lancia,No,2016-03-24 00:00:00,75203,2016-03-29 04:17:49,2016,2016,March,March,5,4,18,11
2016-03-11 21:56:31,Lancia_Delta_1.6_LE,privat,Offer,899,test,limousine,1994,manuell,75,delta,150000,Mar,Gasoline,lancia,Yes,2016-03-11 00:00:00,47652,2016-04-06 11:17:28,2016,2016,March,March,26,11,22,9
2016-04-04 18:47:56,Lancia_Thesis_2.4_jtd,privat,Offer,1000,test,limousine,2007,automatik,175,andere,150000,Jul,Diesel,lancia,Other,2016-04-04 00:00:00,13127,2016-04-06 21:15:43,2016,2016,April,April,2,21,9,5
2016-03-15 15:37:01,Lancia_Lancia_Thesis_2.4_JTD_20V_Emblema,privat,Offer,2500,control,limousine,2003,automatik,175,andere,150000,Jul,Diesel,lancia,No,2016-03-15 00:00:00,36266,2016-04-06 10:15:30,2016,2016,March,March,22,10,13,5
2016-03-24 18:38:59,Lancia_Delta_2,privat,Offer,600,test,limousine,1998,manuell,0,delta,150000,Jan,Other,lancia,Other,2016-03-24 00:00:00,99947,2016-04-07 12:16:40,2016,2016,March,March,14,12,18,11
2016-03-14 11:58:24,Lancia_Thesis_2.4_Multijet_DPF_Comfortronic_Sportiva,privat,Offer,9500,test,limousine,2009,automatik,185,andere,125000,Nov,Diesel,lancia,No,2016-03-14 00:00:00,22523,2016-04-05 11:50:43,2016,2016,March,March,22,11,7,1
2016-03-16 20:46:48,Lancia_Lybra_2.0_LX,privat,Offer,1150,control,limousine,2002,manuell,150,lybra,150000,Jan,Gasoline,lancia,No,2016-03-16 00:00:00,87629,2016-03-23 08:46:37,2016,2016,March,March,7,8,14,11
2016-04-05 16:25:23,5TÜRER_KLIMAAUTOMATIK_ALU15ZOLL_ELFH_MULTIFUNKTION_SERVO_TÜV,privat,Offer,800,test,limousine,2001,manuell,103,lybra,150000,Apr,Gasoline,lancia,No,2016-04-05 00:00:00,65479,2016-04-05 16:25:23,2016,2016,April,April,0,16,15,8
2016-03-22 15:56:29,Lancia_Thesis_2.4_Multijet_DPF_Comfortronic_Tuev_3/2018,privat,Offer,5999,control,limousine,2007,automatik,185,andere,150000,Jan,Diesel,lancia,No,2016-03-22 00:00:00,14532,2016-04-06 05:45:47,2016,2016,March,March,15,5,9,11
2016-03-29 21:46:50,Lancia_Lybra_2.0_LX,privat,Offer,0,test,limousine,2000,manuell,154,lybra,150000,May,Gasoline,lancia,Other,2016-03-29 00:00:00,31162,2016-04-06 08:17:38,2016,2016,March,March,8,8,16,7
2016-03-06 09:47:33,Lancia_Delta_HF_Turbo_Exclusiv__Sondermodell__TAUSCH,privat,Offer,5999,control,limousine,1988,manuell,137,delta,150000,Jul,Gasoline,lancia,No,2016-03-06 00:00:00,72250,2016-04-06 01:50:26,2016,2016,March,March,31,1,28,5
2016-03-15 18:43:02,Lancia_Kappa_2.0_zu_verkaufen,privat,Offer,2600,control,limousine,1999,manuell,155,kappa,125000,May,Gasoline,lancia,Other,2016-03-15 00:00:00,54595,2016-04-06 19:15:57,2016,2016,March,March,22,19,17,7
2016-03-08 10:50:00,Lancia_Delta_1.8__1_Hand_Liebhaberauto,privat,Offer,1200,test,limousine,1995,manuell,90,delta,125000,Mar,Gasoline,lancia,No,2016-03-08 00:00:00,21220,2016-03-10 02:46:37,2016,2016,March,March,2,2,21,9
2016-03-28 19:47:38,Lancia_Y10___Autobianchi_Y10___EZ_1996___Euro2___Sammlerstueck,privat,Offer,1900,control,limousine,1996,manuell,54,andere,80000,Apr,Gasoline,lancia,No,2016-03-28 00:00:00,12347,2016-04-07 02:16:38,2016,2016,March,March,10,2,20,8
2016-03-11 07:55:32,Lancia_Delta_2_bastlerfahrzeug,privat,Offer,150,test,limousine,1998,manuell,116,delta,150000,Jan,Gasoline,lancia,Yes,2016-03-11 00:00:00,99817,2016-04-02 12:45:24,2016,2016,March,March,22,12,18,11
2016-03-30 09:52:26,Lancia_Fulvia_GTE_1969,privat,Offer,7500,control,limousine,1969,manuell,87,andere,70000,Aug,Gasoline,lancia,Other,2016-03-30 00:00:00,74834,2016-04-07 00:17:41,2016,2016,March,March,8,0,47,4
2016-03-08 21:37:36,Lancia_Thesis_2.4_20v,privat,Offer,3550,control,limousine,2003,manuell,170,andere,125000,Mar,Gasoline,lancia,No,2016-03-08 00:00:00,74321,2016-04-06 01:17:01,2016,2016,March,March,29,1,13,9
2016-03-24 18:59:09,Lancia_Lybra_2.0_5_Zylinder_Tuev_12/2016,privat,Offer,699,test,limousine,2000,manuell,155,lybra,150000,Jun,Gasoline,lancia,No,2016-03-24 00:00:00,24768,2016-04-05 11:48:14,2016,2016,March,March,12,11,16,6
2016-03-15 14:59:30,Lancia_Kappa_2.0_LS,privat,Offer,4500,control,limousine,1998,manuell,155,kappa,20000,Jun,Gasoline,lancia,No,2016-03-15 00:00:00,24628,2016-03-28 06:44:35,2016,2016,March,March,13,6,18,6
2016-03-10 14:38:15,Lancia_Lybra_2.0_LX,privat,Offer,1685,test,limousine,2000,manuell,154,lybra,90000,Jul,Gasoline,lancia,Yes,2016-03-10 00:00:00,73312,2016-04-01 14:49:05,2016,2016,March,March,22,14,16,5
2016-03-22 23:48:36,"Lancia_Lybra_2.0_LX_""TOP_TOP""",privat,Offer,800,test,limousine,2000,manuell,154,lybra,150000,Mar,Gasoline,lancia,No,2016-03-22 00:00:00,22525,2016-03-23 03:42:52,2016,2016,March,March,1,3,16,9
2016-04-03 11:48:44,Lancia_Lybra_1.6__Alcantara__Navi__Klimaautomatik,privat,Offer,2100,control,limousine,2001,manuell,103,lybra,50000,Jul,Gasoline,lancia,No,2016-04-03 00:00:00,78166,2016-04-05 10:16:17,2016,2016,April,April,2,10,15,5
2016-03-17 11:38:59,Lancia_Thema_Ferrari_8.32_tauschen_oder_verkaufen,privat,Offer,1,control,limousine,1989,manuell,215,andere,80000,Sep,Gasoline,lancia,Other,2016-03-17 00:00:00,73635,2016-03-20 12:15:55,2016,2016,March,March,3,12,27,3
2016-03-10 11:56:02,Lancia_Delta_2.0_HF_turbo_LS,privat,Offer,6750,test,limousine,1994,manuell,186,delta,150000,Oct,Gasoline,lancia,No,2016-03-10 00:00:00,12277,2016-04-07 04:46:24,2016,2016,March,March,28,4,22,2
2016-04-03 00:56:25,Lancia_Thesis_2.0_Benzin_mit_TÜV_07/17,privat,Offer,1799,control,limousine,2002,manuell,185,andere,150000,May,Gasoline,lancia,Other,2016-04-03 00:00:00,99097,2016-04-07 09:17:04,2016,2016,April,April,4,9,14,7
2016-03-05 15:06:20,Lancia_Delta_HPE_1.6,privat,Offer,750,test,limousine,1998,manuell,103,delta,150000,May,Gasoline,lancia,No,2016-03-05 00:00:00,57520,2016-03-17 15:17:15,2016,2016,March,March,12,15,18,7
2016-03-08 19:47:52,Lancia_Dedra_integrale__mit_KAT,privat,Offer,4900,test,limousine,1994,manuell,169,andere,150000,Mar,Gasoline,lancia,No,2016-03-08 00:00:00,32756,2016-03-11 04:17:49,2016,2016,March,March,3,4,22,9
2016-03-31 12:47:44,Lancia_Thema_i.e.,privat,Offer,1450,test,limousine,1989,Unspecified,0,andere,150000,Jan,Gasoline,lancia,No,2016-03-31 00:00:00,78549,2016-04-06 05:17:47,2016,2016,March,March,6,5,27,11
2016-03-20 02:02:21,Lancia_Dedra_1.6_Youngtimer_Oldtimer_orig._62000_TKM_TÜV_neu!_Top,privat,Offer,2290,test,limousine,1993,manuell,75,andere,70000,Oct,Gasoline,lancia,No,2016-03-20 00:00:00,24536,2016-04-07 09:15:35,2016,2016,March,March,18,9,23,2
2016-03-21 09:54:34,Lancia_Lybra_als_Ersatzteilespender,privat,Offer,500,control,limousine,1999,automatik,154,lybra,150000,Apr,Gasoline,lancia,No,2016-03-21 00:00:00,31089,2016-04-06 03:46:00,2016,2016,March,March,16,3,17,8
2016-04-01 18:58:55,Lancia_Thesis_2.0_20v_Turbo_Soft_Emblema,privat,Offer,3500,control,limousine,2004,manuell,185,andere,125000,Oct,Gasoline,lancia,No,2016-04-01 00:00:00,65812,2016-04-07 14:56:54,2016,2016,April,April,6,14,12,2
2016-03-23 17:55:21,Lancia_Kappa_2.0,privat,Offer,2600,control,limousine,1999,manuell,155,kappa,125000,May,Gasoline,lancia,Yes,2016-03-23 00:00:00,54595,2016-04-05 23:15:54,2016,2016,March,March,13,23,17,7
2016-03-07 18:57:49,Lancia_Kappa_2.0_LE,privat,Offer,1000,control,limousine,1995,manuell,145,kappa,150000,Apr,Lpg,lancia,No,2016-03-07 00:00:00,22179,2016-04-07 05:46:09,2016,2016,March,March,31,5,21,8
2016-03-20 00:55:43,Lancia_Fulvia_Berlina_ll,privat,Offer,5999,control,limousine,1971,manuell,0,andere,80000,Jul,Gasoline,lancia,Other,2016-03-20 00:00:00,22085,2016-04-06 01:17:33,2016,2016,March,March,17,1,45,5
2016-03-30 07:54:15,Lancia_lancia_delta_hf,privat,Offer,6500,control,limousine,1991,manuell,131,delta,150000,Mar,Gasoline,lancia,No,2016-03-30 00:00:00,73257,2016-04-06 23:46:18,2016,2016,March,March,7,23,25,9
2016-03-27 14:54:49,Lancia_Delta_zu_verkaufen,privat,Offer,400,control,limousine,1995,Unspecified,0,delta,150000,Mar,Gasoline,lancia,Yes,2016-03-27 00:00:00,93083,2016-04-07 11:45:16,2016,2016,March,March,11,11,21,9
2016-03-10 12:49:23,Lancia_Thema_i.e._´91____Euro_2___fuer_Bastler,privat,Offer,370,test,limousine,1991,manuell,115,andere,100000,Jun,Gasoline,lancia,No,2016-03-10 00:00:00,94227,2016-04-07 06:45:03,2016,2016,March,March,28,6,25,6
2016-03-25 14:46:26,Lancia_Kappa,privat,Offer,650,control,limousine,1997,automatik,114,kappa,90000,May,Gasoline,lancia,Yes,2016-03-25 00:00:00,59423,2016-03-25 14:46:26,2016,2016,March,March,0,14,19,7
2016-03-17 16:49:12,Lancia_Lybra_1.8_LX,privat,Offer,888,test,limousine,2003,manuell,131,lybra,100000,Mar,Gasoline,lancia,No,2016-03-17 00:00:00,80807,2016-04-07 02:16:55,2016,2016,March,March,21,2,13,9
2016-03-07 18:47:57,Lancia_kappa_838_lpg_gas,privat,Offer,1000,control,limousine,1995,manuell,148,kappa,150000,Apr,Lpg,lancia,Yes,2016-03-07 00:00:00,22179,2016-03-12 15:46:58,2016,2016,March,March,5,15,21,8
2016-03-24 11:48:20,Lancia_Beta,privat,Offer,9990,test,limousine,1976,manuell,106,andere,5000,Sep,Gasoline,lancia,No,2016-03-24 00:00:00,55566,2016-04-03 01:21:06,2016,2016,March,March,10,1,40,3
