dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-15 18:50:55,Mazta_zu_verkaufen,privat,Offer,300,control,Other,2016,manuell,75,andere,150000,Jul,Other,mazda,No,2016-03-15 00:00:00,96231,2016-03-17 14:46:30,2016,2016,March,March,2,14,0,5
2016-03-27 20:56:44,Mazda_Premacy_Baujahr_2002,privat,Offer,800,control,Other,2005,manuell,101,andere,150000,Nov,Other,mazda,Other,2016-03-27 00:00:00,25899,2016-03-27 21:43:12,2016,2016,March,March,0,21,11,1
2016-03-26 18:53:29,Mazda_mx_5_nb_1.6_Liter__Cabriolet__,privat,Offer,2399,test,Other,2005,manuell,110,mx_reihe,150000,Jan,Other,mazda,Other,2016-03-26 00:00:00,47647,2016-04-06 09:15:58,2016,2016,March,March,11,9,11,11
2016-03-12 00:59:12,Mazda_626_Benziner,privat,Offer,400,test,Other,1995,manuell,0,6_reihe,150000,Jul,Gasoline,mazda,Other,2016-03-11 00:00:00,19230,2016-03-14 16:15:20,2016,2016,March,March,3,16,21,5
2016-04-02 17:50:36,Verkaufe_Mazda_6_Kombi_Diesel_Motor_2.0_oder_tausche,privat,Offer,1450,control,Other,2016,manuell,0,6_reihe,150000,Jan,Other,mazda,Other,2016-04-02 00:00:00,39576,2016-04-06 17:17:45,2016,2016,April,April,4,17,0,11
2016-04-01 07:55:36,Mazda_demio_TÜV_neu,privat,Offer,749,test,Other,2000,Unspecified,0,andere,150000,Jan,Other,mazda,Other,2016-04-01 00:00:00,92703,2016-04-03 05:15:56,2016,2016,April,April,2,5,16,11
2016-03-14 13:58:54,Mx5_na_1.8,privat,Offer,1350,test,Other,2016,manuell,0,mx_reihe,150000,Jan,Gasoline,mazda,Other,2016-03-14 00:00:00,52477,2016-03-22 07:17:44,2016,2016,March,March,8,7,0,11
2016-03-15 20:52:00,Mazda_626_TÜV_7.16_Mit_Klima_Zu_Verkaufen__VB!!!!,privat,Offer,499,test,Other,2016,manuell,0,6_reihe,150000,Jul,Gasoline,mazda,No,2016-03-15 00:00:00,27572,2016-03-15 20:52:00,2016,2016,March,March,0,20,0,5
2016-03-09 17:47:49,Mazda_6_Kombi_2.3Liter,privat,Offer,1055,test,Other,2005,Unspecified,0,6_reihe,150000,Jan,Gasoline,mazda,Other,2016-03-09 00:00:00,29525,2016-03-12 18:15:24,2016,2016,March,March,3,18,11,11
2016-04-03 17:44:42,Mazda_6_2.0_Diesel,privat,Offer,599,test,Other,2005,Unspecified,0,Other,150000,Jan,Other,mazda,Other,2016-04-03 00:00:00,79110,2016-04-03 17:44:42,2016,2016,April,April,0,17,11,11
2016-04-03 16:48:05,zu_verkaufen,privat,Offer,300,control,Other,2000,manuell,0,6_reihe,150000,Sep,Other,mazda,Other,2016-04-03 00:00:00,85354,2016-04-05 16:45:52,2016,2016,April,April,2,16,16,3
2016-03-20 00:57:50,Mazda_Xedos_6_V6,privat,Offer,750,control,Other,2000,manuell,140,Other,150000,May,Other,mazda,Other,2016-03-19 00:00:00,34477,2016-04-06 03:16:26,2016,2016,March,March,18,3,16,7
2016-03-08 10:57:29,Auto_zu_verkaufen,privat,Offer,400,test,Other,2016,Unspecified,90,Other,150000,Jan,Other,mazda,Other,2016-03-08 00:00:00,99817,2016-03-08 18:15:38,2016,2016,March,March,0,18,0,11
2016-03-28 21:25:29,Mazda_323__1.4_benz__Klima_,privat,Offer,800,test,Other,2016,manuell,0,Other,150000,Jun,Other,mazda,Other,2016-03-28 00:00:00,55257,2016-04-01 10:45:34,2016,2016,March,March,4,10,0,6
2016-04-02 10:44:20,Mazda_626_BJ_87,privat,Offer,0,test,Other,2016,manuell,150,Other,150000,Nov,Other,mazda,Yes,2016-04-02 00:00:00,95652,2016-04-04 07:17:55,2016,2016,April,April,2,7,0,1
2016-04-03 16:38:56,MAZDA_626_TÜV_01/18,privat,Offer,1350,control,Other,2000,Unspecified,0,6_reihe,125000,Jan,Other,mazda,Other,2016-04-03 00:00:00,44623,2016-04-03 16:38:56,2016,2016,April,April,0,16,16,11
2016-03-15 13:52:30,Verkaufe_Mazda_323F,privat,Offer,750,control,Other,2016,manuell,88,3_reihe,150000,May,Gasoline,mazda,Other,2016-03-15 00:00:00,87600,2016-04-06 03:16:10,2016,2016,March,March,22,3,0,7
2016-03-19 15:49:01,Mazda_Premacy_1._Hand_!!_Gasanlage_!!_8_Fach_bereift_!,privat,Offer,1150,control,Other,2005,manuell,0,andere,150000,Jan,Gasoline,mazda,No,2016-03-19 00:00:00,45127,2016-04-02 23:18:55,2016,2016,March,March,14,23,11,11
2016-03-30 20:44:04,Mazda_Rx8!!!_Nicht_fahrtauglich!!!,privat,Offer,1500,control,Other,2005,manuell,192,rx_reihe,150000,Jan,Other,mazda,Yes,2016-03-30 00:00:00,53773,2016-03-30 20:44:04,2016,2016,March,March,0,20,11,11
2016-03-14 12:54:27,Mazta_323_tuning,privat,Offer,1000,test,Other,2000,manuell,0,3_reihe,150000,Jan,Other,mazda,No,2016-03-14 00:00:00,27383,2016-04-05 13:47:12,2016,2016,March,March,22,13,16,11
2016-03-22 19:55:28,Mazda_626__2.0liter,privat,Offer,750,test,Other,2016,manuell,116,6_reihe,150000,Oct,Other,mazda,Other,2016-03-22 00:00:00,13581,2016-03-24 04:19:27,2016,2016,March,March,2,4,0,2
2016-04-02 15:57:01,Mazda626_limusine,privat,Offer,950,control,Other,2016,manuell,0,6_reihe,150000,Jun,Other,mazda,No,2016-04-02 00:00:00,65929,2016-04-03 21:31:28,2016,2016,April,April,1,21,0,6
2016-03-14 16:42:07,Mazda_zuverkaufen_reserviert,privat,Offer,350,test,Other,2000,Unspecified,0,Other,80000,Jan,Other,mazda,Other,2016-03-14 00:00:00,23992,2016-03-15 11:17:15,2016,2016,March,March,1,11,16,11
2016-03-25 15:51:18,Mazda_323F_1.8i_Klimaanl._elektr.Fenster_Alus_TÜV+ASU07/2016,privat,Offer,899,test,Other,2016,manuell,114,3_reihe,150000,Oct,Gasoline,mazda,Other,2016-03-25 00:00:00,13509,2016-03-27 03:17:12,2016,2016,March,March,2,3,0,2
2016-03-16 18:43:46,Mazda_626_Original_Kofferraumdichtung_Neu_und_OVP!,privat,Offer,0,control,Other,1990,Unspecified,0,Other,125000,Jan,Other,mazda,Other,2016-03-16 00:00:00,33602,2016-03-23 03:50:56,2016,2016,March,March,7,3,26,11
2016-03-20 10:56:45,Mazda_323_F_mit_53600_km_!!!!,privat,Offer,2700,control,Other,2016,manuell,0,3_reihe,60000,Apr,Other,mazda,No,2016-03-20 00:00:00,99867,2016-04-06 07:45:55,2016,2016,March,March,17,7,0,8
2016-04-04 10:51:57,Mazda_Premacy_1_9Liter_aus_2.Hand_108.000km_TÜV_08/16,privat,Offer,1600,control,Other,2016,Unspecified,0,andere,125000,Mar,Gasoline,mazda,No,2016-04-04 00:00:00,13357,2016-04-06 12:17:41,2016,2016,April,April,2,12,0,9
2016-03-29 15:59:05,Mazda_unfallwagen_|_Motor&getriebe_top|gas,privat,Offer,400,control,Other,2000,Unspecified,0,Other,5000,Feb,Lpg,mazda,Yes,2016-03-29 00:00:00,42697,2016-04-06 01:44:58,2016,2016,March,March,8,1,16,10
2016-03-14 09:37:34,Tuev_abgelaufen,privat,Offer,700,control,Other,2000,manuell,0,andere,150000,Jan,Other,mazda,No,2016-03-14 00:00:00,55232,2016-03-24 16:16:18,2016,2016,March,March,10,16,16,11
2016-03-06 17:48:16,Mazda_121_kein_tuf,privat,Offer,250,control,Other,2016,manuell,101,1_reihe,150000,Apr,Other,mazda,No,2016-03-06 00:00:00,45770,2016-03-14 05:45:19,2016,2016,March,March,8,5,0,8
2016-04-02 10:58:52,Mazda_323_F_LPG,privat,Offer,0,test,Other,2016,manuell,88,andere,150000,Feb,Other,mazda,Other,2016-04-02 00:00:00,40470,2016-04-06 09:16:53,2016,2016,April,April,4,9,0,10
2016-03-17 22:54:12,Verkaufe_Mazda_RX8,privat,Offer,2000,test,Other,2005,Unspecified,0,rx_reihe,100000,Jan,Other,mazda,Other,2016-03-17 00:00:00,17322,2016-03-21 06:16:17,2016,2016,March,March,4,6,11,11
2016-03-12 12:36:20,Mazda_Premacy,privat,Offer,400,test,Other,2016,manuell,101,andere,150000,Jan,Other,mazda,Yes,2016-03-12 00:00:00,53332,2016-04-06 12:45:53,2016,2016,March,March,25,12,0,11
2016-03-21 19:45:37,Ich_verkaufe_einen_Mazda_323F,privat,Offer,450,test,Other,2016,manuell,88,3_reihe,125000,Jan,Gasoline,mazda,Yes,2016-03-21 00:00:00,78567,2016-04-06 21:47:26,2016,2016,March,March,16,21,0,11
2016-03-26 15:38:53,Mazda_Premacy,privat,Offer,680,test,Other,2000,Unspecified,0,Other,150000,Jan,Other,mazda,Other,2016-03-26 00:00:00,79341,2016-04-06 03:17:40,2016,2016,March,March,11,3,16,11
2016-03-10 13:38:31,Mazdaa_626,privat,Offer,750,test,Other,2000,Unspecified,0,Other,150000,Jan,Other,mazda,Other,2016-03-10 00:00:00,86156,2016-03-26 00:47:12,2016,2016,March,March,16,0,16,11
2016-03-10 12:58:07,Mazda_626_j_bj_97_tuev_06.2016,privat,Offer,450,test,Other,2016,manuell,116,6_reihe,150000,Apr,Gasoline,mazda,No,2016-03-10 00:00:00,93183,2016-04-05 05:45:01,2016,2016,March,March,26,5,0,8
2016-03-28 16:50:02,Mazda_626_1.8_Spirit_GF,privat,Offer,1000,test,Other,2016,manuell,90,6_reihe,150000,Jan,Other,mazda,Other,2016-03-28 00:00:00,34121,2016-04-06 22:17:38,2016,2016,March,March,9,22,0,11
2016-03-11 10:50:15,Mazda_121_Fuer_Liebhaber___ausschlachten_oder_Export,privat,Offer,200,test,Other,1995,manuell,53,1_reihe,125000,May,Other,mazda,No,2016-03-11 00:00:00,35519,2016-04-05 18:44:36,2016,2016,March,March,25,18,21,7
2016-03-08 08:36:42,Auto_ist_in_einem_guten_Zustand.,privat,Offer,800,test,Other,2000,manuell,0,Other,150000,Jan,Gasoline,mazda,Yes,2016-03-08 00:00:00,24143,2016-03-08 09:48:38,2016,2016,March,March,0,9,16,11
2016-03-19 15:57:28,MAZDA_323F__SPORTY,privat,Offer,870,control,Other,2016,manuell,0,andere,150000,May,Gasoline,mazda,Other,2016-03-19 00:00:00,85540,2016-04-07 00:46:46,2016,2016,March,March,19,0,0,7
2016-04-03 08:36:21,Guenstiges_Auto_mit_TÜV_neu,privat,Offer,0,test,Other,2000,Unspecified,0,andere,150000,Jan,Other,mazda,Other,2016-04-03 00:00:00,92703,2016-04-03 08:36:21,2016,2016,April,April,0,8,16,11
2016-03-11 22:52:49,Mazda_626_1_9_Benziner,privat,Offer,499,control,Other,2016,manuell,0,6_reihe,150000,Sep,Other,mazda,No,2016-03-11 00:00:00,39110,2016-03-12 02:42:08,2016,2016,March,March,1,2,0,3
2016-03-06 18:49:26,Bastlerfahrzeug,privat,Offer,150,control,Other,2000,manuell,88,3_reihe,150000,Jan,Gasoline,mazda,Other,2016-03-06 00:00:00,66640,2016-04-06 22:17:31,2016,2016,March,March,31,22,16,11
2016-03-22 15:25:18,Mazda_6_Silber_Kombi,privat,Offer,1900,test,Other,2016,manuell,120,6_reihe,150000,Apr,Other,mazda,Other,2016-03-22 00:00:00,57629,2016-03-27 09:46:52,2016,2016,March,March,5,9,0,8
2016-03-29 15:47:00,Mazda_MX3_Coupe,privat,Offer,750,control,Other,2000,Unspecified,0,mx_reihe,150000,Jan,Other,mazda,Other,2016-03-29 00:00:00,91161,2016-04-06 01:17:31,2016,2016,March,March,8,1,16,11
2016-03-12 13:38:58,Mazda_626_Kombi_klima_fuer_export,privat,Offer,650,control,Other,2000,manuell,115,6_reihe,150000,Oct,Other,mazda,Other,2016-03-12 00:00:00,13127,2016-03-15 17:15:54,2016,2016,March,March,3,17,16,2
2016-03-12 13:59:18,Mazda_323F_ohne_TÜV,privat,Offer,150,control,Other,2000,Unspecified,0,3_reihe,150000,Jan,Other,mazda,Other,2016-03-12 00:00:00,34537,2016-03-12 13:59:18,2016,2016,March,March,0,13,16,11
2016-03-30 01:58:02,Mazda_626_Kombi_TÜV_bis_August_tausche,privat,Offer,0,test,Other,2000,Unspecified,0,Other,150000,Jan,Other,mazda,Other,2016-03-30 00:00:00,42555,2016-04-01 01:46:32,2016,2016,March,March,2,1,16,11
2016-03-24 20:48:23,Mazda_Kombi_Anhaengerkupplung_TÜV_bis_August,privat,Offer,450,test,Other,2000,manuell,136,andere,150000,Jan,Other,mazda,Other,2016-03-24 00:00:00,42555,2016-03-26 06:17:35,2016,2016,March,March,2,6,16,11
2016-03-17 00:36:42,Mazda_323_Bj_Diesel__Zahnriemen_gerissen,privat,Offer,500,test,Other,2005,manuell,0,3_reihe,150000,Jan,Diesel,mazda,Yes,2016-03-17 00:00:00,64673,2016-03-20 08:18:19,2016,2016,March,March,3,8,11,11
2016-03-10 19:38:55,Mazda_323F,privat,Offer,450,control,Other,2016,manuell,98,3_reihe,150000,Jan,Gasoline,mazda,Other,2016-03-10 00:00:00,86830,2016-03-10 19:38:55,2016,2016,March,March,0,19,0,11
2016-03-08 16:58:15,Mazda_323f_Bj_98,privat,Offer,100,test,Other,2000,Unspecified,88,3_reihe,150000,Jul,Other,mazda,Yes,2016-03-08 00:00:00,66399,2016-03-16 20:22:16,2016,2016,March,March,8,20,16,5
2016-03-24 09:36:42,Schoener_seltener_Mazda_MX_6,privat,Offer,750,control,Other,2016,manuell,0,mx_reihe,150000,Jan,Gasoline,mazda,No,2016-03-24 00:00:00,49124,2016-04-07 00:16:55,2016,2016,March,March,14,0,0,11
2016-03-10 19:58:04,Betriebsanleitung_Mazda_MX_5_Printed_1990,privat,Offer,30,control,Other,1990,Unspecified,0,mx_reihe,10000,Jan,Other,mazda,Other,2016-03-10 00:00:00,28203,2016-04-06 05:46:31,2016,2016,March,March,27,5,26,11
2016-03-15 07:57:19,NUR_HEUTE_1100_MAZDA_PREMACY,privat,Offer,900,test,Other,2016,manuell,0,andere,150000,Nov,Gasoline,mazda,No,2016-03-15 00:00:00,49424,2016-03-18 01:17:17,2016,2016,March,March,3,1,0,1
2016-03-06 00:47:00,Mazda_6_1.8_120PS_Tempomat_Klima,privat,Offer,1850,control,Other,2002,manuell,121,6_reihe,150000,Nov,Gasoline,mazda,No,2016-03-03 00:00:00,59192,2016-03-14 13:17:02,2016,2016,March,March,11,13,14,1
2016-03-19 16:39:16,MAZDA_GE_626,privat,Offer,450,test,Other,2016,manuell,90,6_reihe,150000,May,Gasoline,mazda,No,2016-03-19 00:00:00,12279,2016-03-24 11:44:27,2016,2016,March,March,5,11,0,7
2016-03-25 11:52:39,Mazda_323_rot_TÜV_10.2016,privat,Offer,100,test,Other,2016,Unspecified,0,3_reihe,150000,Jan,Other,mazda,Other,2016-03-25 00:00:00,66687,2016-03-30 00:47:35,2016,2016,March,March,5,0,0,11
