dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-15 18:57:12,MX5_Mazda_NB_Schlachtfest__Reifen_Bremsen_Miata_Teile,privat,Offer,3,control,cabrio,1998,manuell,110,mx_reihe,150000,Nov,Other,mazda,Yes,2016-03-15 00:00:00,89312,2016-04-06 21:16:58,2016,2016,March,March,22,21,18,1
2016-03-23 22:38:02,Mazda_MX_5_1.6i_16V_Memories,privat,Offer,6399,test,cabrio,2003,manuell,110,mx_reihe,80000,Apr,Gasoline,mazda,No,2016-03-23 00:00:00,34414,2016-04-06 06:45:54,2016,2016,March,March,14,6,13,8
2016-03-28 11:57:56,Mazda_MX_5_1.8_MZR_Roadster_Coupe,privat,Offer,10550,control,cabrio,2008,manuell,126,mx_reihe,100000,Oct,Gasoline,mazda,No,2016-03-28 00:00:00,45475,2016-04-06 14:17:40,2016,2016,March,March,9,14,8,2
2016-03-22 14:48:10,Mazda_MX_5_1.8_MZR_Energy,privat,Offer,8900,control,cabrio,2008,manuell,126,mx_reihe,70000,Mar,Gasoline,mazda,No,2016-03-22 00:00:00,13589,2016-04-06 03:46:13,2016,2016,March,March,15,3,8,9
2016-03-08 03:51:15,Mazda_MX5_Cabrio_rot__Jungtimer__Klappscheinwerfer,privat,Offer,7700,control,cabrio,1994,manuell,131,mx_reihe,30000,May,Gasoline,mazda,No,2016-03-08 00:00:00,35037,2016-03-09 20:30:50,2016,2016,March,March,1,20,22,7
2016-03-19 12:37:22,Mazda_MX_5_1.8_MZR_Energy,privat,Offer,7890,test,cabrio,2006,manuell,126,mx_reihe,125000,Sep,Gasoline,mazda,No,2016-03-19 00:00:00,41540,2016-04-06 16:16:29,2016,2016,March,March,18,16,10,3
2016-03-11 17:38:37,Mazda_MX_5_2.0_MZR_Energy_BOSE_NC_Alufelgen__Klima,privat,Offer,9200,control,cabrio,2006,manuell,160,mx_reihe,70000,May,Gasoline,mazda,No,2016-03-11 00:00:00,33659,2016-03-14 14:46:30,2016,2016,March,March,3,14,10,7
2016-03-08 10:39:36,Mazda_MX_5,privat,Offer,3390,test,cabrio,1996,manuell,0,mx_reihe,150000,Jun,Gasoline,mazda,No,2016-03-08 00:00:00,25485,2016-04-07 01:16:16,2016,2016,March,March,30,1,20,6
2016-04-01 16:56:57,Mazda_MX_5_1.9i_16V,privat,Offer,4000,control,cabrio,2002,manuell,145,mx_reihe,125000,Mar,Gasoline,mazda,No,2016-04-01 00:00:00,31787,2016-04-05 12:47:10,2016,2016,April,April,4,12,14,9
2016-03-24 23:54:29,Mazda_MX_5_1.6i_16V,privat,Offer,4990,test,cabrio,2003,manuell,110,mx_reihe,125000,Aug,Gasoline,mazda,No,2016-03-24 00:00:00,27628,2016-04-06 04:46:54,2016,2016,March,March,13,4,13,4
2016-03-07 01:48:22,Mazda_MX_5_1.6i_16V,privat,Offer,3400,control,cabrio,2003,manuell,110,mx_reihe,150000,Jun,Gasoline,mazda,No,2016-03-06 00:00:00,27777,2016-03-11 04:17:41,2016,2016,March,March,5,4,13,6
2016-03-17 20:37:19,Mazda_MX5_NB_Miata__Gewinde__Hardtop__9x16_Alus__Tuev__TOP!!!,privat,Offer,2350,control,cabrio,1999,manuell,110,mx_reihe,150000,Apr,Gasoline,mazda,No,2016-03-17 00:00:00,26655,2016-03-29 01:47:37,2016,2016,March,March,12,1,17,8
2016-03-24 18:36:57,Mazda_MX_5_1.9i_16V,privat,Offer,9999,test,cabrio,2002,manuell,145,mx_reihe,40000,Nov,Gasoline,mazda,No,2016-03-24 00:00:00,79713,2016-04-07 14:58:10,2016,2016,March,March,14,14,14,1
2016-03-23 12:37:21,Mazda_MX_5,privat,Offer,7700,control,cabrio,1990,manuell,116,mx_reihe,90000,May,Gasoline,mazda,No,2016-03-23 00:00:00,42781,2016-04-03 12:50:08,2016,2016,March,March,11,12,26,7
