dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-02 08:51:27,Mazda_323_Sporty,privat,Offer,1200,control,kleinwagen,2002,manuell,90,3_reihe,150000,Apr,Gasoline,mazda,Other,2016-04-02 00:00:00,6132,2016-04-06 07:15:25,2016,2016,April,April,4,7,14,8
2016-03-07 20:30:57,Mazda_121_mit_75_PS_TÜV_1/2018_115100_km,privat,Offer,700,test,kleinwagen,1994,manuell,75,1_reihe,125000,Mar,Gasoline,mazda,Other,2016-03-07 00:00:00,56072,2016-03-11 00:45:42,2016,2016,March,March,4,0,22,9
2016-03-23 17:59:14,Mazda_Demio_1.5i_55KW__75PS__AHK__Klima__4xFhb__ZvFb__Nebellampen,privat,Offer,480,control,kleinwagen,2001,manuell,75,andere,150000,Nov,Gasoline,mazda,Other,2016-03-23 00:00:00,26629,2016-03-23 17:59:14,2016,2016,March,March,0,17,15,1
2016-03-08 13:57:09,Mazda_323_auto,privat,Offer,350,control,kleinwagen,1996,manuell,0,3_reihe,150000,May,Gasoline,mazda,Other,2016-03-08 00:00:00,70188,2016-03-11 07:17:03,2016,2016,March,March,3,7,20,7
2016-03-31 19:40:53,Mazda_2_1.4_CD_Aut._Exclusive,privat,Offer,800,control,kleinwagen,2004,automatik,68,andere,150000,Oct,Diesel,mazda,No,2016-03-31 00:00:00,74821,2016-04-02 15:16:34,2016,2016,March,March,2,15,12,2
2016-03-19 15:43:34,Mazda_323P_zu_verkaufen_ohne_tuev_heute_Bitte_noch_abholen,privat,Offer,333,control,kleinwagen,1997,manuell,75,Other,125000,Mar,Gasoline,mazda,No,2016-03-19 00:00:00,37154,2016-03-20 17:19:55,2016,2016,March,March,1,17,19,9
2016-03-12 17:49:22,Mazda_2_1.6l,privat,Offer,2000,test,kleinwagen,2004,manuell,101,andere,20000,Jun,Gasoline,mazda,Yes,2016-03-12 00:00:00,39365,2016-04-07 09:45:54,2016,2016,March,March,26,9,12,6
2016-03-19 09:55:48,Mazda_121_DB__4_Tuerer__laeuft_und_laeuft,privat,Offer,399,test,kleinwagen,1995,manuell,53,1_reihe,150000,Mar,Gasoline,mazda,Other,2016-03-19 00:00:00,14089,2016-03-25 10:45:48,2016,2016,March,March,6,10,21,9
2016-03-29 07:58:50,Mazda_323_C_1.4_TÜV_09/14__54KW_71_PS,privat,Offer,795,test,kleinwagen,1996,manuell,73,3_reihe,150000,Oct,Gasoline,mazda,Yes,2016-03-29 00:00:00,63457,2016-04-05 16:46:54,2016,2016,March,March,7,16,20,2
2016-03-26 21:52:57,Mazda_121_16V_Canvas_Top_GLX,privat,Offer,990,control,kleinwagen,1994,manuell,72,1_reihe,125000,Jun,Gasoline,mazda,No,2016-03-26 00:00:00,88437,2016-04-06 13:46:53,2016,2016,March,March,11,13,22,6
2016-03-31 21:52:52,Mazda_3er_1997,privat,Offer,150,test,kleinwagen,1997,Unspecified,0,Other,150000,Jan,Gasoline,mazda,Other,2016-03-31 00:00:00,32545,2016-04-04 16:15:25,2016,2016,March,March,4,16,19,11
2016-03-19 11:50:02,Auto_zu_verkaufen_ohne_tuev_es_muss_heute_noch_weg,privat,Offer,333,test,kleinwagen,1997,manuell,73,Other,125000,Mar,Gasoline,mazda,No,2016-03-19 00:00:00,37547,2016-03-20 13:44:52,2016,2016,March,March,1,13,19,9
2016-03-05 15:43:33,Mazda_323_Facelift_TÜV/Au_Neu_mit___Klima_DVD_guter_Zustand!,privat,Offer,1850,control,kleinwagen,2003,manuell,98,3_reihe,150000,Jun,Gasoline,mazda,Other,2016-03-05 00:00:00,12435,2016-03-11 12:44:17,2016,2016,March,March,6,12,13,6
