dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-26 19:54:18,Mazda_3_1.6_Sport,privat,Offer,2000,control,limousine,2004,manuell,105,3_reihe,150000,Nov,Gasoline,mazda,No,2016-03-26 00:00:00,96224,2016-04-06 10:45:34,2016,2016,March,March,11,10,12,1
2016-04-01 00:51:10,Mazda_6._Scheckheft,privat,Offer,2000,test,limousine,2004,manuell,122,6_reihe,5000,Jul,Diesel,mazda,No,2016-03-31 00:00:00,54558,2016-04-05 00:44:27,2016,2016,March,April,5,0,12,5
2016-04-03 21:06:19,Mazda_3_2.2_MZR_CD_DPF_Sports_Line,privat,Offer,7700,test,limousine,2009,manuell,185,3_reihe,150000,May,Diesel,mazda,No,2016-04-03 00:00:00,35510,2016-04-05 12:10:46,2016,2016,April,April,2,12,7,7
2016-03-05 15:52:50,Mazda_626_1.9i_LX,privat,Offer,600,control,limousine,1994,manuell,105,6_reihe,150000,Apr,Gasoline,mazda,No,2016-03-05 00:00:00,30627,2016-04-03 17:45:54,2016,2016,March,March,29,17,22,8
2016-03-10 20:47:58,Mazda_626_2.0_Touring_Edition,privat,Offer,3000,test,limousine,2002,manuell,116,6_reihe,90000,Jun,Gasoline,mazda,No,2016-03-10 00:00:00,22955,2016-04-06 08:15:56,2016,2016,March,March,27,8,14,6
2016-03-10 15:38:18,Mazda_626_1.8_Liter_Euro_2_TÜV__5.2017,privat,Offer,999,test,limousine,1996,manuell,90,6_reihe,150000,Jul,Gasoline,mazda,No,2016-03-10 00:00:00,85757,2016-04-05 11:49:01,2016,2016,March,March,26,11,20,5
2016-03-21 12:47:40,Mazda_323F_Motorschaden!,privat,Offer,200,control,limousine,2001,manuell,0,3_reihe,150000,Jan,Diesel,mazda,Yes,2016-03-21 00:00:00,63853,2016-04-06 07:45:09,2016,2016,March,March,16,7,15,11
2016-03-12 08:55:29,Mazda_6_1.8L_benzin,privat,Offer,2500,control,limousine,2002,manuell,120,6_reihe,150000,Jan,Gasoline,mazda,Other,2016-03-12 00:00:00,57413,2016-03-14 17:44:38,2016,2016,March,March,2,17,14,11
2016-03-29 16:52:42,Mazda3_1.6_diesel_top_Zustand_super_Ausstattung,privat,Offer,3550,control,limousine,2006,manuell,110,3_reihe,5000,Jan,Other,mazda,No,2016-03-29 00:00:00,68307,2016-04-06 02:45:01,2016,2016,March,March,8,2,10,11
2016-03-05 14:41:53,Mazda_626_2.0i_GLE,privat,Offer,500,control,limousine,1992,manuell,116,6_reihe,150000,Apr,Gasoline,mazda,No,2016-03-05 00:00:00,86459,2016-04-07 09:45:15,2016,2016,March,March,33,9,24,8
2016-03-14 21:51:22,Mazda_121_dB_TÜV_03/2017_zuverlaessig,privat,Offer,300,test,limousine,1991,manuell,72,andere,150000,Sep,Gasoline,mazda,Yes,2016-03-14 00:00:00,69469,2016-03-24 04:46:02,2016,2016,March,March,10,4,25,3
2016-03-20 09:39:01,Mazda_323f_Tuev_bis_Januar_2018,privat,Offer,1250,control,limousine,2001,manuell,98,3_reihe,150000,Jan,Gasoline,mazda,No,2016-03-20 00:00:00,59192,2016-03-25 07:17:50,2016,2016,March,March,5,7,15,11
2016-04-03 14:42:58,Mazda_3_1.6_CD_Sport_DPF_Active_Plus,privat,Offer,5900,test,limousine,2007,manuell,109,3_reihe,90000,Nov,Diesel,mazda,Yes,2016-04-03 00:00:00,64665,2016-04-05 13:18:33,2016,2016,April,April,2,13,9,1
2016-03-06 13:51:33,Mazda_626_2.0_Exclusive,privat,Offer,722,test,limousine,1999,manuell,116,6_reihe,150000,Oct,Gasoline,mazda,No,2016-03-06 00:00:00,65779,2016-03-07 18:34:27,2016,2016,March,March,1,18,17,2
2016-03-20 18:58:23,Mazda_323_F_1.4,privat,Offer,1450,test,limousine,1998,manuell,73,3_reihe,100000,Sep,Gasoline,mazda,No,2016-03-20 00:00:00,20535,2016-04-07 02:45:30,2016,2016,March,March,18,2,18,3
2016-03-30 10:36:24,++_Mazda_6_GG_Sport_++_Unfall___NUR_HEUTE_!!_++,privat,Offer,799,test,limousine,2003,manuell,0,6_reihe,150000,Jun,Lpg,mazda,Yes,2016-03-30 00:00:00,45329,2016-03-30 11:47:36,2016,2016,March,March,0,11,13,6
2016-03-16 12:37:56,Mazda_323_F_1.6_sportive,privat,Offer,2399,test,limousine,2003,manuell,98,3_reihe,125000,Mar,Gasoline,mazda,No,2016-03-16 00:00:00,31787,2016-03-17 09:47:48,2016,2016,March,March,1,9,13,9
2016-03-26 01:57:26,Mazda_323_1.6i_GLX,privat,Offer,750,control,limousine,1990,manuell,84,3_reihe,150000,Aug,Gasoline,mazda,No,2016-03-26 00:00:00,22119,2016-04-05 19:47:06,2016,2016,March,March,10,19,26,4
2016-03-07 14:49:25,Mazda_3_1.6_Comfort,privat,Offer,3299,control,limousine,2005,manuell,105,3_reihe,150000,Apr,Gasoline,mazda,No,2016-03-07 00:00:00,90431,2016-03-07 14:49:25,2016,2016,March,March,0,14,11,8
