dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-28 19:21:47,Mazda_VOLLAUSSTATTUNG_CX_5_2.2_AWD_Aut_Sports_Line_AHK,privat,Offer,28800,test,suv,2014,automatik,175,cx_reihe,30000,Jan,Diesel,mazda,No,2016-03-27 00:00:00,65835,2016-04-06 03:15:53,2016,2016,March,March,10,3,2,11
2016-03-22 07:53:11,Mazda_CX7_2_2_AWD_Vollausstattung,privat,Offer,15450,control,suv,2011,manuell,173,cx_reihe,90000,Nov,Diesel,mazda,No,2016-03-22 00:00:00,26919,2016-04-07 11:17:30,2016,2016,March,March,16,11,5,1
2016-03-14 13:54:03,Mazda_CX_3_SKYACTIV_G_150_SKYACTIV_Drive_AWD_Sport...,privat,Offer,24500,test,suv,2015,automatik,150,cx_reihe,5000,Nov,Gasoline,mazda,No,2016-03-14 00:00:00,9131,2016-04-05 15:15:50,2016,2016,March,March,22,15,1,1
2016-03-31 21:37:23,Mazda_CX_5_SKYACTIV_D_175_AWD_Sports_Line,privat,Offer,28750,test,suv,2015,manuell,175,cx_reihe,20000,May,Diesel,mazda,No,2016-03-31 00:00:00,2748,2016-04-06 16:45:23,2016,2016,March,March,6,16,1,7
2016-04-03 13:55:31,Mazda_B_2500_Pick_Up_4WD,privat,Offer,2500,control,suv,2001,manuell,109,andere,150000,Apr,Diesel,mazda,Yes,2016-04-03 00:00:00,9247,2016-04-05 12:46:48,2016,2016,April,April,2,12,15,8
2016-03-30 14:47:19,Mazda_CX_7_2.2_MZR_CD_Prime_Line__AHK,privat,Offer,16900,control,suv,2010,manuell,173,cx_reihe,60000,Sep,Diesel,mazda,No,2016-03-30 00:00:00,93155,2016-04-07 05:17:29,2016,2016,March,March,8,5,6,3
2016-03-12 14:55:36,Mazda_Tribute_V6_4x4_Exclusive,privat,Offer,3900,test,suv,2002,automatik,197,andere,100000,Mar,Gasoline,mazda,No,2016-03-12 00:00:00,78078,2016-04-01 04:17:09,2016,2016,March,March,20,4,14,9
2016-04-03 14:25:35,Fuer_Bastler,privat,Offer,0,test,suv,2001,automatik,197,andere,150000,Jan,Gasoline,mazda,Other,2016-04-03 00:00:00,65558,2016-04-04 19:30:53,2016,2016,April,April,1,19,15,11
2016-03-15 19:47:24,Mazda_CX_5_2.2_SKYACTIV_D_AWD_Center_Line,privat,Offer,20650,control,suv,2012,manuell,150,cx_reihe,50000,Sep,Diesel,mazda,No,2016-03-15 00:00:00,35415,2016-04-07 01:16:48,2016,2016,March,March,23,1,4,3
2016-03-05 17:39:35,Mazda_CX_5_SKYACTIV_D_150,privat,Offer,24500,test,suv,2015,manuell,150,cx_reihe,20000,May,Diesel,mazda,No,2016-03-05 00:00:00,53639,2016-03-20 19:18:15,2016,2016,March,March,15,19,1,7
