dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-28 21:48:01,Mercedes__A_klasse___Unfall_!!!_,privat,Offer,500,control,Other,2000,Unspecified,0,Other,5000,Jan,Other,mercedes_benz,Other,2016-03-28 00:00:00,59075,2016-04-07 04:44:38,2016,2016,March,March,10,4,16,11
2016-03-28 21:54:31,Mercedes_Benz_E_220_D,privat,Offer,2750,control,Other,2000,Unspecified,0,e_klasse,150000,Jan,Other,mercedes_benz,Other,2016-03-28 00:00:00,48703,2016-03-30 14:45:37,2016,2016,March,March,2,14,16,11
2016-03-25 12:43:42,CLK_200_Coupe_Sport,privat,Offer,2400,test,Other,2016,manuell,147,clk,150000,Jul,Gasoline,mercedes_benz,No,2016-03-25 00:00:00,49808,2016-03-28 11:44:51,2016,2016,March,March,3,11,0,5
2016-03-25 20:55:19,Mercedes_Benz_Automatik_Auto_faehrt_einbahnfrei,privat,Offer,2700,control,Other,2016,automatik,111,a_klasse,150000,Mar,Gasoline,mercedes_benz,No,2016-03-25 00:00:00,49716,2016-04-07 05:16:39,2016,2016,March,March,13,5,0,9
2016-03-12 15:57:11,Mercedes_Benz__C_240,privat,Offer,3300,control,Other,2016,manuell,170,Other,150000,May,Other,mercedes_benz,Other,2016-03-12 00:00:00,55131,2016-03-13 17:30:59,2016,2016,March,March,1,17,0,7
2016-03-15 12:48:42,Mercedes_an_Bastler,privat,Offer,450,control,Other,2000,automatik,0,Other,150000,Jan,Diesel,mercedes_benz,Other,2016-03-15 00:00:00,59872,2016-03-16 08:45:22,2016,2016,March,March,1,8,16,11
2016-03-21 17:38:41,C180_Mercedes_Benz,privat,Offer,2899,control,Other,2016,manuell,130,c_klasse,150000,Sep,Gasoline,mercedes_benz,Other,2016-03-21 00:00:00,63739,2016-03-21 17:38:41,2016,2016,March,March,0,17,0,3
2016-03-09 20:40:00,Mercedes_Benz_208D,privat,Offer,2720,test,Other,1995,Unspecified,0,andere,150000,Jan,Other,mercedes_benz,Other,2016-03-09 00:00:00,26892,2016-03-11 04:46:20,2016,2016,March,March,2,4,21,11
2016-03-30 13:47:38,Bastler_sucht_dringend_w123__w124___w201,privat,Offer,999,test,Other,1990,Unspecified,0,Other,30000,Jan,Other,mercedes_benz,Other,2016-03-30 00:00:00,80803,2016-04-01 07:48:39,2016,2016,March,March,2,7,26,11
2016-03-14 13:39:01,Rueckbank_fuer_MB_190_E_w201,privat,Offer,80,test,Other,1990,Unspecified,0,andere,150000,Jan,Other,mercedes_benz,Other,2016-03-14 00:00:00,68623,2016-04-05 13:46:50,2016,2016,March,March,22,13,26,11
2016-03-11 03:03:12,Autotransport,privat,Offer,1000,control,Other,2006,Unspecified,0,Other,100000,Jan,Other,mercedes_benz,Other,2016-03-11 00:00:00,64295,2016-03-11 08:39:02,2016,2016,March,March,0,8,10,11
