dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-22 17:45:41,Mercedes_Benz_C_180_T_Kompressor_Avantgarde,privat,Offer,7999,control,kombi,2008,manuell,156,c_klasse,150000,Oct,Gasoline,mercedes_benz,No,2016-03-22 00:00:00,83355,2016-03-25 09:47:43,2016,2016,March,March,3,9,8,2
2016-03-23 18:59:37,Mercedes_Benz_C_220_T_CDI_Avantgarde,privat,Offer,3300,test,kombi,2005,manuell,150,c_klasse,150000,Sep,Diesel,mercedes_benz,Yes,2016-03-23 00:00:00,29221,2016-03-23 18:59:37,2016,2016,March,March,0,18,11,3
2016-03-26 07:36:20,verkaufe_Mercedes_Benz_220_CDI_Sport_8_fach_Bereift,privat,Offer,900,test,kombi,1999,manuell,125,c_klasse,150000,Jul,Diesel,mercedes_benz,No,2016-03-26 00:00:00,37130,2016-03-29 11:44:47,2016,2016,March,March,3,11,17,5
2016-03-09 20:37:42,Mercedes_Benz_E_270_T_CDI,privat,Offer,2990,test,kombi,2001,automatik,170,e_klasse,150000,Jan,Diesel,mercedes_benz,No,2016-03-09 00:00:00,53520,2016-03-17 02:45:51,2016,2016,March,March,8,2,15,11
2016-03-21 00:59:18,Mercedes_Benz_E320_Cdi_/TÜV_05.2017_//Vollaustattung,privat,Offer,2390,test,kombi,2000,automatik,197,e_klasse,150000,May,Diesel,mercedes_benz,No,2016-03-20 00:00:00,27474,2016-04-05 22:46:06,2016,2016,March,March,16,22,16,7
2016-03-16 11:46:23,Mercedes_Benz_CDI_Kombi_Elegance,privat,Offer,4650,test,kombi,2005,automatik,150,c_klasse,150000,Aug,Diesel,mercedes_benz,Other,2016-03-16 00:00:00,12109,2016-03-20 09:44:22,2016,2016,March,March,4,9,11,4
2016-03-14 15:56:43,Mercedes_Benz_C_200_T_CDI_Avantgarde_DPF,privat,Offer,5499,control,kombi,2004,manuell,122,c_klasse,150000,Sep,Diesel,mercedes_benz,No,2016-03-14 00:00:00,60318,2016-03-17 07:17:11,2016,2016,March,March,3,7,12,3
2016-03-26 10:48:12,Mercedes_E_Klasse_kotfuegel_richt,privat,Offer,130,test,kombi,1998,Unspecified,0,e_klasse,150000,Jan,Other,mercedes_benz,Other,2016-03-26 00:00:00,22047,2016-04-05 22:15:49,2016,2016,March,March,10,22,18,11
2016-03-15 19:58:30,Mercedes_Benz_C_220_T_CDI_Elegance,privat,Offer,2500,control,kombi,2001,automatik,150,c_klasse,150000,Nov,Diesel,mercedes_benz,No,2016-03-15 00:00:00,22549,2016-04-04 23:18:49,2016,2016,March,March,20,23,15,1
2016-03-16 17:38:52,Mercedes_Benz_C_220_T_CDI_Avantgarde,privat,Offer,11700,control,kombi,2008,manuell,170,andere,150000,Jul,Diesel,mercedes_benz,No,2016-03-16 00:00:00,91717,2016-04-06 23:16:34,2016,2016,March,March,21,23,8,5
2016-03-31 14:53:55,Mercedes_Benz_E220CDI_Kombi_Automatik,privat,Offer,1200,control,kombi,1999,automatik,125,c_klasse,150000,Feb,Diesel,mercedes_benz,No,2016-03-31 00:00:00,53123,2016-04-06 08:17:03,2016,2016,March,March,6,8,17,10
2016-03-25 17:52:18,Mercedes_Benz_C_180_T_Kompressor_Automatik_Elegance,privat,Offer,7600,test,kombi,2004,automatik,143,c_klasse,150000,Nov,Gasoline,mercedes_benz,No,2016-03-25 00:00:00,27777,2016-04-06 23:17:08,2016,2016,March,March,12,23,12,1
2016-03-23 10:50:58,Mercedes_Benz_E_220_T_CDI_Automatik_Classic,privat,Offer,8100,control,kombi,2004,automatik,150,e_klasse,150000,Mar,Diesel,mercedes_benz,No,2016-03-23 00:00:00,76872,2016-04-07 12:16:23,2016,2016,March,March,15,12,12,9
2016-03-26 08:49:58,MERCEDES_BENZ_C_200_T_CDI_AVANTGARDE,privat,Offer,9600,test,kombi,2008,manuell,136,c_klasse,150000,Aug,Diesel,mercedes_benz,No,2016-03-26 00:00:00,14513,2016-03-26 09:41:36,2016,2016,March,March,0,9,8,4
2016-03-27 14:40:52,C_180_T_BlueEFFICIENCY_7G_TRONIC_Avantgarde,privat,Offer,8000,control,kombi,2011,automatik,156,c_klasse,30000,Aug,Gasoline,mercedes_benz,No,2016-03-27 00:00:00,10115,2016-03-27 14:40:52,2016,2016,March,March,0,14,5,4
2016-03-07 11:38:18,Mercedes_Benz_E_220_T_CDI,privat,Offer,3500,test,kombi,2000,automatik,143,e_klasse,150000,Feb,Diesel,mercedes_benz,No,2016-03-07 00:00:00,38518,2016-04-07 06:17:05,2016,2016,March,March,31,6,16,10
2016-03-16 07:55:15,Mercedes_benz_c_200_vollausstattung_2_Hand,privat,Offer,5200,control,kombi,2001,automatik,163,c_klasse,125000,Mar,Gasoline,mercedes_benz,No,2016-03-16 00:00:00,14772,2016-03-17 07:47:42,2016,2016,March,March,1,7,15,9
2016-03-21 10:50:50,E_280_T_CDI_Avantgarde_DPF___AHK__Klima__Airmatic__Volleder__Alu,privat,Offer,8850,test,kombi,2005,automatik,190,e_klasse,150000,Aug,Diesel,mercedes_benz,No,2016-03-21 00:00:00,64347,2016-04-02 06:18:08,2016,2016,March,March,12,6,11,4
2016-04-01 13:42:49,Mercedes_Benz_C_180_T,privat,Offer,750,test,kombi,1997,manuell,122,c_klasse,150000,Jul,Gasoline,mercedes_benz,No,2016-04-01 00:00:00,17039,2016-04-03 09:18:33,2016,2016,April,April,2,9,19,5
2016-03-17 14:56:29,C_220CDI_KOMBI_TÜV_NEU_DPF_MOPF_FACELIFT,privat,Offer,5900,control,kombi,2004,manuell,150,Other,150000,Feb,Diesel,mercedes_benz,No,2016-03-17 00:00:00,58089,2016-03-20 16:50:14,2016,2016,March,March,3,16,12,10
2016-03-09 14:50:51,Mercedes_Benz_E_220_T_CDI_Automatik_Elegance_DPF,privat,Offer,3500,test,kombi,2006,automatik,170,e_klasse,150000,Sep,Diesel,mercedes_benz,No,2016-03-09 00:00:00,40227,2016-03-10 10:45:25,2016,2016,March,March,1,10,10,3
2016-03-07 09:39:18,Mercedes_Benz_Vito_112_CDI,privat,Offer,2100,control,kombi,2002,manuell,122,vito,150000,Apr,Diesel,mercedes_benz,No,2016-03-07 00:00:00,94094,2016-03-07 16:17:30,2016,2016,March,March,0,16,14,8
2016-03-05 22:40:43,Mercedes_E__Klasse_T_Modell____w210_Kombi,privat,Offer,1000,control,kombi,2000,automatik,170,e_klasse,150000,Nov,Gasoline,mercedes_benz,Other,2016-03-05 00:00:00,41352,2016-03-12 02:45:47,2016,2016,March,March,7,2,16,1
2016-03-09 12:57:10,Mercedes_Benz_C_200_T_Kompressor_Elegance,privat,Offer,7400,control,kombi,2005,automatik,163,c_klasse,150000,Oct,Gasoline,mercedes_benz,No,2016-03-09 00:00:00,63533,2016-04-06 01:47:22,2016,2016,March,March,28,1,11,2
2016-03-28 09:53:44,Mercedes_Benz_W123_240_TD_Stahlschiebedach_H_kennzeichen_01.2018,privat,Offer,6990,control,kombi,1983,manuell,72,e_klasse,150000,Jun,Diesel,mercedes_benz,No,2016-03-28 00:00:00,31737,2016-04-06 11:16:20,2016,2016,March,March,9,11,33,6
2016-04-03 22:42:54,Mercedes_C240_mit_LPG_Anlage,privat,Offer,3300,control,kombi,2003,manuell,170,c_klasse,150000,Apr,Lpg,mercedes_benz,No,2016-04-03 00:00:00,53809,2016-04-03 22:42:54,2016,2016,April,April,0,22,13,8
2016-04-03 21:56:00,Mercedes_Benz_E_430_T_Avantgarde_V8_Kombi__schwarz__Leder,privat,Offer,2100,test,kombi,1999,automatik,279,e_klasse,150000,Jan,Gasoline,mercedes_benz,No,2016-04-03 00:00:00,22765,2016-04-05 23:44:56,2016,2016,April,April,2,23,17,11
2016-04-04 00:37:00,Mercedes_Benz_E_300_T_Model_Leder_SSD_Klima_Automatik,privat,Offer,1999,test,kombi,1991,automatik,179,e_klasse,150000,Jun,Gasoline,mercedes_benz,Yes,2016-04-04 00:00:00,70619,2016-04-06 09:16:38,2016,2016,April,April,2,9,25,6
2016-04-02 20:52:06,Mercedes_E_320_T_CDI_DPF_Elegance_Xenon_AHK,privat,Offer,4950,test,kombi,2004,automatik,204,e_klasse,150000,Mar,Diesel,mercedes_benz,No,2016-04-02 00:00:00,13347,2016-04-06 21:44:35,2016,2016,April,April,4,21,12,9
2016-04-03 12:51:32,Mercedes_250TD_5_Gg._Schaltgetriebe_Diesel_W124_E_Klasse_T_Modell,privat,Offer,1049,control,kombi,1993,manuell,113,e_klasse,150000,Jan,Diesel,mercedes_benz,Other,2016-04-03 00:00:00,78166,2016-04-05 11:18:40,2016,2016,April,April,2,11,23,11
2016-03-20 19:55:12,mercedes_c_180_t_kombi_mit_neuen_service_und_neuen_tuev,privat,Offer,1500,test,kombi,1998,manuell,122,c_klasse,150000,Mar,Gasoline,mercedes_benz,No,2016-03-20 00:00:00,7318,2016-03-30 10:48:58,2016,2016,March,March,10,10,18,9
