dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-22 19:56:01,Mercedes_Benz_ML_350_CDI_4Matic_7G_TRONIC_DPF_BRABUS_AMG,privat,Offer,27500,test,suv,2009,automatik,224,m_klasse,150000,Nov,Diesel,mercedes_benz,No,2016-03-22 00:00:00,54636,2016-04-06 13:16:23,2016,2016,March,March,15,13,7,1
2016-03-31 21:59:23,Mercedes_Benz_ML_63_AMG_4Matic_7G_TRONIC,privat,Offer,21500,test,suv,2007,automatik,510,m_klasse,150000,Apr,Lpg,mercedes_benz,No,2016-03-31 00:00:00,33178,2016-04-06 17:45:19,2016,2016,March,March,6,17,9,8
2016-03-24 09:51:55,Mercedes_Benz_GLK_320_CDI_DPF_4Matic_7G_TRONIC,privat,Offer,21500,control,suv,2009,automatik,224,glk,90000,Aug,Diesel,mercedes_benz,No,2016-03-24 00:00:00,71691,2016-04-02 22:45:18,2016,2016,March,March,9,22,7,4
2016-04-04 16:49:02,Mercedes_Benz_GLK_350_CDI_DPF_4Matic_7G_TRONIC,privat,Offer,26500,test,suv,2011,automatik,231,glk,70000,Oct,Diesel,mercedes_benz,No,2016-04-04 00:00:00,22395,2016-04-04 16:49:02,2016,2016,April,April,0,16,5,2
2016-03-21 00:59:14,Mercedes_Benz_400_CDI_Final_Edition,privat,Offer,9999,test,suv,2005,automatik,250,m_klasse,150000,Nov,Diesel,mercedes_benz,No,2016-03-20 00:00:00,13089,2016-04-05 22:45:48,2016,2016,March,March,16,22,11,1
2016-03-10 07:36:19,Mercedes_benz_ML_280,privat,Offer,16000,control,suv,2007,automatik,190,m_klasse,150000,Oct,Diesel,mercedes_benz,No,2016-03-10 00:00:00,37154,2016-04-06 02:44:31,2016,2016,March,March,27,2,9,2
2016-03-21 20:45:59,Mercedes_Benz_ML_320_CDI_4Matic_7G_TRONIC,privat,Offer,23900,control,suv,2007,automatik,224,m_klasse,80000,Nov,Diesel,mercedes_benz,No,2016-03-21 00:00:00,97990,2016-03-23 02:15:41,2016,2016,March,March,2,2,9,1
2016-03-22 00:57:22,Mercedes_Benz_ML_320_CDI_4Matic_7G_TRONIC_DPF,privat,Offer,22950,control,suv,2009,automatik,224,m_klasse,100000,May,Diesel,mercedes_benz,No,2016-03-21 00:00:00,73033,2016-03-23 15:19:07,2016,2016,March,March,2,15,7,7
2016-03-26 19:55:29,Mercedes_Benz_ML_500_7G_TRONIC,privat,Offer,15500,control,suv,2006,automatik,306,m_klasse,150000,Mar,Lpg,mercedes_benz,No,2016-03-26 00:00:00,44575,2016-04-06 10:45:20,2016,2016,March,March,11,10,10,9
2016-03-08 17:57:40,Mercedes_Benz_ML_400_CDI_Exclusive,privat,Offer,5000,control,suv,2002,automatik,250,m_klasse,150000,Jan,Diesel,mercedes_benz,No,2016-03-08 00:00:00,73431,2016-03-12 17:44:49,2016,2016,March,March,4,17,14,11
