dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-05 22:06:26,Die_Cabriolet_Saison_ist_eroeffnet!,privat,Offer,8750,control,cabrio,2006,manuell,116,cooper,150000,Oct,Gasoline,mini,No,2016-04-05 00:00:00,65812,2016-04-05 22:25:36,2016,2016,April,April,0,22,10,2
2016-03-27 22:49:44,Mini_Cooper_Cabrio,privat,Offer,7500,test,cabrio,2005,manuell,115,cooper,125000,Feb,Gasoline,mini,No,2016-03-27 00:00:00,67112,2016-04-05 22:46:51,2016,2016,March,March,9,22,11,10
2016-03-15 22:53:34,Mini_Cooper_S_Cabrio_Pepper_White,privat,Offer,12490,control,cabrio,2010,automatik,185,cooper,125000,Jul,Other,mini,Other,2016-03-15 00:00:00,55583,2016-03-26 08:46:01,2016,2016,March,March,11,8,6,5
2016-03-24 05:36:24,MINI_Cooper_S_Cabrio_xenon_PDC_Start_Stop,privat,Offer,13990,control,cabrio,2010,manuell,174,cooper,80000,Jun,Gasoline,mini,No,2016-03-24 00:00:00,24392,2016-04-06 21:46:47,2016,2016,March,March,13,21,6,6
2016-03-24 14:59:59,MINI_Mini_Cooper_Cabrio,privat,Offer,8900,test,cabrio,2006,manuell,116,cooper,80000,Jun,Gasoline,mini,No,2016-03-24 00:00:00,20249,2016-04-07 06:45:24,2016,2016,March,March,14,6,10,6
2016-04-03 14:54:14,MINI_Cooper_Cabrio,privat,Offer,8400,test,cabrio,2004,manuell,116,cooper,90000,Jul,Gasoline,mini,No,2016-04-03 00:00:00,60320,2016-04-06 21:45:15,2016,2016,April,April,3,21,12,5
2016-03-12 15:49:45,Mini_Cabrio_Cooper_S_inkl._Sommerreifen_u._Mini_Alufelgen,privat,Offer,16300,control,cabrio,2010,manuell,174,cooper,50000,Mar,Gasoline,mini,No,2016-03-12 00:00:00,4229,2016-04-07 04:16:48,2016,2016,March,March,26,4,6,9
2016-03-30 20:53:03,MINI_Cooper_S_Cabrio,privat,Offer,10499,control,cabrio,2006,manuell,170,cooper,125000,Jul,Gasoline,mini,No,2016-03-30 00:00:00,81476,2016-04-07 13:18:08,2016,2016,March,March,8,13,10,5
2016-04-02 19:38:22,MINI_Cooper_S_Cabrio_Aut/Leder/Chili/Navi/Xenon,privat,Offer,20990,control,cabrio,2012,automatik,184,cooper,20000,Mar,Gasoline,mini,No,2016-04-02 00:00:00,38104,2016-04-04 17:45:20,2016,2016,April,April,2,17,4,9
2016-03-17 20:50:38,Mini_Cooper_Cabrio,privat,Offer,12990,control,cabrio,2010,manuell,122,andere,60000,May,Gasoline,mini,No,2016-03-17 00:00:00,31162,2016-04-07 09:46:35,2016,2016,March,March,21,9,6,7
2016-03-22 14:47:49,MINI_Mini_Cooper_Cabrio_Cilli___Schmuckstueck!!!,privat,Offer,8490,control,cabrio,2005,manuell,116,cooper,150000,Nov,Gasoline,mini,No,2016-03-22 00:00:00,83367,2016-04-06 03:46:07,2016,2016,March,March,15,3,11,1
2016-03-16 15:57:06,MINI_One_Cabrio,privat,Offer,13000,test,cabrio,2010,manuell,98,one,50000,Nov,Gasoline,mini,No,2016-03-16 00:00:00,61118,2016-04-05 21:46:20,2016,2016,March,March,20,21,6,1
2016-03-25 12:51:32,MINI_Cooper_Cabrio___Chilli/Xenon/Leder/Sitzhzg/Klima,privat,Offer,12700,test,cabrio,2009,manuell,120,cooper,90000,Apr,Gasoline,mini,No,2016-03-25 00:00:00,33613,2016-03-25 12:51:32,2016,2016,March,March,0,12,7,8
2016-04-04 08:56:50,Mini_Cooper_Cabrio,privat,Offer,15800,control,cabrio,2013,manuell,122,cooper,30000,May,Other,mini,Other,2016-04-04 00:00:00,38820,2016-04-06 10:16:44,2016,2016,April,April,2,10,3,7
2016-03-30 15:57:51,MINI_One_Cabrio,privat,Offer,7300,test,cabrio,2006,manuell,90,one,100000,Apr,Gasoline,mini,No,2016-03-30 00:00:00,37434,2016-04-05 04:46:51,2016,2016,March,March,6,4,10,8
2016-03-18 23:38:56,Mini_Cooper_S_Cabrio_Pepper_White,privat,Offer,12990,test,cabrio,2010,Unspecified,185,cooper,125000,Jul,Gasoline,mini,Other,2016-03-18 00:00:00,55543,2016-04-06 02:15:29,2016,2016,March,March,19,2,6,5
2016-04-05 15:06:19,MINI_Cooper_D_Cabrio/Highgate/Navi/Chili_Paket/Leder,privat,Offer,18870,test,cabrio,2012,manuell,111,cooper,70000,Mar,Diesel,mini,No,2016-04-05 00:00:00,35435,2016-04-05 15:06:19,2016,2016,April,April,0,15,4,9
2016-03-21 19:36:22,MINI_Cooper_Cabrio,privat,Offer,8200,test,cabrio,2005,manuell,116,cooper,125000,Jun,Gasoline,mini,No,2016-03-21 00:00:00,31224,2016-03-24 09:15:29,2016,2016,March,March,3,9,11,6
2016-03-31 16:58:35,MINI_Cooper_S_Cabrio__Autom.__schwarz__Leder__Xenon,privat,Offer,13900,control,cabrio,2009,automatik,174,cooper,60000,Nov,Gasoline,mini,No,2016-03-31 00:00:00,97688,2016-04-06 10:46:15,2016,2016,March,March,6,10,7,1
2016-04-01 07:36:39,Mini_cooper_s_cabrio_1hand_19000km_top!!!!,privat,Offer,17200,test,cabrio,2011,manuell,184,cooper,20000,Nov,Gasoline,mini,No,2016-04-01 00:00:00,74547,2016-04-07 05:15:41,2016,2016,April,April,6,5,5,1
2016-03-11 22:50:36,MINI_Mini_One_Cabrio_Pepper_Unfallfrei_Leder_17_Zoll,privat,Offer,7500,control,cabrio,2005,manuell,90,one,125000,Apr,Gasoline,mini,No,2016-03-11 00:00:00,46149,2016-03-17 18:18:46,2016,2016,March,March,6,18,11,8
2016-04-03 16:39:03,MINI_Cooper_Cabrio,privat,Offer,5900,control,cabrio,2004,manuell,116,cooper,125000,Aug,Gasoline,mini,No,2016-04-03 00:00:00,81477,2016-04-05 15:46:08,2016,2016,April,April,2,15,12,4
2016-03-25 09:58:44,MINI_Cooper_S_Cabrio,privat,Offer,19599,test,cabrio,2011,manuell,184,cooper,60000,Nov,Gasoline,mini,No,2016-03-25 00:00:00,88518,2016-04-06 08:46:12,2016,2016,March,March,12,8,5,1
2016-03-10 01:32:35,MINI_Cooper_Cabrio,privat,Offer,11490,control,cabrio,2007,automatik,116,cooper,80000,May,Gasoline,mini,No,2016-03-10 00:00:00,61348,2016-04-06 04:44:27,2016,2016,March,March,27,4,9,7
2016-03-20 20:46:49,MINI_Cooper_S_Roadster,privat,Offer,20500,test,cabrio,2012,Unspecified,0,cooper,30000,Jul,Other,mini,No,2016-03-20 00:00:00,22527,2016-04-07 05:17:36,2016,2016,March,March,18,5,4,5
2016-03-12 17:45:27,MINI_Cooper_Cabrio__Navi__Vollleder__8_fach_bereift,privat,Offer,9999,test,cabrio,2005,manuell,116,cooper,50000,Jun,Gasoline,mini,No,2016-03-12 00:00:00,85521,2016-03-12 17:45:27,2016,2016,March,March,0,17,11,6
2016-03-14 19:43:49,MINI_Mini_Cooper_Cabrio,privat,Offer,17490,control,cabrio,2011,manuell,122,cooper,60000,Jul,Gasoline,mini,No,2016-03-14 00:00:00,71570,2016-03-21 11:16:42,2016,2016,March,March,7,11,5,5
2016-03-14 14:50:12,MINI_Mini_Cooper_Cabrio___Leder__Sportsitze_Klima_uvm,privat,Offer,7299,control,cabrio,2006,manuell,116,cooper,150000,Nov,Gasoline,mini,No,2016-03-14 00:00:00,58095,2016-03-31 01:17:22,2016,2016,March,March,17,1,10,1
2016-04-02 20:50:53,MINI_Cooper_S_Cabrio,privat,Offer,10850,test,cabrio,2007,manuell,170,cooper,70000,Jun,Gasoline,mini,No,2016-04-02 00:00:00,83627,2016-04-06 21:44:30,2016,2016,April,April,4,21,9,6
2016-04-04 12:45:26,Mini_Cooper_Cabrio___SIDEWALK___in_Bestzustand,privat,Offer,12250,control,cabrio,2008,manuell,116,cooper,60000,Jul,Gasoline,mini,No,2016-04-04 00:00:00,26188,2016-04-06 13:45:21,2016,2016,April,April,2,13,8,5
2016-03-23 21:37:44,MINI_Mini_Cooper_S_Cabrio,privat,Offer,17800,test,cabrio,2009,automatik,174,cooper,50000,Aug,Gasoline,mini,No,2016-03-23 00:00:00,28355,2016-04-06 04:15:24,2016,2016,March,March,14,4,7,4
2016-04-03 14:39:56,MINI_One_Cabrio,privat,Offer,14990,test,cabrio,2014,manuell,98,one,70000,Apr,Gasoline,mini,No,2016-04-03 00:00:00,28832,2016-04-05 13:18:16,2016,2016,April,April,2,13,2,8
2016-04-01 19:43:47,MINI_Mini_Cooper_S_Cabrio,privat,Offer,8888,control,cabrio,2005,manuell,170,cooper,150000,Jan,Gasoline,mini,No,2016-04-01 00:00:00,47228,2016-04-05 15:45:12,2016,2016,April,April,4,15,11,11
2016-04-03 17:36:19,MINI_Cooper_Cabrio_schwarz_Vollleder,privat,Offer,11300,test,cabrio,2009,manuell,120,cooper,100000,Apr,Gasoline,mini,No,2016-04-03 00:00:00,64823,2016-04-05 17:26:24,2016,2016,April,April,2,17,7,8
2016-03-16 18:37:24,MINI_Cooper_Cabrio_/_PDC_/_Alufelgen__Winter__inkl.,privat,Offer,14650,control,cabrio,2011,automatik,122,cooper,40000,May,Gasoline,mini,No,2016-03-16 00:00:00,41238,2016-03-24 11:45:10,2016,2016,March,March,8,11,5,7
2016-04-03 16:56:34,MINI_One_Cabrio,privat,Offer,7700,control,cabrio,2004,manuell,90,one,70000,Nov,Gasoline,mini,No,2016-04-03 00:00:00,67346,2016-04-05 16:46:31,2016,2016,April,April,2,16,12,1
2016-03-25 08:51:37,Mini_Cooper_S_Cabrio_Roadster_Kompressor,privat,Offer,10300,control,cabrio,2006,manuell,170,cooper,80000,Mar,Gasoline,mini,No,2016-03-25 00:00:00,45701,2016-03-28 07:16:09,2016,2016,March,March,3,7,10,9
2016-03-20 16:58:44,MINI_Cooper_S_Cabrio,privat,Offer,12000,test,cabrio,2006,manuell,211,cooper,50000,Apr,Gasoline,mini,No,2016-03-20 00:00:00,80337,2016-04-06 22:47:14,2016,2016,March,March,17,22,10,8
2016-03-27 21:39:04,MINI_Cooper_S_Cabrio,privat,Offer,16700,test,cabrio,2009,automatik,184,cooper,40000,May,Gasoline,mini,No,2016-03-27 00:00:00,70372,2016-04-05 20:17:25,2016,2016,March,March,9,20,7,7
2016-04-02 14:44:30,MINI_Cooper_Cabrio_1.6,privat,Offer,20200,test,cabrio,2014,manuell,122,cooper,40000,Mar,Gasoline,mini,No,2016-04-02 00:00:00,76530,2016-04-06 12:46:19,2016,2016,April,April,4,12,2,9
2016-03-26 18:51:02,MINI_Cooper_Cabrio__Leder__Klimaaut.__Alu__Sportsitze,privat,Offer,12950,test,cabrio,2010,manuell,122,cooper,40000,Jul,Gasoline,mini,No,2016-03-26 00:00:00,22175,2016-04-06 08:17:21,2016,2016,March,March,11,8,6,5
2016-03-20 23:52:33,MINI_Cooper_S_Cabrio__1.Hd.__Nichtraucher__Checkheft,privat,Offer,13800,control,cabrio,2009,manuell,174,cooper,90000,Aug,Gasoline,mini,No,2016-03-20 00:00:00,47269,2016-04-01 23:16:52,2016,2016,March,March,12,23,7,4
2016-04-01 20:25:20,MINI_One_Cabrio,privat,Offer,16999,control,cabrio,2012,manuell,98,one,40000,Apr,Gasoline,mini,No,2016-04-01 00:00:00,61462,2016-04-05 12:47:04,2016,2016,April,April,4,12,4,8
2016-03-30 21:53:29,MINI_Cooper_S_Cabrio,privat,Offer,12500,test,cabrio,2006,manuell,170,cooper,70000,Nov,Gasoline,mini,No,2016-03-30 00:00:00,44869,2016-04-05 13:16:04,2016,2016,March,March,6,13,10,1
2016-03-05 14:54:22,Mini_Cooper_S_Cabrio,privat,Offer,11999,control,cabrio,2006,manuell,170,cooper,70000,May,Gasoline,mini,No,2016-03-05 00:00:00,74930,2016-03-12 18:17:01,2016,2016,March,March,7,18,10,7
2016-04-01 17:38:32,MINI_Rover_Mini_Lamm_Cabrio,privat,Offer,12990,test,cabrio,1987,manuell,42,cooper,10000,Apr,Gasoline,mini,No,2016-04-01 00:00:00,50321,2016-04-05 12:46:11,2016,2016,April,April,4,12,29,8
2016-03-05 16:55:54,MINI_Cooper_Cabrio,privat,Offer,19900,control,cabrio,2014,manuell,122,cooper,20000,Jun,Gasoline,mini,No,2016-03-05 00:00:00,82031,2016-04-07 14:57:40,2016,2016,March,March,33,14,2,6
2016-03-28 13:58:00,MINI_Mini_One_Cabrio,privat,Offer,6600,test,cabrio,2005,manuell,90,one,150000,Jan,Gasoline,mini,No,2016-03-28 00:00:00,42655,2016-04-06 18:19:28,2016,2016,March,March,9,18,11,11
2016-04-01 13:48:54,MINI_Cooper_Cabrio_Sidewalk,privat,Offer,9500,test,cabrio,2008,manuell,116,cooper,150000,May,Gasoline,mini,No,2016-04-01 00:00:00,53773,2016-04-07 10:45:50,2016,2016,April,April,6,10,8,7
2016-03-29 19:41:36,MINI_Cooper_Cabrio___Ausstattungspaket_Chili_und_mehr,privat,Offer,12590,control,cabrio,2009,manuell,120,cooper,125000,Sep,Gasoline,mini,No,2016-03-29 00:00:00,26419,2016-04-06 05:17:32,2016,2016,March,March,8,5,7,3
2016-03-29 21:54:39,MINI_Cooper_Cabrio_Chili_Paket__Xenon__Leder_u.v.m,privat,Offer,15990,test,cabrio,2011,manuell,122,cooper,40000,Jul,Gasoline,mini,No,2016-03-29 00:00:00,23909,2016-04-06 08:45:34,2016,2016,March,March,8,8,5,5
2016-04-03 16:42:27,MINI_Cooper_Cabrio_1._Hd.__techn./opt._wie_neu,privat,Offer,12400,control,cabrio,2006,manuell,116,cooper,40000,Mar,Gasoline,mini,No,2016-04-03 00:00:00,20249,2016-04-05 15:46:22,2016,2016,April,April,2,15,10,9
