dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-07 13:40:18,BMW_MINI__Couper_ONE_1_4_Modell_2008,privat,Offer,5400,control,coupe,2007,manuell,95,one,100000,Nov,Gasoline,mini,No,2016-03-07 00:00:00,94469,2016-03-09 05:45:02,2016,2016,March,March,2,5,9,1
2016-03-14 00:43:07,MINI_Cooper_S_Countryman_ALL4_Kurvenlicht_Navi__Xeno,privat,Offer,16660,control,coupe,2011,manuell,184,cooper,70000,May,Gasoline,mini,No,2016-03-13 00:00:00,71696,2016-03-30 06:15:27,2016,2016,March,March,17,6,5,7
2016-03-14 23:56:31,MINI_Mini_Cooper_1_6_2002_Tuev_bis_2017_scheckheft,privat,Offer,3700,control,coupe,2002,manuell,116,cooper,150000,Apr,Gasoline,mini,Yes,2016-03-14 00:00:00,50354,2016-03-27 15:46:57,2016,2016,March,March,13,15,14,8
2016-04-01 21:47:57,Mini_Cooper_S_R56_mit_neuem_TÜV,privat,Offer,11500,test,coupe,2007,manuell,174,cooper,90000,Mar,Gasoline,mini,No,2016-04-01 00:00:00,28777,2016-04-05 19:45:48,2016,2016,April,April,4,19,9,9
2016-03-28 22:06:20,MINI_Cooper_S_Coupé,privat,Offer,5500,control,coupe,2008,manuell,192,cooper,150000,Mar,Gasoline,mini,Yes,2016-03-28 00:00:00,61273,2016-03-29 18:41:50,2016,2016,March,March,1,18,8,9
2016-03-13 11:38:01,MINI_Cooper_Coupé,privat,Offer,13900,control,coupe,2011,manuell,143,cooper,150000,Oct,Diesel,mini,No,2016-03-13 00:00:00,55286,2016-04-06 15:17:16,2016,2016,March,March,24,15,5,2
2016-04-03 09:37:22,Mini_One_Sportfahrwerk_S___Scheckheftgepflegt,privat,Offer,0,control,coupe,2003,manuell,90,one,100000,Nov,Gasoline,mini,No,2016-04-03 00:00:00,26382,2016-04-07 11:17:19,2016,2016,April,April,4,11,13,1
2016-04-02 21:51:08,MINI_Cooper_S_Coupé__JCW_Paket_,privat,Offer,15100,test,coupe,2012,manuell,184,cooper,60000,Feb,Gasoline,mini,No,2016-04-02 00:00:00,73072,2016-04-06 23:44:43,2016,2016,April,April,4,23,4,10
2016-03-29 00:59:32,Mini_Cooper_s_John_Cooper_Works,privat,Offer,12000,test,coupe,2006,manuell,211,cooper,150000,Nov,Gasoline,mini,No,2016-03-28 00:00:00,52388,2016-04-05 15:45:19,2016,2016,March,March,8,15,10,1
2016-04-01 20:48:31,BMW_MINI_One_1_4__95PS_,privat,Offer,4000,test,coupe,2008,manuell,95,one,150000,Jan,Gasoline,mini,Other,2016-04-01 00:00:00,49191,2016-04-03 18:15:48,2016,2016,April,April,2,18,8,11
2016-03-31 19:49:02,MINI_Cooper__S_Leder_Xenon_Pano_Klimaauto,privat,Offer,10980,control,coupe,2006,manuell,174,cooper,30000,Nov,Gasoline,mini,No,2016-03-31 00:00:00,53773,2016-04-06 14:17:53,2016,2016,March,March,6,14,10,1
2016-03-30 20:48:00,MINI_John_Cooper_Works,privat,Offer,11500,control,coupe,2006,manuell,211,cooper,90000,Mar,Gasoline,mini,No,2016-03-30 00:00:00,76307,2016-04-07 13:17:52,2016,2016,March,March,8,13,10,9
